EstBERT;est-roberta;LaBSE;bertMulti;distilbertMulti;MiniLM-L12_multi;multi_e5;xml_roberta
;okas;Kesk-Eestis;tähendab;;laululavaesisel;jaaniõhtul;Jõulu
Truncil;suveseltsimehed;Installin;mustlaskomissilles;head;kuulake;Suure-Jaani;jaanipäev
viljakasvatus;heakvaliteediline;tänavustel;kolmveerand;SL-is;kuulsime;sõnajalaõielood;esinevad
mustlaskomissilles;mehe;eesti;võidutseb;land;Karjapasunad;tänaseid;vabariigikeskustes
õllesõber;sõnajalaõielood;Nõukogude;minevikus;kann;linnas;Meie;saarlased
pluusinimedas;Võrtsjärve;Viljandi;Moskvas;Ent;räägitakse;Viljandisse;Saaremaal
jaanipäeval;;Gustavat;nais-mees-;nurmed;küla;Kuidas;põhjasid
Esidki;rahvarõivais;;süttiski;nooremaist;Tulevad;Eestimaa;jätkuvad
kordaläinud;parmupilli;jaanipäevagi;suurem;tall;templites;Kuulsite;kuulas
naisrahvatantsurühmad;noorsoosaartel;tähti;keelpilliorkester;visa;järgijad;Kesk-Eestis;olemegi
