EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,2,2,2,4,3,3,0,0,12,keelekasutaja; lausemall; öeldistäide; määrus
3,2,2,2,4,3,3,1,0,12,keelekasutaja; lausemall; öeldistäide; määrus
3,2,2,2,4,3,3,1,0,12,keelekasutaja; lausemall; öeldistäide; määrus
3,2,2,2,4,3,3,1,0,12,keelekasutaja; lausemall; öeldistäide; määrus
3,2,2,2,4,3,3,1,0,12,keelekasutaja; lausemall; öeldistäide; määrus
3,2,2,2,4,3,3,1,0,12,keelekasutaja; lausemall; öeldistäide; määrus
3,2,2,2,4,3,3,1,0,12,keelekasutaja; lausemall; öeldistäide; määrus
3,2,2,2,4,3,3,1,0,12,keelekasutaja; lausemall; öeldistäide; määrus
3,2,2,2,4,3,3,1,0,12,keelekasutaja; lausemall; öeldistäide; määrus
3,2,2,2,4,3,3,1,0,12,keelekasutaja; lausemall; öeldistäide; määrus
3,2,2,2,4,3,3,1,0,12,keelekasutaja; lausemall; öeldistäide; määrus
