EstBERT;est-roberta;LaBSE;bertMulti;distilbertMulti;MiniLM-L12_multi;multi_e5;xml_roberta
Butterfly Beverly;oleta reaalse;Nele-Eva Steinfeld;üldse muusikaelu;noored hull;jutufestivali Eesti;heliloojad Eesti;publikule võib-olla
teosed esiettekanded;Maailma juhtivaid;Traditsioonilisem kontserdipaik;Orkestrantide seisukoht;aspekti kodu;maailmast Muusikauudised;Tallinn Music;väga-väga huvitavat
positsioon muutunud;dominanti Minu;ütleme audiovisuaalkontsert;aastast teeneks;seisavad Property;hea kontserdid;päevad 2013;maailmast head
vahendid Eestis;Festival Eesti;70-lt heliloojalt;dirigent Franud;abstraktne idee;audiovisuaalkontsert istuti;flöödimängijat 18;Muusikauudised 13
teinekord üliväiksed;osa jäävad;artistidega Näiteks;muusikud heliloojad;esiflatisti Wolfgang;ballett ooper;Päevalehe kaanepoiss;mõttes öelda
leinavad kauaaegset;muusikuid Ja;Seega atmosfäär;2006 -st;Tere head;flöödimängijat 18;Perspektiivis festivalil;kasutada 18
tippklassi kontsertklaverite;kõneleb kaugeleulatuvaid;Möödunud pühapäeval;juulil Leipzigis;uksed Steinway;raadiokuulajad Mina;helilooja mainstream;asja paremini
nimelt teatav;Filharmoonikute koosseisu;Diskussiooni keskmes;Ühendriikides Bojan;dominant kaduma;sümfooniaorkestri streik;Music Weeki;mõelda Muusikaakadeemia
liialdatud tugev;Valu põhjuseks;Tere head;kvaliteete Ja;tekib uusi;salvestused Olga;auditooriumini olegi;väikse riigi
juulil Leipzigis;keskmes helilooja;suuremate vormide;seisavad Property;ist Epikurlase;klaveripalasid palju-palju;praktiliselt kontserdid;tavapäraselt tegutse
võib-olla saadavad;Wagneri ooperi;kvaliteetne mobiiltelefoni;tegevdirektor Olga;asendus Rally;publikule võib-olla;presidendi Twitteri;huvitav paik
aastatel Eesti;Atlantic Partners;päevadele külalisi;Hoones asub;asi esmane;jaanuaris laulda;interBrettidest interpreet;50000 dollarit
Sermesti hukkumisest;ajaks Kindlasti;keskmes festival;aastaselt konkursiga;publikut publikut;Mõlemad ansamblid;Noortekesksemaks tudengikontserte;vaatlevad mõtestavad
vastandatud heliloomingu;kontsert esiettekanne;fenomen helilooja;oludele Me;instrument teatas;Elenaga nõus;salvestused Olga;köitma Kadri-Ann
klaverile kirjutatud;Ohtlikumaks Eesti;esiteks proovida;Seda nii-öelda;saavutada Sama;kuulen pooleteistminutisse;Igalühel isiklik;tegelikult tegemist
sisemistele kvaliteeti;erinevad taustad;esteetilistest filosoofilistes;Tambergi Igalühel;Steinway instrument;Rally mängides;Helle Paas;inimesed katsetavad
puudutab loomeinimeste;väljendamine kunstimeediumi;jääda sisulise;töövaidluses saavutatud;portree Ta;kab toetab;Jätkame vestlust;õpitakse töö
tundus hajusam;töötas permis;Eesti Eesti;Tallinn Music;vabalt Mind;räägime tänavusest;sümfooniaorkestri streik;13 märtsil
demokraat Ohtlikumaks;kultuurides arvan;laval 2014;Eespere Helena;kab toetab;helid rütmide;tänapäeval taskus;võimalik tahaks
vaadata näeb;kontserdid toimuvadki;USAga Kesk-Euroopaga;tekib uusi;uusi kontakte;lihtsalt kuulata;Paulson Eesti;rääkida aasta
vanamoodsaks Muidugi;sisenenud teatud;Kotta Helena;tekkis esimese;näiteks kooride;räägivad stuudios;Levinud kuuldused;erinevusi tuua
samamoodi rahvusooperis;Kesk-Euroopaga Skandinaaviaga;Võite linna;Eesti Eesti;idee tegelikult;toimuval tseremoonial;Eino Tamberg;enam-vähem Elena
Eespere Helena;ajal luuakse;kaela sõrmele;tõstelene ütles;kaks aspekti;dirigent Franud;õhtu Täiesti;vanema uuema
