EstBERT;est-roberta;LaBSE;bertMulti;distilbertMulti;MiniLM_multi;MiniLM-L12_multi;multi_e5;xml_roberta
send paracelsus;võistlus jõud;kirjutama arstiteadus;pikem seitsmeteist;null käsi;eluraskus haigus;inimene dopamiin;veresoon kummine;keha tugev
tänapäev suurus;teadma energia;lugema raamat;mõjuma sportlane;noorem stseen;võrdlemisi väsima;võrdlemisi väsima;12 ütlema;jalg jooks
voodi vanem;sööma mõjuma;vanem inimene;mängija hiljuti;kolm null;inimene dopamiin;aivar tekkima;inimene dopamiin;natuke aeg
märg tartu;jalgpallilööv tähendama;mõjuma sportlane;kord tenniseväljak;ring kodu;aivar tekkima;elama kaua;mees lõpp;tarske inimene
lühike lühike;50 aastane;teadus vana;meieaegne pirokov;kodu sisend;30 kolmeaastane;vahetpidamata terve;paracelsus ütlema;kolmeaastane mängima
loodusjõud võitlema;mees lõpp;õlu jooma;valmis panema;noorde noorem;võimalikult treenima;seisak infarkt;inimene tugev;paracelsus ütlema
toit seem;pääsema elu;vastupidavam eluraskus;ütlema 63;noorem mees;vastupidavam eluraskus;veresoon jääma;niipea voodi;55 aasta
täht kõrge;elukomme tervis;veresoon jääma;vahetpidamata terve;vastama king;ärkvel surmatund;teadma energia;käima 100;kõrvuti kuus-seitse
väsima pealelõunane;meieaegne pirokov;elu seadus;arst david;vastama arvama;vahetpidamata terve;aeg elu;spordikogemus kirjutama;ütlema meieaegne
hiljem roomlane;tohter spordikogemus;käima vana;tugev füüsiline;seem tekkima;kaua emil;elukomme tervis;pension võtma;seitsmeteistaastane üliõpilane
