EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,2,2,0,2,2,2,1,0,10,palve; aamen; jumal; inimlaps
2,2,2,0,2,2,2,1,0,10,palve; aamen; jumal; inimlaps
2,2,2,0,2,2,2,1,0,10,palve; aamen; jumal; inimlaps
2,2,2,0,2,2,2,1,0,10,palve; aamen; jumal; inimlaps
2,2,2,0,2,2,2,1,0,10,palve; aamen; jumal; inimlaps
2,2,2,0,2,2,2,1,0,10,palve; aamen; jumal; inimlaps
3,2,1,0,2,2,2,1,0,10,palve; aamen; jumal; inimlaps
3,2,2,0,2,2,2,1,0,10,palve; aamen; jumal; inimlaps
2,2,1,0,2,2,2,1,0,10,palve; aamen; jumal; inimlaps
2,2,1,1,2,2,2,1,0,10,palve; aamen; jumal; inimlaps
2,3,1,2,2,2,2,0,0,10,palve; aamen; jumal; inimlaps
