EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,5,3,5,5,4,4,2,0,12,martin; vangla; nurk; raamat; kirjade; sidepidamine; ämber; võitlus
1,5,3,5,5,4,4,3,0,12,martin; vangla; nurk; raamat; kirjade; sidepidamine; ämber; võitlus
1,5,3,5,5,4,4,3,0,12,martin; vangla; nurk; raamat; kirjade; sidepidamine; ämber; võitlus
1,5,3,5,5,4,4,3,0,12,martin; vangla; nurk; raamat; kirjade; sidepidamine; ämber; võitlus
1,5,3,5,5,4,4,3,0,12,martin; vangla; nurk; raamat; kirjade; sidepidamine; ämber; võitlus
1,5,3,5,5,4,4,3,0,12,martin; vangla; nurk; raamat; kirjade; sidepidamine; ämber; võitlus
1,5,3,5,5,4,4,3,0,12,martin; vangla; nurk; raamat; kirjade; sidepidamine; ämber; võitlus
1,5,3,5,5,4,4,3,0,12,martin; vangla; nurk; raamat; kirjade; sidepidamine; ämber; võitlus
1,5,3,5,5,4,4,3,0,12,martin; vangla; nurk; raamat; kirjade; sidepidamine; ämber; võitlus
1,5,3,5,5,4,4,3,0,12,martin; vangla; nurk; raamat; kirjade; sidepidamine; ämber; võitlus
1,5,3,5,5,4,4,3,0,12,martin; vangla; nurk; raamat; kirjade; sidepidamine; ämber; võitlus
