EstBERT;est-roberta;LaBSE;bertMulti;distilbertMulti;MiniLM_multi;MiniLM-L12_multi;multi_e5;xml_roberta
sõit följetonid;loomingu ajalugu;orkestratsiooni õpetusena;mängib puhkpillikvintett;tants number;eesti tantsu;eesti tants;tantsunumber tantsulugu;loomingut nii-öelda
auvõlg laulasmaa;polüfoonilise homofoni;orkestri funktsioon;vokaalkontserdi valmis;idee ongi;arvates sümfooniline;eesti tantsu;eesti tantsunumber;kahe öelda
sümfoonia hoovõtt;raadiolindistusi sümfooniaorkestri;eesti tantsu;klaverikontserdi esmaesitajaks;näiteks meelde;eesti tants;tants orkistreerisime;tantsulugu lõppenud;nii-öelda puhtalt
erso puhkpillikvintett;kirjutaksid puhkpillikvintetti;eesti tants;erso puhkpillikvintett;olemise saamiste;orkestratsiooni osas;tantsunumber tantsulugu;eesti tants;nii-öelda orkestrit
dynamis väljendid;funktsioonidega pianistina;kontsert orkestri;esialgne pealkiri;võimalus kasutada;kasutada sümfoonikum;tants mäletan;tantsudes omamoodi;leiaks võib-olla
följetonid teos;lõik orkestratsiooni;tööst laulu;anekdooti lahtrisse;number kaks;sümfoonia hoovõtt;prelüüdi tantsu;tants mäletan;aastast mäletan
õnnetu oboe;tegeleda puhkpillikvintetti;muusika helilooja;viieosaline sõit;rootsis vast;helilooja loomingut;tantsu esitab;tantsud omamoodi;loominguline töö
harri följetonid;muusikamõtteid paberile;orkestratsiooni osas;mängitud muigama;funktsioon teatud;orkestratsiooni õpetusena;eesti tantsunumber;tants valmis;reaktsioon sarnane
aldid eanalija;koorika värvingu;esimene tants;repertuaari üldse;koju kustika;nimelt sümfoonia;tantsulugu lõppenud;tantsida auvõlg;töö tegemisel
stravinski sümfoonia;segamini polüfoonilise;harmoonia õpetaja;tants orkistreerisime;kannab nimetust;lõik orkestratsiooni;arvates sümfooniline;harri loomingust;võib-olla lähema
vokaalkontserdi amore;erso puhkpillikvintett;lõpetaksin eksamitöö;tegeleda puhkpillikvintetti;realiseerisin kannab;sümfoonia kolmes;helilooja loomingut;eesti tantsu;pianistina nii-öelda
jaanemine kvintett;niiskertzolikulaadi mõttes;tantsu kella;vahest kodumiljöös;number kolm;tants orkistreerisime;esimene tants;muusikamõtteid paberile;hiljem 70
orgstratsiooni õppides;puhkpillikvintetti esimene;laulu tsüklist;olegi kvintetti;otsal võimalus;orkestrit tunnetama;sümfooniaorkester dirigeerib;esimene tants;ärgitab muusika
pärineb 1952;puhkpillikvintetti muusikaga;improviseerin teema;rohkesti mängitud;aega sattus;sümfoonikum mõtlemise;tantsu tantsud;tantsu esitab;kolm eesti
vast üldsõnalisem;jälle lõõtsakontsert;kolmas tants;valmis puhkpillikvintett;tähendab programmiline;konservatooriumi orkestriga;orkestriga aastaid;kahe tants;momendil kirjutasin
