EstBERT;est-roberta;LaBSE;bertMulti;distilbertMulti;MiniLM_multi;MiniLM-L12_multi;multi_e5;xml_roberta
;siberist;teatrihooaeg;tähendab;;teatrihooaeg;teatriajaloo;teatritööd;võib-olla
kõikvõimalikud;revolutsionäärid;kodutöö;puna-valge-punast;identity;külas;repertuaaris;eestlastest;esindatud
tallinna-keskne;brothers;värv;demokraatlikumaid;tool;nägite;mängitakse;väärtfilmidega;koolipäevil
identity;teatri;film;linnateatris;head;paadiga;uusbergi;töögraafikus;kõige-kõige
eebenipuust;kätlemistseremooniat;emotsionaalne;õigele;rein;õhtul;märtsiküüditamise;televaataja;järgnevatel
esietendunud;hea;kaitsemehhanism;andresele;reaalset;tom;kaua;ideaalühiskonnast;luua
küüditati;kummaline;mälu;kinos;roll;tänane;tom;tammsaaret;inimeste
normeerimata;tallinna;aastanumber;resignatsioon;lastest;televiisorist;kaheksakümnendad;rääkisin;13
tõeliste;tavaarusaamade;1944;oktoobrikuus;summa;publik;siberisse;istujatele;võta
konstandid;areng;mingisugunegi;lastest;noorematel;nädalapäevad;läänebloki;kirjanikuks;resignatsioon
tartus;inimeksistentsi;kätlemistseremooniat;süsteem;andnud;hiljem;elukogemus;tüdruk;meedia
nii-öelda;tingitud;nädalapäevad;stoppardi;alged;mängida;hollywood;venemaarakett;vaadata
lehekülg;sugulaste;;95-ks;-test;aega;kätlemistseremooniat;mandariinid;võimalust
-test;-sse;liikumine;tõepärasem;sei;tohi;fantaasiale;hetkeks;kirjutatud
desarmeerimis;pingelisem;põhjus;jätnud;objektiivset;kusagilt;kioskisse;resignatsiooni;rääkides
1944;terve;ajakäsitlus;võib-olla;tähendab;rääkisime;mäletan;iseseisvuspäeva;sõja
uudiste;tammsaare;novembrikuus;kunnasega;indeks;näitustel;istus;puna-valge-punast;elu-olu
kraavid;testis;lehekülgedele;esimeses;asjaolude;inimesega;avastasite;samamoodi;kahe
resignatsiooni;conway;romaanide;teoses;semm;julgeks;külas;ületanud;puudutada
lõhmuste;berliini;-sse;miljoni;arvestame;algusest;taunimisväärset;elurõõm;ongi
revolutsionäär;tööd;anton;eestist;unistab;paraadide;kultuurieliit;tuletõrjuja;põhjus
laevahuku;eebenipuust;mõjutab;kirjutatud;lava;liikumine;esimeses;laevahuku;lihtsalt
estonia;heatahtlik;laevahukk;kerkis;anna;lugusid;nelja;uudiste;lasteaias
aastapäevaga;lavastused;uusbergi;no;tore;väsitab;tänapäeva;miljoni;pikk-pikk
alateadvuses;hingedekogumit;rolli;heaolukorra;-sse;istuvad;rootslased;hingedekogumit;nii-öelda
räägime;pikk-pikk;foorum;tervikuna;autod;kätlemistseremooniat;hääl;tõde;tulemus
mõtlemapanevaid;mõtlemapanevaid;viimati;elas;sureb;põgenenud;püsti;oktoobris;suhteliselt
väljendavadki;lavakoolipoissi;näitemängus;läti;asi;tahtsin;leedu;küsimus;kahjuks
mõtlema;üleeilne;tervikuna;arvatud;usu;laia;tähte;teksti;tegelikult
filosoofilisemas;pannes;laulupeoga;viitab;kindel;unistataksegi;unistataksegi;peegel;teksti
karglesid;puudutav;mittelineaarne;asetsev;conway;küsimus;tallinna-keskne;tallinna-keskne;jäänud
asjad;vastutust;maailma;teatrisse;toetume;oktoobrikuus;geopoliitilistel;sõbrad-tuttavad;10
huvitub;heaolukorra;eestlastest;oska;inimene;läände;impeeriumi;revolutsionäärid;viimast
areng;liikumise;organ;valmis;tohib;20;maailmasõja;konverents;publiku
13;aasta;kihistunud;mets;istub;jääda;summaarum;raadiokuulamist;tahaks
jaotame;paremast;elukogemus;neli;heade;toomas;noppida;laulupeole;varem
vajutab;ristisõdade;proovisime;poliitiline;valed;elada;tohutuid;toksitakse;filmi
võimalust;noorest;ettevalmistused;raamat;usku;reagan;juhid;lavastamiseks;esimest
küsimusi;sõjafilmi;toomas;linnapea;vahet;konsulteerige;laval;professionaalsete;mõtlesin
pikk-pikk;mängitakse;kakskeelne;elada;korda;riided;liikumine;üheksakümnendad;lõpp
ühehäälselt;tartus;lillelapsed;lavastaja;olevale;hääl;lahti;abhaasia;eesti
ütlesite;sõbrad-tuttavad;tallinna-keskne;alguses;side;puuduta;lennuga;mittekodanikud;seotud
noorematel;rõi;geograafilises;turul;suhteliselt;hansen;piletid;kohtuotsusest;tervikuna
ajateooriaga;terviklikku;kaante;esitab;bloki;kodutöö;oktoobrikuus;kätlemistseremooniat;44
mõjutanud;ajajärgust;kõrvade;riiakas;kannavad;otsimas;elmo;impeeriumi;vajalik
inimtsivilisatsiooni;inimesena;õpetamist;-test;nisugune;gorbatšov;sunnil;alternatiivne;uuesti
asetsev;vastuvõtlikkus;raamides;määrid;uus;leo;desarmeerimis;kaitsemehhanism;head
sõbrad-tuttavad;inglise;lehman;korda;ütlen;85;revolutsiooniga;tulevik;tahab
geniaalsed;kleepuvad;tähte;tuletas;tohiks;balti;televiisorist;jookseb;maa
annabki;elas;erandeid;inglise;summaarum;kanadas;sõitsin;ettevalmistused;sõbrad-tuttavad
nõrgem;toimub;iroonia;klubi;kaks;viiekümnendad;latgarid;kohvikoorekiht;mõelda
lillelapsed;andresson;puna-valge-punast;aastapäeva;alternatiivne;leedu;tammsaaret;pikk-pikk;11
kunstiga;mõtlevad;meedia;lugusid;ongi;elu;andrus;kolmas;kolmeaastane
repertuaaris;hetk;arenemisi;verre;heatahtlik;lõigata;kirjutab;latgal;riik
kapitalistlik;tähenduses;tuletõrjuja;rahuaeg;organ;võidab;kohtuotsusest;klubi;kirde-euroopa
