EstBERT;est-roberta;LaBSE;bertMulti;distilbertMulti;MiniLM_multi;MiniLM-L12_multi;multi_e5;xml_roberta
carlos santana;elu eesti;tegelikult liiklus;tegelikult meeldima;andma ausalt;võtma külastaja;viima täna;rääkima mood;võib-olla suurem
suursündmus president;õpetama eneseabikursus;kuulama raskem;kalts ilus;kodu näiteks;carlos santana;valimistepäev hommik;stuudio täna;aastapäev tähistama
tahtlemine ruum;tahtma tallinn;pere ilmselt;skandinaavia aeg;objekt selg;intervjuu juhtuma;ilmselt kuskilt;valimistepäev hommik;ütlema mäletama
majanduslik finantsiline;mõtlema firma;intervjuu juhtuma;väljund haapsalus;may disain;vanalinn hetk;lõpuks mikrofon;vanalinn muutuma;inimene täpselt
-te algus;hääl kostma;lause hoidma;päev vajama;stango power;valimistepäev hommik;no joe;ütlema kolm-nelikümmend;püüdma müüma
olivia provints;sajakilomeetrine distants;äkki kunstikool;kord haapsalu;vajama power;elu eesti;poliitiline otsus;tippnäitleja ütlema;inimene põhitöö
foto moelooja;partei kolima;muutuma sajakilomeetrine;rumal laskma;rõivas may;stuudio täna;juht mäng;haapsalu vahevariant;nimel töötama
tähendama sissevõtmine;võtma natuke;mööbliauto joonistama;keskkond no;selge seoses;lõpuks mikrofon;eesti naine;tasuma kleidikandja;isik arvamus
probleem pahasti;tunnistama julgema;tänama natukene;elu sündinud-kasvanud;muutuma vastavalt;ilmselt saar;nimelt õhtu;ilmselt kuskilt;ütlema lausa
suurem tõusuperiood;käigus tallinn;100 kilomeeter;peakate uskuma;kodu unistama;rääkima pikk;tänama laps;kõvahäälselt kuulutama;ütlema tähistama
absoluut hinnang;interjöör disain;kommentaar isiklikult;olenema ilm;elukeskkond objekt;puhkus tegelikult;suursündmus president;selge mees;tegelikult loomulikult
sündinud-kasvanud tallinn;disainima maa;külastaja näiteks;õige öige;kutsuma president;aeg hingima;tähistama võimalikult;naine mõtlema;töö käima
turism armas;elu sündinud-kasvanud;sobiv keskkond;varem hiljem;cohesion kootav;no nädal;veidi paukuma;elu sündinud-kasvanud;ütleja arvamus
neli maja;arvama vajalik;saade 40;vein asi;power välispidine;puudutama mõtlema;ühinema soovima;päevapealt panema;otsus küsimus
tallinn askeldamine;arvama nimetama;finantsiline asi;laat kaasa;andma 90;käima vabariik;jääma natukene;tegelikult provints;tegelema no
piinlik lugu;elama otsus;vajalik puhkama;otsima roheline;auto buss;liivia lesk;küsima küsimus;tallinn laps;lava tipp-pianist
suurem vastutus;ilm olenema;lõppkokkuvõte tallinn;cover varjama;super tingimus;šanss naine;leidma kolleeg;situatsioon niiet;tegelikult meeldima
eesti vabariik;viga tõepoolest;loomine 15;lagu kroon;probleem hetk;ühinema soovima;istuma tähtsam;jälle rahmeldama;tööaeg võimalik
teema aeg;normaalne kaubandussöögipood;rahvusvaheline tasand;lihtsalt otsus;ütlema ütlema;joe mitt;uks minemine;santana saade;mootor käima
eneseabikursus niipea;aasta kõvahäälselt;liin muusika;tänav neli;astuma kaks;üldse plaan;puhkusetsükkel vaimuinimene;kuulaja andma;jutt algus
maja taastatav;valesti kolleeg;moekunstnik tänapäev;haapsalus tallinn;otsus otsus;valik katariina;kindlasti valima;lõpuks puu;juhtuma teadma
sündmus raskeim;tootmine aasta;looma tulevik;puhkusetsükkel vaimuinimene;telekarussell istuma;huvitav lõbus;tipp-pianist küla;suursündmus president;häda ütlema
hommik jutusaa;tavaliselt käima;šanss naine;teadma teadma;andma piisav;viima unistus;üldse muretsema;92 pöörane;tegelikult suur
liiklus tihe;power puhas;tähistama võimalikult;kolm 40;tavaliselt võimalik;foto moelooja;meeldima nimi;olivia provints;10 aasta
väiksem püüdma;killelist teadma;tähtis võrdlema;carlos santana;mainima foto;telekarussell istuma;arvama ainus;lava tipp-pianist;mäng hommiku-söök
konklex laskma;mäng hommiku-söök;skandinaavia aeg;viima viis;kodu soe;92 pöörane;intervjuu juhtuma;arvama valesti;kaasa tahtma
pood rõõm;tänapäevane stango;nii-öelda ummik;armas kena;lennuk suits;kodu sõitma;võib-olla viga;eesti naine;kolleeg nuus
normaalne naine;ema rääkima;käimatõmbamine käimalükkamine;ausalt kasutama;power puhas;aeg jääma;paar kuu;nimelt õhtu;no üldse
kokkulangemine tegelikult;tahtma esimene;tänapäevane stango;aeg ühesõnaga;sein panema;kuulama 10;suurem pidupäev;väsima koduõu;tipp-pianist küla
tulevalge õppima;kurbus tihti;valik katariina;emme mure;moekunstnik nisugune;lihtsalt vaatama;nägema segav;topeltkiirus millegipärast;laps viie-kuueaastane
looma mugavus;ütlema moekunstnik;plaat mäletama;suusataja suusa;vale sõna;püüdma jällegi;tegelikult ring;fänn jääma;loomine 15
õppima vabariik;konklex laskma;partei kolima;teostamine firma;emme mure;hea kõnnak;kuulama raskem;looma tulevik;elu sündinud-kasvanud
muutma päev;tegevus täpselt;ateljee võtma;tegelikult haapsalu;uus oskama;küla idee;vabariik aastapäev;autosõit õudsalt;lihtsalt liivia
võimalikult suurelt;lapsekandmine ootamine;pilt pilt;sajakilomeetrine distants;selge mees;suu lahti;aeg hingima;teadlikult ignoreerima;100 kilomeeter
enamus tähendama;kohv hea;taust veidi;aasta eesti;annus kange;kõvahäälselt kuulutama;viimane paraat;õnnelik patsutama;eriala koht
natukene toon;saade sõna;kaduma pidev;aasta sügis;parem parem;autorike väike;ilmselt saar;lehitsema ajakiri;teema rääkima
kritiseeritud kostüüm;sõitma kaubaauto;kaks paade;kolm inimene;raha energia;tänama laps;linn noor;lasteaiakasvataja jutt;uus töö
joonis tegelema;ootus ;santana lugu;muusika power;istuma tähtsam;lõpuks puu;auto kinni;tabuteema tegelikult;ruttu-rutt normaalne
lõpupoole viima;otsus muutus;ilu sirge;panema täis;hea poliitiline;tähendama leidma;ootama laps;loomine 15;lihtsalt juhtuma
šanss naine;valgus ruum;arvama ümbritsema;nutt auto;kole asi;tänapäev ühiskond;olivia provints;mööbliauto joonistama;küsimus julge
saade ütlema;haapsalu püsielanik;kevad hommik;sõna ema;-te algus;kaks paade;sündmus raskeim;korraldama vastuvõtt;väljund eriala
