EstBERT;est-roberta;LaBSE;bertMulti;distilbertMulti;MiniLM_multi;MiniLM-L12_multi;multi_e5;xml_roberta
;poliitika;kalender;päevauudis;;tolleaegne;kalender;lõpuks;riik
töölisühing;maa;1940;aktsepteerima;number;saatus;lähipäev;aasta-kaks;töötama
töörahvaühendus;kandma;käskkiri;resoluutselt;agent;kaugel-kauge;aastakümme;bolševiseeruma;rahvuslane
turuvõimalus;nõukogu;sekretär;sõbralik;range;saat;aasta-kaks;punaarmee;rahvavalitsus
konspiratsioon;johannes;märts;lõppema;ill;vaesem;sõjaaeg;aprillikonverentsikoht;valmis
ärkamine;kell;diktatuur;organiseerima;mass;viibimine;päev;võtma;pealegi
tekstiilitööstus;asetäitja;detsember;märgukiri;istung;kalender;tolleaegne;rääkima;eesti
kihutuskirjandus;kultuuriühing;ajaleht;spordiselts;andma;soodoma;sügis;hiljem;mäletatavasti
panaloosund;härra;sündmus;sisekaitse;facto;lähipäev;soovunelmas;jätkuma;kujutama
äriringkond;ametihõnguline;külm;konkreetne;tall;päev;tulevane;nii-öelda;jõud
kardianaatsa;lõpp;marksistlik;tegutsema;vorm;aasta-kaks;töönädal;sõjaaeg;eestimaa
sümpaatia;eestimaa;metallitööline;aastakümme;vastavalt;soome;saat;töötama;seaduslik
petreermanarbon;võit;päevakord;tegelikult;idee;aeg;varsti;kaasa;vähendama
