EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,3,2,1,4,3,3,3,4,13,peeter; hellat; töö; arstiteadus; isolatsioon; sajandi; pidalitõbi
2,3,2,1,4,3,3,3,4,13,peeter; hellat; töö; arstiteadus; isolatsioon; sajandi; pidalitõbi
2,3,2,1,4,3,3,3,4,13,peeter; hellat; töö; arstiteadus; isolatsioon; sajandi; pidalitõbi
2,3,2,1,4,3,3,3,4,13,peeter; hellat; töö; arstiteadus; isolatsioon; sajandi; pidalitõbi
2,3,2,1,4,3,3,3,4,13,peeter; hellat; töö; arstiteadus; isolatsioon; sajandi; pidalitõbi
2,3,3,1,4,3,3,3,4,13,peeter; hellat; töö; arstiteadus; isolatsioon; sajandi; pidalitõbi
3,3,3,1,4,2,3,3,4,13,peeter; hellat; töö; arstiteadus; isolatsioon; sajandi; pidalitõbi
2,3,3,2,4,2,3,3,4,13,peeter; hellat; arstiteadus; töö; isolatsioon; sajandi; pidalitõbi
4,2,1,4,4,2,2,2,4,13,peeter; hellat; arstiteadus; töö; isolatsioon; sajandi; pidalitõbi
4,1,1,4,4,2,2,3,4,13,peeter; hellat; arstiteadus; töö; isolatsioon; sajandi; pidalitõbi
3,1,2,4,3,2,2,3,4,13,peeter; hellat; arstiteadus; töö; isolatsioon; sajandi; pidalitõbi
