EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,5,3,2,3,3,3,3,0,13,peeter; hellat; töö; arstiteadus; isolatsioon; sajandi; pidalitõbi
1,5,3,2,3,3,3,3,0,13,peeter; hellat; töö; arstiteadus; isolatsioon; sajandi; pidalitõbi
1,5,3,2,3,3,3,3,0,13,peeter; hellat; töö; arstiteadus; isolatsioon; sajandi; pidalitõbi
1,5,3,2,3,3,3,3,0,13,peeter; hellat; töö; arstiteadus; isolatsioon; sajandi; pidalitõbi
1,5,3,2,3,3,3,3,0,13,peeter; hellat; töö; arstiteadus; isolatsioon; sajandi; pidalitõbi
1,5,3,2,3,3,3,3,0,13,peeter; hellat; töö; arstiteadus; isolatsioon; sajandi; pidalitõbi
2,4,3,1,3,3,3,3,0,13,peeter; töö; hellat; arstiteadus; sajandi; isolatsioon; pidalitõbi
3,3,3,3,3,2,3,3,0,13,peeter; hellat; töö; arstiteadus; isolatsioon; sajandi; pidalitõbi
5,2,4,4,3,2,4,3,0,13,peeter; hellat; töö; arstiteadus; isolatsioon; sajandi; pidalitõbi
2,2,3,4,3,3,4,3,0,13,peeter; hellat; arstiteadus; töö; isolatsioon; sajandi; pidalitõbi
3,2,2,5,3,3,3,3,0,13,peeter; hellat; töö; arstiteadus; isolatsioon; sajandi; pidalitõbi
