EstBERT;est-roberta;LaBSE;bertMulti;distilbertMulti;MiniLM_multi;MiniLM-L12_multi;multi_e5;xml_roberta
Sydney ooperiteater Ta;kultuurifoorumil osalenud Ja;juhatab kultuurifoorumi Märt-Matis;näitest ütlesin arhitektuuris;telliti uus planeering;kutsutud kultuurifoorumist teemal;kutsutud kultuurifoorumist teemal;kultuurifoorumi Märt-Matis Lill;loominguline tõlgendamine võib-olla
probleemide igaviku küsimuste;kontekstis tegelikult tundub;Niisiis kuulamegi Margit;Sel aastal osalesid;asi detail asjad;kutsunud ellu helilooja;muusika päevade 2013;arhitektuuriteemalisi telesaateid filme;liiduga natukese aja
liiguvad suured rahad;arhitektide liidu eestseisusesse;liige Kultuuriministeeriumi töötava;Musta Luige restoran;planeeringus kast number;mõjutab juttu kuulates;ütlen festivalidel võib-olla;Eesti Arhitektide Liidu;võimalikult positiivselt suure
kitsalt piiritletud alad;ettekandega arhitekt Margit;keskkonna seismise keskkonnaarhitektuuri;arutelu korraldas 2012;sen idee vargus;toimunud Märt-Matis Lille;seisukohast tahame külalisi;loomeinimestelt nõus elame;inimene tahabki head
kritiseerima arhitektuuris oluline;Rotermanni kvartali äge;Mutso kuulub Eesti;farmaatsiatehasealad tabletikuhjad Et;sadam Et näiteks;muusika päevade 2013;Tallinna arhitektuurikomisjoni liige;kuulasime kolmandat viimast;raames aprillil toimunud
toob kaasa terve;Palun Jah narrib;Ja arhitektuurivõistlused viidud;Ta abstraktne kategooria;sobib funktsioneerib kasutab;sõna kirjanik Mihkel;kunsti sõltumatud Moldaavia;kohtusin saksa arhitektiga;juhtudel näeb paljudel
osalema sügavamal masu;kultuuris kutsunud ellu;riikliku kunstiinstituudi Tuudin;Et korra võib-olla;arvatud esimehe eelnevalt;maailma filmifestivalil paar;eetiliseks jääda eetikataks;etnoloogia arhitektuuri Ortus;koolidest leian koolijuht
ütleme kõrgemat ladvikut;piirkond kalamaja Kalamaja;Lill selleteemalist arutelu;aprillil toimunud Märt-Matis;inimlikke objekt inimkohalolu;potentsiaali Tallinn võib-olla;maailma filmifestivalil paar;Saate materjali salvestas;juhatab kultuurifoorumi Märt-Matis
aeg-ajalt liigub mõtleb;võimatu Kui räägime;ehitama vees ehitamine;2006 Eesti Arhitektide;kuiva kirjeldust tegelikult;kordi Et avaliku;traditsioone viivad peatavam;Lill Viimasena astub;eetiline piir aeg-ajalt
Kogu eelnev jutt;ehitati kohutavalt ilus;publikule esinejatele loodame;head Noh ütleme;dimensioon tugevamalt kaks;arutelu korraldas 2012;etnograafilist informatsiooni kunsti;-st aastast Margit;ruumi paljude üldse
elamumaa oluliselt suurema;kauem Ehkki viimasel;seadus Ja raamid;jälle piiridest jälle;küsimusi kommentaare Ei;kuulamegi Margit Mutso;uurivad gruppi inimesi;Ja vestlusringi moderaator;võib-olla vajab elamu
osa eetika kultuuriteemalisest;Heal kujul ütleme;sõna kirjanik Mihkel;planeeringus kast number;inimene tahabki head;Soome Soome arhitekt;sisemine diskussioon kontoris;Jaanika Juhanson kunstnik;arhitektid joonistasid pakkusid
