EstBERT;est-roberta;LaBSE;bertMulti;distilbertMulti;MiniLM_multi;MiniLM-L12_multi;multi_e5;xml_roberta
;klassikaraadiovõrkpallivõistkond;orkestriprojekt;tähendab;;orkestritele;Sümfooniaorkestrite;Virumaaorkestrile;võib-olla
distingenditeed;Räägime;muusikasüsteemis;kontsertorkestritöödest-tegemistest;;Virumaaorkester;üleorkestrites;kontsertorkestritöödest-tegemistest;tegutsevaid
moletegrateerunud;keldrikvartett;orkestripäevadel;üldlaulupeo;nullist;kontsertorkestritöödest-tegemistest;kontsertorkestritöödest-tegemistest;noorteorkester;vanemad
Euro-Disneylandi;vanaisa;kontsertorkestritöödest-tegemistest;mängiti;project;muusikaleksikon;orkestriprojekt;sõprusorkestri;luua
võimalik;Arvuti;gaasimuusikakultuuri;päästsid;head;muusikanõukogu;Sümfooniaorkestripäeva;Sümfooniaorkestripäeva;muusikaharidus
orgestandid;Meie;Virumaaorkester;Euro-Disneylandi;andmed;muusikasüsteemis;orkestripäevadel;orkestrid;inimeste
pesuhtimas;Kui;laulsime;vanast;distingenditeed;tšelloõpilased;täisorkestrit;Paasorkestrite;kahe
päevilt;reaalse;muusikud;vahetliku;tiitwards;üldlaulupeo;noorteorkestriselts;Rakverest;nii-öelda
õpetasin;kodutoetust;Muusikaakadeemia;omavalitsusliitude;moment;akordionit;kontsertorkestriga;ühismusitseerimisest;kooliga
muskaatkeel;suhtlemisvahend;Lääne-Virumaal;miljonit;anded;kammerkoosseisus;muusikakooliprogrammis;muusikasaade;õpetasin
