EstBERT;est-roberta;LaBSE;bertMulti;distilbertMulti;MiniLM-L12_multi;multi_e5;xml_roberta
Street Journali;Tema töö;kuulete eurotsoonist;selgitada eurotsoon;argument Kui;vasta eurosüsteemis;Ülekuulamine Ülekuulamise;tegelikult üks-üheselt
Street Journal'id;sotsiaalne heaolu;Euroopasse mõtlen;Itaaliaga mõttekäiguga;argument täna;eurovastane Anti;Eurotsoon alustab;aastat 12
Financial Times'i;tasuta tervishoid;olukord Euroopa;mandoliiniteooriaga ilusti;toimik number;vastuolus euroloo;Euroopa rahaliidust;Lääne-Euroopa tsivilisatsiooni
tööõnnetuse mõtet;Tallinna Ülikooli;euro segane;probleemidest räägitakse;Sisuline argument;poliitilisest tahtest;kuulame Euroopasse;asja näha
hästi konvergeerunud;majanduslik sotsiaalmajanduslik;süsteem eurosüsteem;tulevikustsenaariumite planeerimise;ideaal toreda;valuutapunktidest elu;Me majandusruumis;majandustest toimub
maaletoojad Poocrack;Poocrack näiteks;jaanuarist Eestis;võetaksegi majanduse;sisuline argument;saabumas rahaliidu;majandusloogikat Eurotsoon;hoidmine tähendab
võib-olla Belgia;pankrotti 100;Olen Iirimaalt;põllumajandust Nii;Ülekuulatav number;prognoosida Euroopa;eurosüsteem ähvardab;näidata Lääne-Euroopale
välistasakaal vähem;lõhki Kui;Eurotsoon alustab;See kriisi;risk ohtu;riskid iseseisvusele;üleilmset majandusolukorda;võib-olla Belgia
võlakirjaomanikud nõuavad;panga keldritesse;valuutasüsteemidel riskid;suudame suutsime;risk vaatame;rahapoliitikast rahvusriigid;Ülekuulajad Reimo;sattumine Lääne-Euroopa
kaldad täna;Ehk föderatsioon;euro 2011;tean täpselt;nii-öelda ideaal;arvates toimub;lõhkilaenamine ülekuulutamine;üks-üheselt sisuliselt
