EstBERT;est-roberta;LaBSE;bertMulti;distilbertMulti;MiniLM-L12_multi;multi_e5;xml_roberta
;Räägime;Indo-Euroopa;tähendab;;eesti;keelealaväärsustundest;võib-olla
substants;vanaisa;eestikas;ebamäärase;standard;Eestis;keeltest;väljendavad
hägusloogika;tüpoloogiliselt;Internetikeel;ebamäärast;mall;Soomes;keeleteadusest;Indo-Euroopas
Lacing;Indo-Euroopa;internetist;suhtlemislaadiga;andmisest;eestikas;keelest;rääkides
küberneetika;onomatopoeetilisdeskri;mitte-eestlaste;üldise;nimetatakse;keelemaastiku;keelele;ongi
võimalik;väljenditest;Kaplinski;meeldib;komponentide;keeleteadusest;Keelevaist;suhteliselt
poeetika;ainuke;Colin;täpsest;body;keelevahenditega;keelefilosoof;eksperiment
Hägusus;Kui;keelevahenditega;tegelenud;anname;kõnekeel;keelevahenditega;lihtsalt
onomatopoeetilisdeskri;kirjakeeles;Kerin;näitle;intelligents;kõnekeelseid;keeleteadlane;käigus
sinka-vonka;sõna-;huvitav;omaaegsed;esse;Indo-Euroopas;kõnekeelele;eesti
Põhja-Siberis;keeleteadlane;eurooplased;ideofooneliselt;probleem;kõnekeelele;keelemaastiku;vaadata
ainsus;enda-Euroopa;sisaldab;piimast;tähendab;keelefilosoof;Võõrsõnu;tühjast-tähjast
kõrged;Kas;keel;vahendeid;kasutatakse;keelealaväärsustundest;keeleoksa;inimeste
võitlemine;Minu;integratsioon;ebamäärasust;otsides;keelest;Kuidas;tegelikult
mobiilisõnumid;muutuvad;hundid;teisejärguliselt;sky;eurooplased;sõnadest;vene
