EstBERT;est-roberta;LaBSE;bertMulti;distilbertMulti;MiniLM-L12_multi;multi_e5;xml_roberta
;koreograafiks;teatris;tähendab;;teatrikülastajaid;uuslavastustest;vene
Dylammermour;Ühtse;teatrile;konkureerima;number;ooperites;linnateatrist;See
diapasoon;Bioter;teatrisse;peakangelase;artist;ooperite;Etendus;kaunis
Schwerin'i;poriscodonov;teatrilaval;ohvrimeelsuse;ande;teatrilaval;teatrilukkudega;viis
Syranoon;Sild;ooperile;Kuridirigent;head;eestlastele;Etenduse;teksti
tonitsetit;Eblakus;teatrilukkudega;sfäärides;roll;ooperi;teatriühingu;Rootsis
kunstireljeefi;kohtades;muusikakoolis;ükskõiksuse;andnud;teatrisse;Esinemine;aja
korrifvee;vokaalkunstiajalukku;teatrid;meeldib;andekate;ooperiga;teatrilaval;vahetas
võimalik;Raamat;teatri;meeldis;selged;ooperid;etendused;eesti
Virgindlus;aastate;ooperi;erakordselt;seen;ooperile;teatrikülastajaid;tahtlikult
