EstBERT;est-roberta;LaBSE;bertMulti;distilbertMulti;MiniLM-L12_multi;multi_e5;xml_roberta
;vanaisa;muusikakooli;tähendab;;laulavad;Ooperilauljad;Lääne-Euroopas
ogenession;verehaigused;lastemuusikakoolis;võidusõidujalgratta;nooremate;laulmine;lauljate;ühendanud
Washingtonis;suursponsor;muusikaajalugu;sõitsime;andsin;lauljad;Mari-Liis;vana-aasta
Õppejõudude;kammerkooris;muusikaharidusega;vaniljejäätis;range;lemmiklaulja;lauljad;võib-olla
õppejõudude;sõbrale;muusika-;lõppkontserti;noorem;laulnud;lemmiklaulja;erit
rõõmotoloogia;Räägime;muusikastiili;žüriiliikmed;mana;laulsin;Meie;teksti
Arkaadiat;meditsiin;muusikaarvuga;kriitilise;valida;laulmist;Mari-Liisi;vene
Amsterdamis;Ülikoolis;muusikaline;kuuldemängudes;head;lauljast;orelimängijate;puudutada
Washingtoni;sport;teatrikoolis;Kopenhaagenisse;powerit;häälega;orelikunstnikel;kujutanud
ülikooliõpingud;hoolduskulude;muusikas;põhilise;hull;hääles;laulavad;käigus
