Keyword;Score
tegelikult;0.017745287947854686
mõttes;0.005439463695471437
kindlasti;0.004695707840690263
kaks;0.004541525063797802
hästi;0.004274225064719683
suhteliselt;0.004218600899364134
ala;0.004072934354580952
lihtsalt;0.0040703654688539915
triatloni;0.0039691106675337606
teisisõnu;0.0037479613556464556
näiteks;0.0037416065766883353
nii-öelda;0.0037083399323044894
arvan;0.003568223884090914
erinevaid;0.0034693908392770777
aasta;0.003054265638826392
mehed;0.0029307109500349565
aastat;0.002905889407220104
kilomeetrit;0.0029034672216819474
võtta;0.0026789029691185328
jälle;0.002421057080680251
täpselt;0.0024206517253505693
õnnestus;0.002410776088348573
aeg;0.002409618279468311
piisavalt;0.0024064001733828857
ratast;0.0023708391534285607
maailma;0.002292276766730879
Ain-Alar;0.002287469732458151
tegemist;0.00226035979119249
tookord;0.0022212401892446223
Eesti;0.0021790153315569692
natuke;0.002129531631613949
hea;0.0021293424122970214
jäänud;0.0020821891733729596
mees;0.002063955006867984
vaja;0.0020534770449106795
aeramini;0.0020271513079844535
natukene;0.0020221572734723343
üldse;0.002012811049235931
maha;0.001966838362384182
ujumine;0.001954284160789274
raske;0.0019329511384612095
distantsi;0.0019267966006032559
tõenäoliselt;0.0019175161693384762
suur;0.0019129675592216
tavaliselt;0.0019007000337965573
Lanzarote;0.0018150579675978414
väga-väga;0.0017883207741904335
täispika;0.0017551607086384946
kummi;0.0016987886199288952
kilo;0.0016968189725701363
tähendab;0.0016914236156073533
asi;0.001681340537641996
aeg-ajalt;0.0016780029035683608
kolm;0.0016718794360998292
minutit;0.0016682333689014394
toimub;0.001662311922743002
triatlon;0.0016619356275781594
võistlema;0.0016576995632130865
lõpus;0.0016436828966253582
võistluse;0.0016382412728536894
jooksu;0.0016341605324994278
No;0.0016237496008220892
raskem;0.0016224448651827865
tunni;0.0016219083132794085
madonna;0.0016193140520477081
võimalik;0.0015994165886183927
panna;0.0015993341656915343
päev;0.001565673929272252
tundi;0.0015637791189268262
joosta;0.0015265415946023278
pikk;0.0015148842504970116
paari;0.001460827143698317
üheksa;0.0014328742996965824
vaata;0.0013964229582499616
paneb;0.001371504592062843
neli;0.001350138929744521
võimalus;0.0013498946166547881
asja;0.001348067135454304
kilomeetri;0.0013388803926803825
Havai;0.0013368144955510197
42;0.0013293347144427928
harrastaja;0.0013285076481653491
räägime;0.001324499717566551
meestele;0.0013174895113534273
mäe;0.0013133220307966836
võistlus;0.0013114667841879727
head;0.001291882213156703
erinevad;0.0012748201589568614
uut;0.0012712812952534649
lahti;0.0012542826231640295
kinni;0.001250279159746148
distantsile;0.001249769193831525
asjad;0.0012470112995373558
parim;0.0012426069604071866
hoida;0.0012327458925550528
Eestis;0.0012316902381636627
rattaga;0.0012279701892882627
trenni;0.0012248470331051122
parem;0.0012245629869902718
suure;0.0012221953913576855
kergemad;0.0012075320981716202
maratoni;0.0012062985487641161
aerameni;0.0012059136836625585
tegija;0.0011993945128317828
Tegelikult;0.0011925862767369214
olümpiadistantsil;0.0011870743048383822
keeruline;0.001151019614143956
25;0.0011488144068592299
hetk;0.0011383451926637684
öelda;0.0011337153306678188
kahes;0.0011329000132833157
niukseid;0.0011172087564155333
30;0.001111317988183691
tavalise;0.001076872355683109
pingutust;0.0010672773369709084
Saksamaa;0.0010592943446550052
korda;0.001036922309189521
täna;0.0010359879571596822
mõtlesin;0.0010321431130083654
Uno;0.0010317920349736769
aastate;0.0010261612119235482
kõrge;0.0010177355911776885
kaitse;0.0010175786155233956
nõus;0.0010124781191561832
tunniga;0.0010079690415426795
spordi;0.001004788102917003
Vahet;0.0010023785521203604
ilmselt;0.001001659153694489
keha;0.0009994315569390214
eesti;0.000991773819050454
ujumist;0.0009885191681045203
inimest;0.0009768146059985269
pani;0.0009765363851435284
sportlane;0.0009762768496121863
enam-vähem;0.000970170948196233
hull;0.0009687862260922302
leida;0.0009658566170116363
21;0.0009638861264089441
meeldis;0.0009626389200449436
näha;0.0009589060321680985
konkreetselt;0.0009537541379402868
Jaan;0.000951793502580482
võtad;0.0009479038764450058
Tallinnas;0.0009465211877266472
Uus-Meremaal;0.0009409199653007605
käia;0.0009408906543191297
selge;0.0009406730578312452
asju;0.0009390520559281633
aastad;0.0009384815170127996
viimased;0.0009375157932236348
võistlust;0.0009362772819584913
katki;0.0009340261680221333
pääseda;0.0009332444555326552
sõita;0.0009325168261658755
ujumises;0.0009322229391986983
tea;0.0009280713242749629
rattasõit;0.0009278656981712514
tead;0.0009241554230928672
Ameerika;0.0009228665802010285
paned;0.0009222645656495639
2200;0.0009220580793058233
20;0.0009220527195944814
vähe;0.0009207387247550753
pingutanud;0.0009192729818482772
kestab;0.0009182933668559185
kumm;0.0009158446781733947
näeb;0.0009156043448360976
Marko;0.000915516934971187
triatloniklubi;0.000914424397964772
juhtub;0.0009133548177114899
kannatavad;0.0009131826680738794
septembri;0.0009112647157495736
no;0.0009083543696136074
94;0.0009082954748070166
ratta;0.0009052535340532023
eraldi;0.0009029755335454112
nagunii;0.0009020139125293367
võistlesin;0.0009008553651038729
esimene;0.0009006768580000003
eriti;0.0008993946331598358
