EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,9,9,7,6,8,8,8,6,13,kreutzwald; rahvakultuuri; teema-aasta; lugemise; seminar; rahvapärimus; eesti; väljakutse; identiteet; rahvajutt
9,9,9,7,6,7,8,8,6,13,kreutzwald; rahvakultuuri; teema-aasta; lugemise; seminar; rahvapärimus; eesti; väljakutse; identiteet; rahvajutt
9,9,9,8,5,7,8,8,6,13,kreutzwald; rahvakultuuri; teema-aasta; lugemise; seminar; rahvapärimus; eesti; väljakutse; identiteet; rahvajutt
9,9,9,9,5,7,8,8,6,13,kreutzwald; rahvakultuuri; teema-aasta; lugemise; seminar; rahvapärimus; eesti; väljakutse; identiteet; rahvajutt
9,8,9,9,5,9,10,9,6,13,kreutzwald; rahvakultuuri; teema-aasta; lugemise; seminar; rahvapärimus; eesti; väljakutse; identiteet; rahvajutt
8,9,8,9,6,8,10,9,6,13,kreutzwald; rahvakultuuri; teema-aasta; lugemise; seminar; rahvapärimus; eesti; väljakutse; identiteet; rahvajutt
9,8,7,9,5,8,9,9,7,13,kreutzwald; rahvakultuuri; teema-aasta; lugemise; seminar; rahvapärimus; eesti; väljakutse; identiteet; rahvajutt
10,8,8,9,5,7,8,7,7,13,kreutzwald; rahvakultuuri; teema-aasta; lugemise; seminar; rahvapärimus; eesti; väljakutse; identiteet; rahvajutt
8,8,8,8,6,8,8,8,7,13,seminar; kreutzwald; rahvapärimus; eesti; väljakutse; teema-aasta; rahvakultuuri; identiteet; rahvajutt; lugemise
9,6,7,8,6,8,9,7,7,13,kreutzwald; rahvakultuuri; teema-aasta; lugemise; seminar; rahvapärimus; eesti; väljakutse; identiteet; rahvajutt
9,6,6,7,6,9,8,6,7,13,kreutzwald; rahvakultuuri; teema-aasta; lugemise; seminar; rahvapärimus; eesti; väljakutse; identiteet; rahvajutt
