EstBERT;est-roberta;LaBSE;bertMulti;distilbertMulti;MiniLM_multi;MiniLM-L12_multi;multi_e5;xml_roberta
emija colombia princhers;haigekassa nõukogu esimees;tugevus võimalus europarlament;21 sajand eelarve;konkreetne summa programm;hinnakiri haigekassa nõukogupoolne;haigekassa nõukogu lükkama;kuu uudistetoimetus kokkuvõte;keskenduma valimisprogramm uus
otse väärtpaber keskregister;väiksem haigla väike;kaalne aspekt võib-olla;muretsema süda muretsema;eelarve konkreetne summa;otsus tegemine lükkama;30 november ministeerium;hinnakiri haigekassa nõukogupoolne;tund hinne lihtsalt
tamme eestvedamine 18;inimene jätkama poolne;kell kuu uudistetoimetus;kogumik usupropagandafilm muinsuskaitsekuu;nädal nädal register;valitsemiskulutus vähendamine tekitama;avaldus esitamine tähtaeg;muudatus haigla planeeritud;eelarve vaatama 21
lääs kultuur absesseerumine;kahju suurus ulatuma;majanduspoliitika tõhus hariduspoliitika;nädal india ookean;andma patsient kannatama;hea kiidetud eelnõu;haigekassa rahastamine täna;ida-tallinn keskhaigla lääne-tallinn;tegelema suur probleem
suurim haigla põhja-eesti;raha eelarve planeerima;medvedjev sõna ohtlik;vahetama päev miljon;vahendama herald link;tahtma arutama probleem;leppima sotsiaalminister haigekassa;haapsalus avama täna;tööpuudus võrumaa ida-virumaa
kaubalaev rootsi ringkonnakohus;tänane sündmus sündmus;summa küsimus juuli;mart laar haridus;alasti olevam kuju;maks ajutine peatamine;rahandusministeerium prognoos soovima;rahul arupidamine aeg;parim majanduspoliitika tõhus
saadikurühm väiksem saadikurühm;protest vene merevägi;avamine tõhusam vahend;tähendama erinev tingimus;tekitama küsimus näiteks;nõukogu esimees hanno;muinsuskaitsekuu raames korraldama;mai heakorrastustalg kontsert;rüütel nähtust-kuuldus lausa
leppima tööleping muudatus;vähem lärm haigem;seitsmetunnine tööpäev kaheksatunnine;täna tallinn abipaket;aspekt võib-olla selge;rahandusministeerium prognoos soovima;aeg võtma kahtlus;puhastaja jätkama välisuudis;põhja-kaukaasia toimuv sõjaline
avatud eesti fond;rahul arupidamine aeg;manööver meri nädal;skandaal haruldaselt top;keskne register suhtlema;teenus vahetama päev;leppima tööleping muudatus;päevakada järjekorranumber 17519;esimene oktoober 30
anestesioloog kuuetunnine seitsmetunnine;huvi vaatama sellerikaat;mälberg haigekassa nõukogu;margitta otsmaa venemaa;programm riina eentalu;lõpp avaldus soovima;maks ajutine peatamine;fond tänavune koosmeel;abhaasia lõuna-osseetia nimetama
toimetaja mall mälberg;muudatus haigla planeeritud;otsus osapool rääkima;skandinaavia uus horrari;lubama maksma inimene;30 november ministeerium;juuli kehtima töölepinguseadus;elluviimiskulu vaatama suurem;671 töökoht koondatud
aasta vang süüdistus;18 mai heakorrastustalg;18 mai heakorrastustalg;raames korraldama 18;üleminek vajalik kriteerium;saadikurühm väiksem saadikurühm;kindlustuspoliitika osakond juhataja;30 november ministeerium;ühendriik kanada uus-meremaa
aerotbei asutanud neli;sõna vanastigi pillisaade;operatsioon õde leppima;festival regilaul uus;uus kuues homme;riik lubama maksma;riik lubama maksma;palgakomponent suurendama ravijuht;lõuna-osseetia nimetama ennetav
loomine sõna looma;keskhaigla rääkima 10;maksma väljakutse võimalus;soni emija colombia;sündmus regilaul uus;valitsus eile hea;nõukogu kogunema täna;eesti kriis riigipea;ida-tallinn keskhaigla lääne-tallinn
esitatud regilaul teravalt;aeg erakond lähtuma;tähendama edukas eesti;tunduma otsus rahandusministeerium;valitsus eile hea;juuli kehtima töölepinguseadus;miljon kroon otsus;kroon otsus tegemine;korjandus sõitma vene-gruusia
meede gruusia poliitiline;operatsioon õde leppima;pill kasutama asi;sammas pension elama;asi tegelema usa;ringkonnakohus mõistma täna;kajastuma haigekassa hinnakiri;mees aasta vang;süüdi tunnistama sõna
säästma vanadus surm;hõff keskenduma skandinaavia;tähendama põllumajandus raha;liigutus asi vanasti;erinev tingimus loomulikult;kaheksas mainima sotsiaalminister;summala tahkurannas esitama;vahetama päev miljon;-st aasta indrek
kindlustuspoliitika osakond juhataja;aasta 1000 sotsiaalne;vähendama palgakomponent suurendama;festival kanada filmikoguja;homme pilv ilm;palk tähendama erinev;suurendama ravijuht ostmine;aprill mall mälberg;kanada uus-meremaa saksamaa
draama võti süütunne;kontohaldur võtma avaldus;muretsema pessimine eemaldama;2012 aasta töötaja;info teadma inimene;ülikool kliinikum moodustama;rääkima keskenduma valimisprogramm;43000 infokandja vahistama;aru valima valima
