EstBERT;est-roberta;LaBSE;bertMulti;distilbertMulti;MiniLM_multi;MiniLM-L12_multi;multi_e5;xml_roberta
Hampshire'i lõiga ons;Härra Teist austraallane;läänemeremaad Inglismaa sagedamini;tegelevad kanakasvatusega Siis;sea New Hampshire'i;veedavad tihti kodumaal;väliseestlased elavad lähemal;eestlased Austraalias pealmised;Austraalias pealmised elavad
Musta mere kuurort;Siis paisatud Sydneys;Nii väliseestlased elavad;meelde meeldegi praegast;asja ütlema eriliselt;kodumaale Austraalia Rootsile;pikk reis kodumaale;kodumaale Austraalia Rootsile;Austraalias nii-ütelda praktiline
veebidule eesti külad;Melbourneis Siis suurem;Siis korraldasin Austraalias;Austraalia kaugel 25000;asi maksma On;Nii väliseestlased elavad;avanes Austraaliasse rännata;Austraalias arstidega jutuajamist;rajoonid eestlased Austraalias
Eesti asundus Eesti;Käisin elas Kurtna;reis kodumaale Austraalia;randa külastasin Ja;oda ravi seeder;saabuvad kaugelt maalt;kodumaale Austraalia Rootsile;Austraalia kaugel 25000;kaugel 25000 kilomeetrit
Austraalias maastik pargid;hoolega häbi Tähendab;tore Austraalias arstidega;muljed jäid Eestimaalt;passi Need vannid;lähemal asuvates riikides;lähemal asuvates riikides;Nii väliseestlased elavad;tuttavad Austraalias külas
lähemal asuvates riikides;sünnikohta Majandus lihtsalt;elavad lähemal asuvates;avanes Austraaliasse rännata;tarvitada arvasin tore;elavad lähemal asuvates;laevaga Ühega austraalia;Tõsi tõsi Austraaliast;ajal Ma võib-olla
nii-ütelda praktiline kanakasvataja;mõtlen kipsis pikali;Siis suurem Eesti;Kanada ongi musta;kena mererand parem;Austraaliasse rännata vend;läänemeremaad Inglismaa sagedamini;Siis korraldasin Austraalias;võib-olla 100 töö
tervis enamike parandamist;Siidoni neli päeva;Austraalias nii-ütelda praktiline;lennukega sõitsin sotsija;pakub See laste;võtavad reisi harvem;võtavad reisi harvem;reis kodumaale Austraalia;reisija jõudke hästi
kaks Sydney inimest;üheksandal juunil Ja;Thompsoni memmede eriti;jõudsin Londoni otseteed;maksin kinni tahtsin;võta pikk reis;Need saabuvad kaugelt;Härra Teist austraallane;25000 kilomeetrit sõitma
Tähendab Ja unustage;Ja jääma pärisi;muljed jäid Eestimaalt;Austraalia kanakasvatajat härral;no raske öelda;kaks aastat reisivad;harvem sedavõrd kaugel;päev hoolitsetakse Austraalias;Ma mõtlen kipsis
Sealt jälle kuu;tore Austraalias arstidega;jõudsin Londoni otseteed;ajaks Sealt jälle;kavatsema tea Ja;Sel ajal rändas;veedavad tihti kodumaal;Austraalia kanakasvatajat härral;käisin Pärnus No
tuleva aasta jälle;tuttavat Austraalia Olen;asuvates riikides Rootsis;Härra Teist austraallane;näol jumal asi;läänemeremaad Inglismaa sagedamini;Austraalia kaugel 25000;sõjaväest vabanesin Austraalia;neli päeva Linziin
elasin ajal pärnakad;Eesti kodakondsuse tagasivõtmisel;kaks Sydney inimest;kanakasvatust vaatasite Käisin;aimugi parem mulje;tuttavad Austraalias külas;riikides Rootsis läänemeremaad;Melbourneis Siis suurem;39 aastat muutunud
jõudnud saabusite saabusin;arstidega jutuajamist vaatasid;vana abielus olemegi;elavad Sydney ümbris;savik Parkman Need;hoolitsetakse Austraalias kahjuks;Austraalia Kanada ongi;Inglismaa käe-jala Austraalia;Austraalias külas kohanud
25000 kilomeetrit sõitma;asi maksma On;unustage eestimaad unustaks;ümbris veebidule eesti;vaatasid elektoraadi grafiti;laevaga Ühega austraalia;tuttavad Austraalias külas;miili kaugel eestlasi;sõitma jõudsin Londoni
Parkman Need kaks;paha vihma 100;Austraalias maastik pargid;pakub See laste;näha aeg jäi;eriti mehi Austraaliasse;eriti mehi Austraaliasse;Sydney ümbris veebidule;Ma võib-olla 100
kased tore järeloodi;Ma võib-olla 100;Melbourneis Siis suurem;jälle naela uuesti;luba armule Neid;eestlased Austraalias pealmised;Inglismaa sagedamini veedavad;Siis suurem Eesti;aeg Nii võimalik
mulje rongis nägin;peatas sugulaste Härra;1927 Sel ajal;pargid toredat Natukene;julgeolekunoor võimalus avanes;puhkuse rohkemgi Need;aastat reisivad kord;Kanada ongi musta;austraallane välis julgeolekunoor
