EstBERT;est-roberta;LaBSE;bertMulti;distilbertMulti;MiniLM_multi;MiniLM-L12_multi;multi_e5;xml_roberta
;maa;Amazonase;terasspõld;;Amazona;Amazona;Amazonasest;jätkama
jõukajaliög;maastik;Amazona;konkreetne;meeter;Amazonasest;Amazonasest;Amazona;eesti
kõrgkultuur;õigus;veesüsteem;tegelikult;objekt;Amazonase;Amazonase;Amazonase;kujutama
pääsmatus;mäeahelik;vesi;telesisuliselt;legend;paik;ide;jaaguar;võimalik
inkaeelne;sotsiapoya;Lõuna-Ameerika;üldse;geen;siiamaani;paik;Lõuna-Ameerika;hästi
veesüsteem;;teema;erilisem;turn;rändeliin;hoopiski;vihmamets;kujundama
võimalik;tundma;inglise;veidi;andma;matkama;jätkama;Põhja-Peruu;tundma
terrafirme;kõrgemal;bassein;levima;kindlus;nägema;äkki;Ameerika;alustama
tõlgendus;aasta;koht;saatus;ink;jõudma;jõudma;rääkima;tõlgendus
tõusma;jalutama;rääkima;meelevaldselt;fakt;jätkama;lausa;suurim;kõrgus
Lõuna-Ameerika;elamus;tõusma;sotsiapoya;nottimine;jällegi;käima;fotoseeria;lihtsalt
mugavustsoon;Chachapoyas;vihmamets;ääretult;ese;suunas;vihmamets;vaatama;üldse
põllukultuur;koht;objekt;meeletu;ide;vaja;suunas;mäeahelik;ese
koobas;matk;võib-olla;looduslikult;unustama;täna;hetk;koobas;õigus
Tounturs;päiksepoeg;inimene;päiksepoeg;võimalik;nii-öelda;otsima;Jaaguar;plaaning
nukaiaal;kohalik;eesti;maisiliik;sentimeeter;vihmamets;jälle;näiteks;arvama
Amazona;märk;kohalik;europiidne;näiteks;lugu;jäänud;tundma;Orion
sõudma;kultuur;aktiivne;järjest;asi;mägi;endiselt;Põhja-Peruus;2000
kaljujoonis;osa;ajalugu;mägine;vare;heledam;tugipunkt;Peruus;Ameerika
sotsiapoya;paremini;täna;siiamaani;sadama;Kaupo;alane;jätkama;järjest
tähekaart;tõusma;uurima;tänapäev;ase;võimalikult;huvitavam;matkama;aeg
üleujutatud;kartul;endiselt;raamatukaant;teade;raamatukaant;lõpuks;parasjagu;püha
sarkofaak;kummaline;oskama;täpselt;inimene;saatus;koobas;nii-öelda;legend
immuunsussüsteem;kopsupõletike;mõistma;lühike;vihm;huvitavam;võimalik;Jaagoritel;esimene
Põhja-Peruu;lõpp;jõgi;tõlgendama;valgem;Põhja-Peruu;nägema;mägi;objekt
suhtlusvahend;alane;maailm;vähem;hele;pilvemetsainimene;looduslikult;väga-väga;ajal
ligipääs;seisma;sadama;mäeahelik;mets;loodus;õnnestuma;kippuma;kontakt
terasspõld;andma;Anastaja;inimkäsi;kuivem;eelnenud;natukene;vihmahooaeg;leidma
rändeliin;vesi;päike;tähtsam;kurb;inka;pikkune;jällegi;näiteks
kopsupõletike;jõhker;algama;tegelik;kindlasti;ütlema;paigutama;alustama;koht
võib-olla;valguma;olenema;mägi;kontakt;taaskord;huvi;tõusma;geen
kõrgemal;europiidne;fotoseeria;kartul;uskuma;maa;seekordne;pääsmatus;võib-olla
Põhja-Peruus;loodus;;õigemini;kummaline;tõusma;tänane;tõmbama;jõgi
Chachapoyas;savi;anastama;immuunsussüsteem;ant;jalutama;lugu;Lõuna;jõhker
chachapoyane;linn;lugema;suurim;seisma;tugipunkt;põnev;maa;ühine
säilinud;jälg;puuduma;eriliselt;nimetama;arvama;võib-olla;pilvemetsainimene;kinnitama
kaljusein;leidma;mägi;sobilik;võimalikult;rääkima;rääkima;paremini;natukene
orjaroll;tumedanahaline;oletama;iroonia;uus;ootamatu;arvama;kõrgele;buli
fotoseeria;aktiivne;albiino;matšubits;sobiv;huvi;tahtma;põnevam;500000
leeter;klass;ese;kaitsev;esimene;põnev;mägi;jõudma;suur
kõndimine;sotsiaalne;nimetama;Jaagoritel;kaks;tekkima;tõusma;fotogeeniline;London
chachapoyast;mets;jalutama;vihmamets;teema;väga-väga;kunagine;lõpp;ide
kaljuserv;kõrgkultuur;põlv;enamasti;kuulus;natukene;saatus;jõgi;sõna
vihmamets;assimileerima;seekordne;nägema;nimi;lugema;hästi;tõlgendama;pikem
tumedanahaline;inimene;tõmbama;põlv;eriliselt;teema;maha;jääma;küüditama
Chachapoyaste;pilv;osa;pikkune;eelnev;pikkune;ant;õigemini;huvitav
konkista;tehnoloogia;fotogeeniline;mugavustsoon;surema;ligipääs;teema;sõudma;kaks
kõrgus;terasspõld;tõlkima;kaljujoonis;alistama;kogunema;Kaupo;looduslikult;matkama
üldse;kord;suurim;maailm;suutma;aeg;pilvesõdalane;hõlmama;Hispaania
asetus;algus;jäme;tasane;nii-öelda;võimalik;kujutama;nägema;nimelt
