EstBERT;est-roberta;LaBSE;bertMulti;distilbertMulti;MiniLM-L12_multi;multi_e5;xml_roberta
;seksuaalsuse;kirikuaasta;tähendab;;kirikupoliitika;kirikuelus;kristlikud
Lääne-Euroopa;inimene;raadiokuulajad;Skandinaavia;valida;peapiiskopile;Kirikuelu;võib-olla
võimalusi;luterlikus;Savisaar;saavutada;head;luteri;Savisaar;esindatud
üldhariduskoolis;Kas;külade;elupäevi;partner;jutluses;Kristust;kooliga
Kivirähk;uusi;Urmas;Riigikogu;meetod;traditsionalistidest;presidendipere;võta
pühapäeval;Ove;Viilma;Kristusele;roll;linnapea;Riigikokku;organisatsiooni
kirikuõpetaja;piisavalt;laupäeval;Või;kompleks;ministreid;Nendele;iseloomulikud
jõulueelsel;momendil;piibel;toetamine;agenda;poliitikuid;Luule;vaadata
tõstatatud;hea;Ida-Euroopas;ülikoolis;genist;ideoloogilisest;piiblist;luua
teadvustan;koondada;;teistpidi;andnud;direktor;Kõik;sõnum
linn;Savisaar;Kirik;ülemõpetajana;andma;agenda;Võite;lihtsalt
lõpetab;mehe;põhiküsimus;viima;vale;erakond;Tegelemine;probleemi
madalseisus;võivassessoreid;meediakajastus;etapp;vastavalt;naisordineeriti;ütlasedassessorid;käigus
nii-öelda;homoseksuaaloleks;nimi;külalist;definitsiooni;ordinatsiooniga;Tänases;kirjeldasin
jätkame;;kesktee;tütar;programmist;piiblile;Pärnu-Jaagupi;Ida-Euroopas
korrashoid;Ühe;vaimulik;joosta;nooremaid;tänasel;ellujäämisõpetus;põhjus
probleem;aastaga;Kuulge;seoses;saabub;Tallinna;maailmast;kahjuks
pühakodade;riigiabikirik;traditsionalistidest;Sellega;probleem;konservatiivid;abieluvälisest;ongi
ELK-s;raadiokuulajatele;-st;ellujäämiseks;tekib;hääletamist;ülemõpetajana;tegelikult
julgustamine;põhimõtteid;lihtsam;uue;kell;populismiks;Egle;esimest
konservatiividel;hetk;Evangeelse;lõpuks;kodus;palvetaksid;Milliseid;rikka
toetate;heatahtlik;naisele;rutakas;saavutada;uus;raadiokuulajad;küsisin
peaküsimuseks;ametkondades;vale;majanduslike;seoses;tulevases;ristisurma;ülem
heteroseksuaalse;grupeeringutest;Kõik;kodutütred;usud;presidendipere;Evangeelse;nii-öelda
taganenud;tööd;Tere;võib-olla;asi;pühapäeval;Siin;eelnõu
varjuküljed;noorest;puudub;Erinevalt;kindlust;suhtumine;oluliseks;tahaks
igalühel;püstitatud;luterlastega;kindlasti;negatiivsetest;raadiokuulajatele;jõulueelsel;toomkooli
suundumus;vale;Võib-olla;aparaat;toom;kindlus;Inimestele;töötama
Twitteri;Ma;vagadus;arvatud;motiveeritus;Hermanni;Lääne-Euroopa;suhteliselt
Savisaar;puhas;Luule;tähele;Need;Skandinaavia;eestlased;toetavad
advendipühal;Siin;laulja;Ütleme;toetate;Urmas;hääl;varem
kümned;toimub;füüsiliselt;autoriteet;-st;homoseksuaalide;kursimuutust;jäänud
õigeusklikke;protsessi;Meelis;jäänud;inimene;otsustama;viiekümneste;Eestis
tordineerib;tunnistamine;ajalooga;oska;taas;Riigikogu;küsimuse;10
Siin;praegugi;suurimas;raamat;heade;jõulueelsel;institutsionaliseerinud;Nende
bioloogilises;Pärnu-Jaagupi;presidendipere;valmis;Seal;muudatusi;noorest;kuskilt
irooniliselt;kuidagimoodi;lähiaastakümnetel;suundumus;seati;toimetaja;külalist;meeskonnas
viiekümneste;konfessioonidel;linnapea;konsistooriumi;parem;püstitamine;Põderite;tuntud
küsimusi;tsölibaadi;otsime;elada;korda;organisatsiooni;tegevuskava;patused
laiaulatuslik;määratleb;lõppvooru;jumalannaks;liberaalsus;kandidaadiks;õhtust;linnades
ütlesite;jumalannaks;ELK-s;kontekstis;Mind;kesktee;tõde;võimalik
kursimuutust;kontot;maailma;meelde;uskuma;uskuma;liigub;head
hoolia;evangeelses;Süld;toetudes;aus;külalist;valmis;riik
siin-seal;osaleda;häälteenamust;Tundub;iseküsimus;-st;kandidaadid;konservatiivsus
kaasinimeste;kantsler;protsessi;hoida;seatakse;olemegi;poliitiliste;tahab
tugikodust;aasta;ummikusse;naisele;arvatud;riigile;meediakajastus;abielu
raadiokuulajatele;tasemel;tasandil;Ida-Euroopas;kooselu;põlvkonnast;sunnitud;mõelda
tervist;traditsionalistidest;kaaskristlased;soovitusi;suhteliselt;vastutuse;lahendamata;seotud
väärtustada;leidma;Hermanni;10-le;meelde;vaatame;teenistuses;kirikuvalitsus
kaklevad;kandidaadid;nool;tarkust;Et;koalitsioon;veebruaris;õpetus
erakonnapoliitikasse;omavalitsusele;debattides;õpetajateks;uus;erinevusi;Hitleriga;kirurg
Sanderi;ülesande;laulatuseni;poliitikuid;ütlen;debattides;Balti;tekkinud
väljendasin;konsistooriumi;leerikursusel;leiab;seismas;ülestõusmist;Assessoreid;Lääne-Euroopa
operatsioonil;huvid;ootused;teelt;See;häälega;karjaseks;maa
riigiabikirik;kirikuõpetaja;Jah;motiveerija;aine;põhimõtete;Urmas;Edgar
