EstBERT;est-roberta;LaBSE;bertMulti;distilbertMulti;MiniLM_multi;MiniLM-L12_multi;multi_e5;xml_roberta
sõna Efesos;pühakutepäev pühitsemine;pühak kirik;seitsmes sajand;pere kodu;tervitama jumal;pühak päev;pühakutepäev pühakutepäev;õnnistatud pühakutepäev
lõppev nädal;jumal troon;luterlik kirikukalender;saatma pagendus;palvus meenutama;Püha Neitsi;õnnistatud pühakutepäev;õnnistatud pühakutepäev;Püha Johannes
üheskoos rändama;kirik aeg;Johannes kirik;Sostumus tuntud;meenutama inimene;püha palveline;luterlik kirikukalender;pühakutepäev pühitsemine;ajalugu Kristus
õnnistatud pühakutepäev;neljas pühakutepäev;Püha Johannes;luterlik kirikukalender;valge veri;püha kaaskodanik;pühakutepäev pühitsemine;päevasõna luterlik;jumal püha
Colomine jumal;asjaolu esimene;kirik ajalugu;pühakutepäev täpsemalt;aeg meenutama;täna jumal;püha aeg;pühajõudmine kirikukalendess;jumal sõna
kirikukalender võõras;püha seadma;püha november;troon teenima;issand hing;jõudma pühak;neljas pühakutepäev;täpsemalt pühak;õnnistama eriline
püha Colomine;misjonimeelsus meenutama;täpsemalt pühak;viitama paavst;usk ustavus;pühakutepäev pühitsemine;päevasõna luterlik;neljas pühakutepäev;lahkumine Armeenia
hõiskama Johannes;läänekirik püha;püha Peetrus;toetaja germaanlane;jumal arm;soovima õnnistatud;kirikukalender võõras;Püha Johannes;püha Colomine
kirik õpetus;kirik jõudma;õnnistatud pühakutepäev;nädal hommik;tempel istuma;ustavus Kristus;täpsemalt pühak;Johannes kult;elu Püha
pühajõudmine kirikukalendess;sajand pühajõudmine;kirik rõõmustama;erutingimus Lääs;veri jumal;jumal rahvas;jumal püha;püha Peetrus;november esimene
läänekirik püha;basiilika pühak;pühakutepäev pühakutepäev;suurim kiitus;valgus riik;päevasõna luterlik;sajand pühajõudmine;kolmas püha;jõudma pühak
osadus üheskoos;janu langema;esimene november;kommunaallinn siduma;istuma troon;veenduma issand;püha kaaskodanik;hõiskama Johannes;pühitsemine esimene
Sostumus tuntud;jumalasünnitaja Püha;jõudma pühak;pühimalt jumalasünnitaja;oskus vooruslik;Maarjat püha;püha palveline;jumalasünnitaja Püha;esimene november
ilmutus raamat;pühitsemine esimene;kirik jõudma;veenduma issand;aeg ületav;pühak kirik;tervitama jumal;Püha Neitsi;patriarh Johannes
