EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,4,4,2,5,6,5,6,4,12,kontseptualism; kunst; narratiivsus; meedium; kriitika; žest; kuraator; redimed
7,4,5,2,5,6,5,6,4,12,kontseptualism; kunst; narratiivsus; meedium; kriitika; žest; kuraator; redimed
6,5,4,2,6,6,5,5,4,12,kontseptualism; kunst; narratiivsus; meedium; kriitika; žest; kuraator; redimed
6,5,4,3,6,7,5,5,4,12,kontseptualism; kunst; narratiivsus; meedium; kriitika; žest; kuraator; redimed
6,6,6,3,6,6,6,5,3,12,kontseptualism; kunst; narratiivsus; meedium; kriitika; žest; kuraator; redimed
5,5,6,3,6,6,7,4,3,12,kontseptualism; kunst; narratiivsus; meedium; kriitika; žest; kuraator; redimed
4,3,4,7,6,8,7,4,3,12,kunst; kontseptualism; narratiivsus; meedium; kriitika; žest; kuraator; redimed
4,5,4,7,6,6,4,6,3,12,kunst; kontseptualism; narratiivsus; meedium; kriitika; žest; kuraator; redimed
4,5,5,6,6,5,4,6,4,12,kunst; kontseptualism; narratiivsus; meedium; kriitika; žest; kuraator; redimed
4,5,3,6,5,4,4,5,4,12,kunst; kontseptualism; narratiivsus; meedium; kriitika; žest; kuraator; redimed
4,4,4,6,5,4,4,6,4,12,kunst; kontseptualism; narratiivsus; meedium; kriitika; žest; kuraator; redimed
