EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,10,7,10,6,9,10,10,9,13,admiral; ükssilm; röövretk; heino; kadri-ann; väli; hobune; jack; riisipirukas; silver; lampjalg
10,10,8,10,7,9,10,10,9,13,admiral; ükssilm; röövretk; heino; kadri-ann; väli; hobune; jack; riisipirukas; silver; lampjalg
10,9,8,10,7,9,10,10,9,13,admiral; ükssilm; röövretk; heino; kadri-ann; väli; hobune; jack; riisipirukas; silver; lampjalg
10,10,11,10,7,10,11,10,9,13,admiral; ükssilm; röövretk; heino; kadri-ann; väli; hobune; jack; riisipirukas; silver; lampjalg
11,10,11,10,7,11,11,10,10,13,admiral; ükssilm; röövretk; heino; kadri-ann; väli; hobune; jack; riisipirukas; silver; lampjalg
11,10,10,10,8,10,11,10,10,13,admiral; ükssilm; röövretk; heino; kadri-ann; väli; hobune; jack; riisipirukas; silver; lampjalg
11,11,11,11,9,10,11,11,11,13,admiral; ükssilm; röövretk; heino; kadri-ann; väli; hobune; jack; riisipirukas; silver; lampjalg
11,11,11,11,10,10,11,11,11,13,admiral; ükssilm; röövretk; heino; kadri-ann; väli; hobune; jack; riisipirukas; silver; lampjalg
11,9,11,11,10,10,11,11,11,13,admiral; ükssilm; röövretk; heino; kadri-ann; väli; hobune; jack; riisipirukas; silver; lampjalg
11,11,11,10,11,10,11,11,11,13,admiral; ükssilm; röövretk; heino; kadri-ann; väli; hobune; jack; riisipirukas; silver; lampjalg
10,10,11,9,11,11,11,11,11,13,admiral; ükssilm; röövretk; heino; kadri-ann; väli; hobune; jack; riisipirukas; silver; lampjalg
