EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,8,7,5,6,6,7,8,8,13,laps; õpetamine; lugema; käär; merike; lili; keel; vanem
7,8,8,5,6,7,7,8,8,13,laps; õpetamine; lugema; käär; merike; lili; keel; vanem
7,8,8,6,6,7,7,8,8,13,laps; õpetamine; lugema; käär; merike; lili; keel; vanem
7,8,8,6,6,7,7,8,8,13,laps; õpetamine; lugema; käär; merike; lili; keel; vanem
7,8,8,7,6,7,7,8,8,13,laps; õpetamine; lugema; käär; merike; lili; keel; vanem
7,8,8,7,7,7,8,8,8,13,laps; õpetamine; lugema; käär; merike; lili; keel; vanem
7,8,8,8,7,8,8,8,8,13,laps; õpetamine; lugema; käär; merike; lili; keel; vanem
7,8,8,8,8,8,8,8,8,13,laps; õpetamine; lugema; käär; merike; lili; keel; vanem
8,8,8,8,8,8,8,8,8,13,laps; õpetamine; lugema; käär; merike; lili; keel; vanem
6,8,8,7,8,8,8,8,8,13,laps; õpetamine; lugema; käär; merike; lili; keel; vanem
6,8,8,7,8,8,8,8,8,13,laps; õpetamine; lugema; käär; merike; lili; keel; vanem
