EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,6,7,4,5,7,8,7,5,10,häda; käsikiri; kriitika; kirjanik; kuulsus; raamatukauplus; tundmus; luupainaja; kirjastaja; närv
6,6,7,4,5,7,8,7,5,10,häda; käsikiri; kriitika; kirjanik; kuulsus; raamatukauplus; tundmus; luupainaja; kirjastaja; närv
6,6,7,3,5,7,8,7,5,10,häda; käsikiri; kriitika; kirjanik; kuulsus; raamatukauplus; tundmus; luupainaja; kirjastaja; närv
6,6,8,3,5,7,8,7,6,10,häda; käsikiri; kriitika; kirjanik; kuulsus; raamatukauplus; tundmus; luupainaja; kirjastaja; närv
7,6,8,3,5,6,9,8,6,10,häda; käsikiri; kriitika; kirjanik; kuulsus; raamatukauplus; tundmus; luupainaja; kirjastaja; närv
7,6,7,3,4,6,9,8,7,10,kriitika; tundmus; luupainaja; närv; häda; käsikiri; kirjanik; kuulsus; raamatukauplus; kirjastaja
8,6,7,6,3,9,10,7,6,10,kriitika; tundmus; luupainaja; närv; häda; käsikiri; kirjanik; kuulsus; raamatukauplus; kirjastaja
7,6,8,7,3,7,9,8,7,10,kriitika; tundmus; luupainaja; närv; häda; käsikiri; kirjanik; kuulsus; raamatukauplus; kirjastaja
7,7,7,5,3,6,6,8,8,10,häda; käsikiri; kriitika; kuulsus; kirjanik; raamatukauplus; tundmus; luupainaja; kirjastaja; närv
4,7,8,6,5,5,7,7,8,10,häda; käsikiri; kriitika; kirjanik; kuulsus; raamatukauplus; tundmus; luupainaja; kirjastaja; närv
6,6,7,6,7,6,7,8,6,10,häda; käsikiri; kriitika; kirjanik; kuulsus; raamatukauplus; tundmus; luupainaja; kirjastaja; närv
