EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,7,8,9,7,7,7,7,9,13,provints; nakkushaigus; ülikool; arstiteadus; tartu; pidalitõbi; peeter; paanikapuhang; haridus; doktoritöö; balti
8,6,8,10,7,7,6,8,9,13,provints; nakkushaigus; ülikool; arstiteadus; tartu; pidalitõbi; peeter; paanikapuhang; haridus; doktoritöö; balti
8,6,7,10,7,8,6,9,9,13,provints; nakkushaigus; ülikool; arstiteadus; tartu; pidalitõbi; peeter; paanikapuhang; haridus; doktoritöö; balti
8,6,7,10,7,7,7,10,9,13,provints; nakkushaigus; ülikool; arstiteadus; tartu; pidalitõbi; peeter; paanikapuhang; haridus; doktoritöö; balti
8,6,10,10,8,8,7,9,9,13,provints; nakkushaigus; ülikool; arstiteadus; tartu; pidalitõbi; peeter; paanikapuhang; haridus; doktoritöö; balti
8,7,10,10,8,9,8,11,9,13,provints; nakkushaigus; ülikool; arstiteadus; tartu; pidalitõbi; peeter; paanikapuhang; haridus; doktoritöö; balti
9,8,10,9,8,8,9,10,9,13,provints; nakkushaigus; ülikool; arstiteadus; tartu; pidalitõbi; peeter; paanikapuhang; haridus; doktoritöö; balti
9,7,10,8,7,7,9,9,9,13,provints; nakkushaigus; ülikool; arstiteadus; tartu; pidalitõbi; peeter; paanikapuhang; haridus; doktoritöö; balti
8,6,8,9,9,7,8,10,10,13,provints; nakkushaigus; ülikool; arstiteadus; tartu; pidalitõbi; peeter; paanikapuhang; haridus; doktoritöö; balti
10,7,9,9,9,7,7,10,10,13,provints; nakkushaigus; ülikool; arstiteadus; tartu; pidalitõbi; peeter; paanikapuhang; haridus; doktoritöö; balti
6,7,9,9,8,7,7,8,10,13,provints; nakkushaigus; ülikool; arstiteadus; tartu; pidalitõbi; peeter; paanikapuhang; haridus; doktoritöö; balti
