EstBERT;est-roberta;LaBSE;bertMulti;distilbertMulti;MiniLM_multi;MiniLM-L12_multi;multi_e5;xml_roberta
public Prive;soovima edu;õppima eesti;põllumajandusülikool äidma;tulemus objekt;rääkima eesti;rääkima eesti;rääkima eesti;teadusministeerium nii-öelda
actor pleier;teadusministeerium nii-öelda;keel õppimine;samamoodi tegelema;objekt vahend;oskama eesti;võõrsõna eesti;keeletoimetaja küsima;keeletoimetaja küsima
verb nimisõna;mainstream tõlkija;rääkima eesti;otseselt nägema;termin actor;õppima eesti;keel eesti;rääkima eestlane;tegutsema kõrge
PPP public;sõnatuletus doktor;õppima keel;üleüldse pakkuma;public Prive;õppimine eesti;juht eestikeelne;soomlane ütlema;ametiametnik nelja-aastane
ülikool sõnaloome;hinnapakkumine üksikjuhtum;õppimine eesti;helemik veidi;inglise termin;valdama eesti;sõna eesti;rääkima soome;avalik-õiguslik pakkuma
õpetaja õpilane;sõna teatav;keel sõnum;Kasik kirjane;eff kuri;Eesti võõrsõna;teadma eesti;sõna keelevõistlus;õpetaja õpetama
õppejõud loomulikult;õigus võimalik;keel paremini;äidma papp;termin alfa;teadma eesti;ütlema Eesti;klaarima keeletoimetaja;mõtlema keel
sõnaus lõpparuan;tähendus sobiv;oskama eesti;väljaütlev kääne;tulet verb;meeldima eesti;vastama Eesti;sõna võtma;keel nii-öelda
bluffima Jeilam;võimalus proov;keel õppima;vikerraadio kuuldud;kaks eff;keskustelu soome;eesti soomlane;rahvusringhääling keelenõustaja;nii-öelda ametiametnik
Johann Voldemar;tunduma võimalus;keel rääkima;üldse kirjakeelereegel;termin avalik;Eesti keel;asendama eestipärasem;ütlema Eesti;rahule nii-öelda
Katrin debacker;asjatundlikum nii-öelda;rääkima eestlane;laen tegelikult;tund risk;juht eestikeelne;väljamõtlemine eesti;peakeelekorraldaja Peeter;nii-öelda igapäevaselt
teisestamine žürii;mõtlema uus;kuulama järjekordne;vabam keelepruuk;PPP public;rääkima eestlane;eesti keel;keel rääkima;võib-olla arvama
helirežissöör Vivika;sõna eesti;kena eesti;klaarima keeletoimetaja;uus vaste;võõrsõna eesti;oskama eesti;võõrsõnalembesem soomlane;asjatundlikum nii-öelda
põhimõtteline tegevusplaan;raamat Eesti;kirjutama keel;Pärnu-Jaagup perekondlik;ainsus vorm;väljamõtlemine eesti;Eesti võõrsõna;keel keskustelu;nõudma nii-öelda
äkiline kadrikülm;nii-öelda ametiametnik;kuulma intervjuu;märkima paariselamu;A E;uurima eesti;Tallinn sõnaus;keel paremini;sageli nii-öelda
tulet verb;keelehooldeprotsess ülevaade;kuulama intervjuu;Mine-tuletis väljendama;näiteks no;küsima Eesti;meeldima eesti;keelenõustaja Einar;võib-olla nõudma
mainstream tõlkija;mõtlema esimene;kõne keelesõnum;Arold kirjutama;kehtima termin;Eesti sõna;teadma Eesti;sõnaus parim;moodustama sõna
Villeransko Eero;inimene rääkima;uurima eesti;seestütlev kääne;suurem probleem;ütlema Eesti;kena eesti;ütlema hästi;aasta 2011
Johannes Aavik;suur määr;keel kirjutama;meeldima eesti;kontekst esinev;raamat Eesti;õppimine eesti;keelesõnum toimetaja;kirjutama tegelikult
eesti filoloogidiplom;E koostöö;järjekordne keel;küsima staažikalt;vorm mitmus;teadma Eesti;kursavent Eesti;juht eestikeelne;mõtlema uus
sõna mainstream;leidma sõna;rääkima soome;küsima Eesti;tuntum inimene;vastama Eesti;Soome sõna;keelevõistlus sõnavõistlus;meeldima eesti
võõrsõna laensõna;bluffima Jeilam;hea kuulamine;üksikjuhtum Peeter;tegevus tulemus;keel eesti;uurima eesti;sõna keskustelu;1993 äkki
sõna keelevõistlus;panema kiri;aasta töötama;kaalumisväärne kärgpere;sobiv vaste;eesti keel;Eesti keel;kuulama intervjuu;tahtmine nii-öelda
sõnamoodustus õppejõud;soomlane härra;ilus eesti;vahe protsess;tasuma tekst;eesti soomlane;õppima eesti;tulemus rääkima;sõna pakkumus
kiosk Johannes;sõna väljendama;teadma eesti;nädal keel;tegevus tuntum;Eesti inimene;sõna Eesti;president Toomas;eesti keel
sõnaus lõpetus;ülikool sõnaloome;keel eesti;kõrge amet;enamik ainsus;keelepruuk vabakond;selge eesti;eestlane võõrsõnalembesem;ajalooliselt võib-olla
