EstBERT;est-roberta;LaBSE;bertMulti;distilbertMulti;MiniLM_multi;MiniLM-L12_multi;multi_e5;xml_roberta
;euroopas;eurooplastega;tähendab;;keeleoskusuuringu;võõrkeelte;keeleoskusest;võib-olla
mitmekeelsus;uuringute;keeleoskusest;enesekriitilised;valida;keeleoskusele;võõrkeeled;keeleoskustasemete;kohustusliku
kolmkeelsus;vajavad;keeleoskusele;kolmkeelsuse;head;keeleoskuse;võõrkeeltes;keeleoskustasemed;inimeste
võõrkeeleõpet;kutse-;keeleõpetust;koolieelseid;andmed;keeleoskusest;võõrkeeltel;keeleoskusele;vaadata
võõrkeeled;põhjalikumalt;eurooplasi;üle-euroopalise;andmeid;keeleoskustasemete;võõrkeeltest;keelepoliitikast;jätkuma
võimalik;paremad;keeleoskuse;keelevalimiga;roll;keeleoskust;võõrkeeli;võõrkeeltest;liikmesriikide
põhimõtet;toimida;euroopa;järgnesid;argumente;keeleoskus;võõrkeelt;keeleoskust;meedia
esikümnesse;tasemetest;eurooplased;liikmesriikide;nimetatakse;keeleoskustasemed;keeleoskusuuringu;keelekeskus;seotud
ettevõtetes;liiklus;keeleõppe;ametlikku;dokument;eurooplasi;võõrkeeles;keeleoskusuuringu;c-tasemel
võõrkeeleõpe;55;keelepoliitikast;üheteistaastaselt;koordinaator;euroopalike;keeleoskustasemed;keelekeskuse;õpetatavad
inglismaad;1;keeleõppeks;südamelähedasem;probleem;eurooplane;eestlaste;keeleoskuse;kahe
haridussüsteem;suunatud;eurooplaste;põhjapanevam;tähendab;eurooplaste;keeleoskustasemete;keeleoskus;1
põhimõtted;riiklikul;keeleõppes;esikümnesse;kasutatakse;eestlaste;võõrkeelele;keeleolukord;aine-
vähemuskeele;süsteemid;keelte;eluaastani;arvavad;keeleõpetust;võõrkeel;keeleõppeks;18
keeleõppes;oskuse;keeleõpe;esinesid;anti;keeleolukord;võõrkeelena;euroopalikke;tegelikult
kõrgetasemeline;keeleoskustasemed;keeltega;tegelikult;võimalik;keeleõpe;võõrkeelne;keelterikkas;mõelda
igapäevatöös;nimetatakse;euroop;mitmekeelsus;integratsiooni;keeleõppes;keeleõppeks;keeleõppes;valge
valiminõuetekohase;ametlikku;eurooplane;mitmekeelne;näiteks;keeleõppeks;keeleõppes;keeleks;eesmärgiks
üheteistaastaselt;süsteemis;euroopalikke;märgilise;tat;eurooplased;keeleõppe;võõrkeelena;tud
põhja-iirimaal;ühtne;euroopas;pealkiri;asi;euroopa;eurooplaste;võõrkeelele;rääkides
järeldused;integratsiooni;keelekeskuse;enesehinnangule;vajadus;keeleõppe;eesti;võõrkeeleõpet;tulemus
keelepoliitika;kasutamisele;üle-euroopalise;raamistikku;kombinatsiooni;keelekasutusolukorda;eurooplased;keelepoliitika;b1
keelterikkas;uuring;euroopalike;mitmekesisust;mere;võõrkeelele;keeleoskusele;võõrkeeleõpe;2002
c-tasemel;ühiskonnas;keele;eelistada;kindel;võõrkeele;eurooplane;keelekasutusolukorda;b-tasemele
mitmekeelsuse;-st;keelepoliitika;eurobaromeetri;asutused;võõrkeeltest;keeleoskuse;keeleõppe;ongi
ühendkuningriikidel;uuringut;keelt;keeleoskuse;-st;võõrkeelne;eurooplasi;võõrkeeleõpetus;otsustatud
mõõdeti;esialgne;keelekeskus;subtiitreid;annavad;keeltega;keeleoskusest;keelele;mõju
keeleõppe;keeleoskustasemete;keelepoolel;keelterikkas;kama;võõrkeeli;keelekasutusolukorda;keelelist;10
luksemburg;võrreldes;keeleoskust;liikmesmaade;annab;võõrkeeles;euroopalikke;võõrkeeled;2003
esikümne;roll;keeled;saksakeelset;toimimiseks;võõrkeelena;keelepoliitikast;eurooplased;b2
haridussüsteemi;väljaõpetamise;keelele;täiustada;tekiks;võõrkeel;keelepoliitika;võõrkeeltel;üle-euroopalise
küsimuse;uurimise;eestlaste;kohustusliku;näidata;eesti;riigikeel;keelepoolel;nii-öelda
õpitakse;vaja;keelterikkas;keelde;heade;võõrkeelte;keeleoskust;riigikeelele;õpetajate
põhjapanevam;vajadused;eestis;levinumad;aste;võõrkeelt;eestis;võõrkeeli;testitavad
võõrkeeleõpetus;8;eestlased;meediast;eelistada;võõrkeeleõpetus;riigikeelt;võõrkeelte;ülem
süsteemid;riikides;keeltes;üldse;kasutada;võõrkeeltel;üle-euroopalise;võõrkeelekomplekti;suhteliselt
enesehinnanguid;kohustuslikuks;eesti;liikmesriik;taseme;võõrkeeltes;keelemaastiku;eestis;11
meedia;lühidalt;keelevalimiga;ajalehtede;probleeme;võõrkeeleõpet;riigikeelele;keelterikas;2006
võõrkeelte;tuntud;keeleoskus;võrreldava;antakse;eestis;euroopalike;keeleõpe;tervikuna
läbivalt;testis;keelekasutaja;stabiilsemad;kolme;võõrkeeled;keeleolukord;emakeel;eesti
võõrkeeles;;keeleoskusuuringu;esialgne;vaadatakse;keelt;mitmekeelsuse;keelevalimiga;varem
täienduskoolitused;kohustuslik;keelekasutust;rääkides;toimetada;euroopas;keelekeskuse;keeltes;vene
põhjalikumalt;põhikooliõpilastele;rääkisime;üldisemast;ütleme;keelte;keeleõpetust;võõrkeeltes;võtma
põhikooliõpilastele;lõplik;keelelist;vaadeldi;eile;võõrkeeleõpe;keeli;keelsusele;näidata
ühendkuningriigid;võeti;eestil;b-tasemele;parem;keelepoliitika;keelekeskus;võõrkeeles;16
põhimõtteid;taustaküsitlus;keelterikas;raamdokumendi;probleemid;naaberkeel;mitmekeelsus;võõrkeelt;head
tasemetest;aastaselt;õpilastega;taustaküsitlus;toimida;eurooplastega;euroopa;keelena;tuntud
võõrkeeltes;hea;keeleoskustasemed;kolmkeelsus;aluseks;keelekeskuse;keeleõpe;keeled;kolme
tõusnud;tõstes;;vaadati;ast;keelepoliitikast;baski;võõrkeele;12
üle-euroopalise;vastutab;saksa;nõndanimetatud;nimetada;riigikeel;belgia;keeles;70
