EstBERT;est-roberta;LaBSE;bertMulti;distilbertMulti;MiniLM_multi;MiniLM-L12_multi;multi_e5;xml_roberta
;uuring;kooliturvalisus;pronksmedaliüksikmäng;;kooliturvalisus;Ukraina;kooliturvalisus;riik
Afteeeffgaa;eeskuju;sündmus;vihma-lörts;meeter;usuliikumine;Poola;kokkuvõte;sõnum
Lõuna-Jeemen;kooliturvalisus;tihendama;suurem;terrorist;ülikoolilinnak;kooliturvalisus;neljapäev;ettevõtmine
Arenseerimine;-st;kuulama;varem;tagamine;islamist;Tallinn;Siim;ihan
snaipripüssiohver;organiseerimine;politseinik;ansambliproov;andma;Soome;Islamiriik;Kuressaare;projektijuht
kooliturvalisus;direktor;puhastamine;Jeemen;voor;vaherahu;Vladimir;millegipärast;tundma
sving;;vihma-lörts;ÜRO;kodu;pagulane;Brüssel;ähvarduskiri;öö
võrkpallimeistrivõistlus;tugi;aprillikuu;erinev;ring;tsiviilisikk;seltskonnaõhtu;Lõssenko;70
ümberpiiramine;seadma;info;tulirelv;kontroll;rääkima;õpetaja;kremli-meelsed;ühiselt
murrangukeemia;kell;laine;juunior;punkt;poliitiline;koolipsühholoog;vägivallavorm;kuueteistkümnes
al-Assad;võitlema;usuäärmuslus;tagasiside;idee;protestivaim;sündmus;Ülel;eesti
õhurünnak;klaverihäälestaja;laupäev;seiklushimuline;kell;sõnum;liituma;Julgeolekunõukogu;ärake
Julgeolekunõukogu;kontroll;pärastlõuna;enamus;usuline;arvamus;kaguosa;ohvriterohkeim;õhutemperatuur
ülikoolilinnak;kultuuriministeerium;pluss;pöörduma;president;maailm;vaikne;seltskonnaõhtu;Lõssenko
vägivallavorm;ümberpiiramine;korrus;paralleel;homme;radikalism;usuliikumine;Taavi;Süüria
mõtlemine;mõru;euro;humanitaarabi;seoses;konverents;terrorist;lugu;Varik
äärelinn;aasta;stabiilne;varustatud;tore;noorus;vaherahu;ideaalselt;märkimisväärselt
kremli-meelsed;inimene;pedagoog;viima;usund;ähvardus;kultuuriministeerium;Arenseerimine;pärastlõuna
kabinetklaver;Venemaa;põhimõte;-te;asi;õppimine;otsus;kuueteistkümnes;klubi
pronksmedaliüksikmäng;muna;võib-olla;Jõemaa;last;Tallinn;Oskar;eesti;koolipidaja
kokkuvõte;sõjaväela;Ester;lausa;sein;Parlament;ansambliproov;võit;konfliktipiirkond
spaa;Ülikool;maailm;hästi;sadama;kultuuriministeerium;noor;peakokk;puhastamine
äärmuslik;tundma;õde-vend;üheksa;automaatrelv;Lõuna-Jeemen;probleemikeskne;igapäevane;välgukiirus
liigatabel;tugiisik;õhujõud;laev;-st;aeg;kogukondlik;Aruküla;õhurünnak
Lõssenko;Afteeeffgaa;uuring;lastefont;inimene;sekkumine;Lõuna-Jeemen;politseinik;tuntud
vihma-lörts;lähtuma;olu;võrkpallimeistrivõistlus;arv;keskus;Saudi;tõsine;neljapäev
võimukoht;kord;Austraalia;kangelane;fundamentalism;konfliktipiirkond;Viljandi;tulevik;hästi
avavärav;klaveriseerianumber;ähvardus;Heiko;super;saatkond;soovitus;Estonia;tugevdama
reklaam;ettepanek;kogukondlik;pagulane;annema;tulevik;ööpäevane;külaline;ülikool
reliikvia;õde-vend;peakokk;seitsmes;enamik;neljapäev;pedagoog;mees;mõtlema
jalutussaal;äärelinn;;juur;blokeerima;Kohila;homne;e-kiri;politsei
sündmus;väärtuskriis;ootas;ida;eeden;18;Keenia;lähenemine;Pekka
vastupanu;-te;hulk;seoses;Stream;rumalus;koalitsioon;soovitus;200000
kaguosa;kinnitus;konfliktipiirkond;vajama;propaganda;Inimõigus;propaganda;väärtuskriis;elanik
õppimine;haigla;tagasiside;õde-vend;otsustung;Julgeolekunõukogu;koostöö;Poola;Mohammed
võimalus;vili;Soome;turist;eile;laupäev;Julgeolekunõukogu;pagulaslaager;üldse
sõjaväela;osa;õnn;kindlasti;parem;idee;broneeritud;vihma-lörts;tasu
142000;heaolu;Tallinn;kontserdimaja;kindlasti;igapäevane;toimuv;vaatluskeskus;sajune
Visnapuu;1998;külm;no;nimetama;seiklus;ajal;kontserdimaja;Brüssel
meespaarismäng;külm;Hindper;laager;toime;palestiinlane;Mariupol;näljahäda;Veli
värbama;vaatluskeskus;tõsisem;ülikool;toimumine;ülioluline;aprillikuu;avamäng;kohtumine
koolipsühholoog;omavalitsus;ainus;õnnestuma;enn;Poola;elu;liikvele;kaks
poliitiline;hea;-te;turvalisus;suhteliselt;Brüssel;rahvusvaheline;Soopärg;kogukondlik
ilming;Jõemaa;pingeline;lõpuks;uuem;näitama;donetski;Pekka;omavalitsus
mure;laager;Lilleveri;minut;kaks;tahtma;osalisu;poolfinaalseeria;millegipärast
avamäng;ennetav;ebaküps;öösel;varu;kremli-meelsed;ülikool;Räsenenun;ülikoolilinnak
veretöö;mäng;tugiteenus;kodu;kõikjal;ebakindel;pöörduma;tütarlane;Viljandi
linn;protsent;veretöö;Califadiid;tooma;euro;millegipärast;palestiinlane;-te
koostöö;Lõuna-Jeemen;fabrik;võib-olla;dressing;klubi;kuus;murrangukeemia;lihtsalt
Mall;konfliktipiirkond;kaaperdama;rõhk;alus;ootas;teeninud;mõtlemine;nimel
