EstBERT;est-roberta;LaBSE;bertMulti;distilbertMulti;MiniLM-L12_multi;multi_e5;xml_roberta
Deckarty kooliõpetaja;Ossinovski sotsiaaldemokraadid;soome-ugri kultuuripealinnaks;seitsmeteistkümne kraadini;näiteks liikuma;tuua võimupartei;Päevakaja võtab;konverentsiga käsitles
õues õuesõppetunnid;erakonna juhtimisega;Õhutemperatuur homme;samamoodi tulevikus;nii-öelda programmi;valitsuslaua Aga;Sildami nädalakommentaar;Trumpi sõnul
õpetajate õpilaste;suudate sotse;soome-ugri külade;käsitleb balti;programmi büroo;koalitsioonis valitsuslaua;kuus Päevakaja;erinevad soome-ugri
Silve Grabbi;valitsuspartnerite esimehed;sooja kuus;19 kraadini;programme Üks;Ossinovski sotsiaaldemokraadid;On Päevakajaaeg;kohtumisi toimunud
soorunza Südamekool;tõsisemalt sotsiaaldemokraatliku;Õhutemperatuur tõuseb;tähendaks seitsmekümneprotsendiline;projekte programme;leiab nädalakommentaaris;pühapäevast Päevakaja;aasta soome-ugri
Deckarty kool;mõnus Ühe;kaheksanda aprillisündmused;Deckarty kooliõpetaja;käsitles uneprobleeme;erakonnas arutletud;Ossinovski tõi;soome-ugri maailmast
vastuvõtu Washingtonis;näitama Muidu;ootused soome-ugri;tiitlile kandideerides;esmalt tekib;kohtumisi toimunud;Täna Toomas;ootused soome-ugri
Alice haav;jagavad tehtut;sünnipäeva rõhutamine;NATO küberkaitsekeskusega;jess näiteks;foorumil valiti;Ossinovski sotsiaaldemokraadid;Trump kirjutas
Ülle promic;töine liitlassuhetes;Toomas Sildami;Loode-räägib ootused;näiteks paar;juhtimisega Täna;esimehed peaministriga;asja õpilased
aktiivsust Deckarty;võlu Setomaal;külade foorumil;kooli personalile;programmi üritust;Erakondade esimehed;terviseminister Jevgeni;koolis tähendabki
kestantse õues;liikuva külma;kultuuripealinn Obinitsa;leiab nädalakommentaaris;arvan projektiga;juhtkonda tervikuna;Nüüd pealinna;kraadini Lõuna-Eestis
Mirjam Nutov;töö- terviseminister;kultuuripealinna programmi;Iraani loomuliku;fraktsiooni esimehena;võõrustas kolleege;Trump kirjutas;erakonnas vastutavad
Suurepärane sõnastus;Reformierakonna esimees;Ossinovski sotsiaaldemokraadid;Puhub lõunakaare;USA president;tervisekomisjoni juht;lugeda uudisteportaalis;põhja kiiresti
Lõppev nädal;räägime tervisetendusest;Sildami nädalakommentaar;koolis üldise;lubas vastata;lähemalt ametist;Tänase valitsuse;USA-le julgeolekupiirkond
kohtumistel Washingtonis;suurlinnadest raadiouudistele;Washingtonis meedia;hümni mängiti;projektiga toetame;kell kuus;Toomas Sildami;täiendavad 11
Ülle droomik;emotsionaalne tervis;Soronsa küla;Permi-Komi asumid;homme sadama;ühiskonda kõnetada;Tõnu Karjatse;süüdistas Trump
Washingtonis meedia;kirjutas Kui;pulmakommete festival;Sildamile antud;toetas madalam;Nüüdne kohtumine;Eesti riigipea;president Bush
Washingtonis Lõppev;erinevate presidentidega;Obinitsas soome-ugri;Eesti tihedamaid;alandas usaldust;opositsioonis riigikogusse;valitsuslaua Aga;elu väga-väga
soome-ugri külade;kolm kohtumisi;sekundis Õhutemperatuur;töine liitlassuhetes;sadama vihma;tõsisemalt sotsiaaldemokraatliku;11 räägime;Donald Trump
nädal möödus;teatanud töö-;päeval mõjusamaks;vahetunde kestantse;olulisem asja;kohtumisest väetisega;päevaks 16;muutusi vaja
pärastlõunal siin-seal;koostöövõime usaldustase;püüame ennetada;tihedamaid pilvi;toetame uhkust;tahaksime tegeleta;nädalakommentaaris balti;Soome-ugri kultuuripealinna
õpilaste koostöö;kimbatust Reformierakonna;kuus Päevakaja;11-st seitsmeteistkümne;antud intervjuus;tuua roll;Ametist lahkumisest;Mari-Liis oluline
Sildami nädalakommentaar;piiri elujõuline;tugevneb saartel;Berliini jõuluturu;ilm esmalt;aprillikriisijärgne diplomaatia;seitsmeni Nüüd;veerandsada aastat
orienteerumise spordinädalat;PL toetas;rannikul hommikul;Rahulolematus üldiselt;uhkust tahet;välisministeerium leiab;Trump Venemaa;Trump Venemaa
asutus õpilastel;kaitsta terroriste;tasapisi soojemaks;tegeleta alkoteemadega;PL toetas;riigipea Seal;Ja Toomas;riiki Erakondade
Bashar Al-Assadi;arengu instituudi;süsteemselt organisatsiooni;viisavabastus USA;uhkust tahete;vaja erakonna;esimehena suudate;soome-ugri kultuurielu
pöördub Eesti;tervis Kaja;paigutada tugevdada;Skandinaavias aktiivsemaks;neli meest;presidentide vastuvõttu;Trumpi parem;neli aastat
kultuuripealinn Obinitsa;orienteerumise spordinädalat;Ossinovski usutlus;pealinna tiitlile;See Washingtonis;kuus Päevakaja;Erakondade esimehed;korraldaksid 12
Eesti hümni;rannikul hommikul;On Päevakajaaeg;hõimurahvaste kokkukäimise;personalile hea;konverentsiga käsitles;kaheksanda aprillisündmused;soome-ugri kultuuripealinn
võimalik stiil;Tavaline välispoliitika;soorunza Südamekool;nädalakommentaar käsitleb;liikuv aktiivne;Meil aktiivset;Edasi räägib;aastat soome-ugri
Vladimir Putinit;Tervist edendavate;emotsionaalne tervis;välispoliitika lisas;samme Et;sõnastus Kahjuks;riigikogusse koalitsioonis;USA president
liikluskasvatus hästi;Nutov Tervist;tähendust sügavust;uudisteportaalis Saksa;annab kool;töö- terviseminister;jõuaksid Viimane;Al-Assadi toetamises
leiab nädalakommentaaris;frondi tuul;Meil aktiivset;madalrõhuala piirimaile;uneprobleeme õpilaste;võimud kord;Kahjuks Jüri;11 räägime
kirjutas Twitteris;kooliõpetaja tervisekomisjoni;mõnus töötada;koolidest Tartu;president Donald;Tänase valitsuse;Reformierakonna esimees;linnavalitsuse tervisespetsialist
luikistus valge;riiki Erakondade;kokkukäimise kohaks;noarünnakut Berliini;tervist edendatakse;esimehed peaministriga;Oliver Loode-räägib;riikidest Siin-seal
aitab hästi;nii-öelda programmi;pilvisusega olulise;politsei kinni;Et tegelikult;Pevkurile lahkumise;raadiouudistele setomaalt;koolis üldise
uneprobleeme õpilaste;Kangur räägib;ootus korraldaksid;tegelikult pluss;Et valitsuse;ausad aprillikriisijärgne;uudisteportaalis Saksa;töötada Ja
maal Soome-ugri;Õhutemperatuur tõuseb;Ühe soojanevast;Ametist lahkumisest;president Bush;tulenevalt erakonnas;Nüüd lähemalt;Loode-räägib ootused
pilvi pärastlõunal;motivaatoriks rahulolematus;seisuga hääletamas;soome-ugri kultuurielu;Eks vastama;roll fraktsiooni;uudise kirjutas;kooli õpilased
võrreldes 1993;vaja erakonna;ühiskonda kõnetada;koolis Eesmärgid;probleem peitub;Reformierakonna esimees;Venemaa presidenti;katastroofipiirkond Süüria
vestluse ütles;aprillikriisijärgne diplomaatia;lugeda uudisteportaalis;tervise konverentsiga;esimehena seisab;seitsmekümneprotsendiline valimisosalus;Sildam leiab;käike muutusi
aktsioonid põhjal;Eelmistel parlamendivalimistel;Eesti suurlinnadest;mängiti USA;kaks asja;projektiga toetame;Fidesz'i kaotuse;tervisekomisjoni juht
2019 Obinitsas;tuntud Eesti;projektiga toetame;Karjatse Ametist;muutusi vaja;küsimusi lahendades;aega Eesti;2015 aasta
küberrünnakute sattunud;käsitles uneprobleeme;Võrgustiku liikmena;Mari-Liis oluline;vastata Süüriale;muutusi vaja;kuulsite pühapäevast;kohaks soome-ugri
inimesed tahavad;lapsi Ma;survet nõudmist;aprillisündmused Mina;Ülle promic;nädal möödus;kodanikest Vaatlejate;president Donald
aspektid käsitletud;tegelenud teatud;pidulikkust Eesti;esindaja Erik;asja plussi;kuu aega;Aitäh kuulsite;45 protsenti
kooli Tartu;küberkaitsekeskusega Lisaks;pealinna tiitlile;kraadini Lõuna-Eestis;Aga ausad;2007 president;esimees Hanno;oluline soome-ugri
tore õppida;Loode-sõnul saima;Tartu linnavalitsuse;parlamendivalimistel neli;üritusi viime;terviseminister Jevgeni;Tartus nüüdseks;soome-ugri kultuuripealinnale
Berliini poolmaratonil;Meil aktiivset;Moskva hinnangul;Eestist kandidaate;vahetada survestatud;päeval 11-st;juht Kaja;lisas olulisem
Pikemalt Jevgeni;Tegemist niidu;Südamekool lapsi;Eesmärgid arvate;tervise edendus;ametist lahkumisest;Eestist kandidaate;USA-poolne viisavabastus
sporti Tartus;parlamendivalimised osalusprotsent;Sööme tervislikult;näoga tegemistega;lause avab;tervise konverentsiga;äsja Venemaalt;põhjal võetakse
koostöövõime usaldustase;kiusakain Neile;õpilaste aktiivsust;parem üllatuste;kaotuse Ja;täna parlamendivalimised;külaskäik president;kool natuke
sõjalised aktsioonid;Ossinovski tõi;Setomaal Obinitsas;Fidesz'i kaotuse;pluss seitsme;kohtumine Tavaline;vastuvõttu Washingtonis;hästi kaasa
õues mänge;hõimurahvaste kokkukäimise;ööl jääme;kraadini Sellega;nimekamaid näiteks;poliitiline toetus;Setomaal Obinitsas;osakonna vanemspetsialist
Ühtlasi süüdistas;tõdes Ossinovski;mõelda NATO;Viimane ajalooline;mängu vahetunde;Eesti kaitseminister;Ungaris täna;tõepoolest võimalik
tõepoolest tavapäraselt;käis kella;Minimaalne ootus;lõpeb külaskäik;määravaks fakt;aastat käis;Karjatse Ametist;Trump võõrustas
Toomas Sildam;kooli Tartu;kuus kraadi;aprillikriisijärgne diplomaatia;ovaalkabinetis suve;11 räägime;pöördub Eesti;õppida koolide
esimehed tõepoolest;protsenti Ungari;spordinädalat tore;Ülle droomik;aktiivsemaks muutuva;opositsiooni tõhusat;täna parlamendivalimised;1993 aastaga
Keelne laul;sotsiaalne tervis;väetisega rääkida;tuleni USA-poolne;seisuga hääletamas;teatanud töö-;juhtimisega Täna;soome-ugri kultuurimaailmas
programmi büroo;suurem rõõm;natuke näoga;peaministriga laua;tegelikult pluss;esindaja Erik;välisministeerium leiab;rõõm ongi
rahvad näitavad;vaja täpselt;päevaks 16;ootused soome-ugri;liikuma kutsuv;püüame ennetada;tuua võimupartei;nii-öelda programmi
lapsi tuumalinn;kultuuripealinna Sharon;sadama vihma;äsja Venemaalt;vahetunde kestantse;viiendat tegevusaastat;Skandinaavias aktiivsemaks;pulmi Loode-sõnul
katastroofipiirkond Süüria;Toomas Sildami;tugev poliitiline;väärikalt küsimusi;tunnistada tegelikult;kaheksanda aprillisündmused;tõsisemalt sotsiaaldemokraatliku;soome-ugri rahvad
vabariiklikud võimud;füüsilisest tervisest;julgeolekupiirkond kolm;üllatusi hea;liikuva külma;edenduse prioriteediks;ongi jagavad;Kindlasti erinevad
lähtunud ilmselt;Me suutnud;No arvutitest;soome-ugri maailmast;sotse paremini;osalusprotsent tõusnud;Ahjaa suursaadik;inimesed erakonnas
Õhutemperatuur homme;laienenud Marii;lõunakaare tuul;Sildami nädalakommentaar;paremini aidata;Minimaalne ootus;Kangur räägib;kaheksa meetrit
Lõuna-Eestis 19;muutusi vaja;edenduse prioriteediks;pidevalt Tänase;president Trumpi;Tartu linnavalitsuse;programme Üks;53 koma
koolis tähendabki;jõuaksid Viimane;hollistlikumalt aspektid;USA-poolne viisavabastus;Tervist edendavate;külade foorumil;soome-ugri kultuuripealinnaks;õpilaste koostöö
kultuurimaailmas tuntud;vaja Aga;tuumas Trumpi;edendatakse Sööme;toimub samamoodi;lisas olulisem;tervituseks 2019;rannikul 11
survestatud samme;soome-ugri kultuuripealinnaks;kõrgrõhkkonna Skandinaavias;alkoteemadega populaarsust;meeldivat õhtut;kodanikest Vaatlejate;Al-Assadi toetamises;kool 20
Nutov Tervist;tugevaks motivaatoriks;maja tippkohtumise;räägib Silve;seitsmeni Nüüd;süsteemselt organisatsiooni;jätkab Iga;tähe president
välispoliitika lisas;kool tervise;võimalused täiendavad;möödus Eestis;pildiks Et;paremini aidata;Soome valgele;riigikogu fraktsiooni
emotsionaalne tervis;traumasid liikluskasvatus;üldise terviseetendusest;No arvutitest;siin-seal kerget;päeval mõjusamaks;erakonnas Rahulolematus;maal Soome-ugri
frondi tuul;Ise õues;turbulentsis maailmas;neli meest;partnereid alandas;kaitseminister Jüri;tähe president;Süüria armee
Washingtonis toimus;oluline soome-ugri;jõuluturu terrorirünnakuga;hästi paljudeni;soojemaks homme;osakonna vanemspetsialist;Eesti liikuva;Ja nimelt
tuntud Eesti;pidulikkust Eesti;silma inimesed;kohapeal Keelne;vastama väljakutsele;kooliõpetaja tervisekomisjoni;maja tippkohtumise;noarünnakut Berliini
õpilased hindavad;Ja nimelt;Loode-räägib ootused;juhitakse riiki;tervise arengu;president Ilvese;Muidu kohtumisest;riigid USA-le
lahtedes rannikul;hästi tugeval;kultuuripealinna Sharon;asja plussi;üha liikumisega;liikumisvõimalust Meil;erakorralist USA;terviseetendusest räägi
jääda kool;Päevakaja võtab;suurlinnadest raadiouudistele;Meil aktiivset;aitab hästi;ilm esmalt;2019 Valituks;õppida koolis
Loode-sõnul saima;maja ovaalkabinetis;Ja õues;jääda kool;ongi jagavad;suutnud piisavalt;tagajärgedeni Moskva;Kuid soome-ugri
jäänud Nüüd;Berliini jõuluturu;võimalik stiil;edendavate koolide;meetrit sekundis;töövisiiti erakorralist;töövisiiti erakorralist;näiteks paar
Siin-seal nimetati;Leedu iseseisvuse;ovaalkabinetis suve;varasemad näitas;suur au;uudise kirjutas;Eesti tihedamaid;programme Üks
ütles Luik;Kindlasti erinevad;Oliver Loode-räägib;Eelmistel parlamendivalimistel;muutmata No;suursaadik luikistus;elama jääda;pärastlõunal siin-seal
tervist edendatakse;Ungari Permi-Komi;tihedamaid pilvi;tegelikult Reformierakonna;auvahtkonna astus;2019 Obinitsas;hääletamas 45;soome-ugri hõimurahvaste
setomaalt Mirjam;väga-väga suur;Ma arvan;maailmas Seekordne;foorumil valiti;kandidaate Mirjam;aprillisündmused Mina;võrreldes 1993
tervise edenduse;Eestis Lätis;toimub samamoodi;Mina toimetaja;võimalik stiil;paljudeni üritusi;Eks vastama;toimub samamoodi
näiteid koolis;koolis tähendabki;väärikalt küsimusi;raadiouudistele setomaalt;saima riidevaliku;Mina toimetaja;kirjutas Kui;sotsiaaldemokraadid teatud
terviseetendusest räägi;rutiinset töövisiiti;seitsmekümneprotsendiline valimisosalus;Iga tervist;tugevaks motivaatoriks;juht Kaja;hea Mida;16 Lõuna-Eestis
koolitunnid seotud;väljakutsele Kuid;tõsiste tagajärgedeni;lähemalt Üks;ennetada tervisele;vabariiklikud võimud;rahulolematus PL;mälu huvides
tegeleda tõsisemalt;Seal rohelise;arvutitest riigikogu;kultuurimaailmas tuntud;valgele merele;USA kaitseministri;Mina toimetaja;James Mattise
Eesti tihedamaid;sattunud Eesti;aja pluss;saima riidevaliku;parem üllatuste;Venemaa presidenti;seitsmekümneprotsendiline valimisosalus;täpselt vaja
lasuvad küllatanud;Südamekool lapsi;suunatud küberrünnakute;kooli Deckardi;valge maja;Ossinovski usutlus;kolleege Balti;juht Erik
aprillikriisijärgne diplomaatia;inimesed erakonnas;Vladimir Putinit;soome-ugri kultuuripealinnale;Minimaalne ootus;raadiouudistele setomaalt;Et tegelikult;soome-ugri külade
hääletamas 45;nimetati ajalooliseks;programmi büroo;Tallinnas loodud;pluss kahe;tõuseb homne;Süüriale keemiarelvarünnaku;fakt soome-ugri
On Päevakajaaeg;Kui peaministri;väga-väga suur;koolile annab;laua pidevalt;vastutavad üksiku;Eesti kaitseminister;2007 president
Ungaris täna;kõrgrõhkkonna Skandinaavias;motivaatoriks rahulolematus;Berliini poolmaratonil;vihma annavad;põhimõttest puhkudel;Marimaal kandideerisid;liigume kaks
Paljud koolitunnid;sooja kuus;riigid USA-le;pluss seitsmeni;liikumisega jess;muutmata No;põhja tugevneb;hääletamas 45
täna parlamendivalimised;pakkuda Koolidele;ilmselt põhimõttest;Venemaalt suunatud;kerget vihma;prioriteediks valinud;aprillikriisijärgne diplomaatia;toetamises Trump
näitama Muidu;mõeldud tervise;Erakondade esimehed;Obinitsa veerandsada;promic tervise;Tervist edendavate;maja ovaalkabinetis;kandub taas
üksikküsimustega suureks;annab kool;Twitteris põhjendamatult;sotse paremini;prioriteediks valinud;toimus kuu;maailmas Seekordne;soome-ugri kultuuripealinnaks
kandidatuuri toetavad;toetavad vabariiklikud;sotsiaaldemokraadid teatud;lugeda uudisteportaalis;jääks tulenevalt;Jevgeni Ossinovski;ilmast räägib;kool lapsi
suurlinnadest raadiouudistele;kraadini Sellega;mõjusamaks Soome;viiksid tõsiste;poliitiline toetus;võtab kaheksanda;kaks asja;valiti soome-ugri
küsimusi lahendades;tervislikult liigume;küberkaitsekeskusega Lisaks;kiusakain Neile;tulenevalt erakonnas;rääkida Ahjaa;riiki Erakondade;tuleni USA-poolne
asja õpilased;terviseminister Jevgeni;1000 elanikuga;Washingtonis toimus;arengu instituudi;motivaatoriks rahulolematus;Twitteris põhjendamatult;kimbatust Reformierakonna
külade foorumil;Tartu Deckarty;Koolidele mõeldud;NATO vägesid;langeb pluss;intervjuus tõdes;antud intervjuus;Obinitsas soome-ugri
pidevalt Tänase;Obinitsas valiti;2019 Obinitsas;Tavaline välispoliitika;aktiivset liikumist;tippkohtumise tähe;Me suutnud;Ossinovski tõi
erakonnas arutletud;promic tervise;Kuid soome-ugri;mõelda NATO;edenduse prioriteediks;liikumisega jess;arvutitest riigikogu;liikumisega seotud
Ma arvan;koolis üldise;edendatakse Sööme;suudate sotse;kaitsta terroriste;kaitseministri James;tavapäraselt opositsioonis;Saksa politsei
