EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,10,10,8,7,8,6,8,8,11,taanlane; inglane; saarlane; õppus; kaitseliit; lapiline; keel; muhu; tehnika; saar
10,10,10,8,7,8,6,9,8,11,taanlane; inglane; saarlane; õppus; kaitseliit; lapiline; keel; muhu; tehnika; saar
10,10,10,8,7,8,6,9,8,11,taanlane; inglane; saarlane; õppus; kaitseliit; lapiline; keel; muhu; tehnika; saar
10,10,10,8,7,8,6,9,8,11,taanlane; inglane; saarlane; õppus; kaitseliit; lapiline; keel; muhu; tehnika; saar
10,10,10,9,7,8,6,9,8,11,taanlane; inglane; saarlane; õppus; kaitseliit; lapiline; keel; muhu; tehnika; saar
10,10,10,9,8,8,8,10,8,11,taanlane; inglane; saarlane; õppus; kaitseliit; lapiline; keel; muhu; tehnika; saar
10,10,10,10,8,9,10,10,9,11,taanlane; inglane; saarlane; õppus; kaitseliit; lapiline; keel; muhu; tehnika; saar
10,10,10,10,9,10,10,10,9,11,taanlane; inglane; saarlane; õppus; kaitseliit; lapiline; keel; muhu; tehnika; saar
10,10,10,10,9,10,10,10,10,11,taanlane; inglane; saarlane; õppus; kaitseliit; lapiline; keel; muhu; tehnika; saar
10,10,10,10,10,10,10,10,10,11,taanlane; inglane; saarlane; õppus; kaitseliit; lapiline; tehnika; keel; muhu; saar
10,10,10,10,10,10,10,10,10,11,taanlane; inglane; saarlane; õppus; kaitseliit; lapiline; tehnika; muhu; keel; saar
