EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,6,4,5,3,6,7,7,4,14,pulm; psühhiaater; fantaasia; marksism; küüditamine; peeter; mäng; normet; reaalsus; dramaturg; ingo
8,6,4,6,3,6,7,8,4,14,pulm; küüditamine; peeter; normet; dramaturg; ingo; psühhiaater; marksism; mäng; reaalsus; fantaasia
8,6,6,5,6,6,7,8,4,14,pulm; küüditamine; peeter; normet; dramaturg; ingo; psühhiaater; marksism; mäng; reaalsus; fantaasia
7,7,5,5,6,8,7,9,4,14,pulm; küüditamine; peeter; normet; dramaturg; ingo; psühhiaater; marksism; mäng; reaalsus; fantaasia
7,7,3,6,5,8,7,9,4,14,pulm; küüditamine; peeter; normet; dramaturg; ingo; psühhiaater; marksism; mäng; reaalsus; fantaasia
7,6,6,5,5,7,7,8,4,14,pulm; küüditamine; peeter; normet; dramaturg; ingo; psühhiaater; marksism; mäng; reaalsus; fantaasia
7,4,5,6,6,7,7,6,5,14,pulm; psühhiaater; fantaasia; marksism; küüditamine; peeter; mäng; normet; reaalsus; dramaturg; ingo
6,3,7,4,6,2,7,7,5,14,pulm; psühhiaater; fantaasia; marksism; küüditamine; peeter; mäng; normet; reaalsus; dramaturg; ingo
4,4,4,4,4,5,7,9,6,14,pulm; küüditamine; peeter; normet; dramaturg; ingo; psühhiaater; marksism; mäng; reaalsus; fantaasia
3,3,7,4,5,8,7,9,6,14,pulm; küüditamine; peeter; normet; dramaturg; ingo; psühhiaater; marksism; mäng; reaalsus; fantaasia
3,4,6,5,6,6,6,7,4,14,pulm; psühhiaater; marksism; küüditamine; peeter; mäng; normet; ingo; reaalsus; dramaturg; fantaasia
