EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,11,6,10,8,9,9,7,8,12,seljakott; sangpomm; madis; varustus; tuletõrje; sport; trepp; jooks; korrus; aesma; indrek
10,11,8,10,8,10,9,7,8,12,seljakott; sangpomm; madis; varustus; tuletõrje; sport; trepp; jooks; korrus; aesma; indrek
10,11,9,10,8,10,9,9,8,12,seljakott; sangpomm; madis; varustus; tuletõrje; sport; trepp; jooks; korrus; aesma; indrek
10,11,9,9,9,10,9,10,9,12,seljakott; sangpomm; madis; varustus; tuletõrje; sport; trepp; jooks; korrus; aesma; indrek
11,11,10,9,9,10,10,10,9,12,seljakott; sangpomm; madis; varustus; tuletõrje; sport; trepp; jooks; korrus; aesma; indrek
11,11,10,9,10,10,10,11,9,12,seljakott; sangpomm; madis; varustus; tuletõrje; sport; trepp; jooks; korrus; aesma; indrek
10,11,10,11,10,10,10,11,9,12,seljakott; sangpomm; madis; varustus; tuletõrje; sport; jooks; trepp; korrus; aesma; indrek
11,11,10,10,10,10,10,11,9,12,seljakott; sangpomm; madis; varustus; tuletõrje; sport; trepp; jooks; korrus; aesma; indrek
11,11,10,11,10,10,10,11,8,12,seljakott; sangpomm; madis; varustus; tuletõrje; sport; jooks; trepp; korrus; aesma; indrek
10,11,10,11,11,10,10,11,10,12,seljakott; sangpomm; madis; varustus; tuletõrje; sport; jooks; trepp; korrus; aesma; indrek
10,11,10,10,11,10,11,11,10,12,seljakott; sangpomm; madis; varustus; tuletõrje; sport; jooks; trepp; korrus; aesma; indrek
