EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,7,4,8,4,5,5,6,7,12,poliitika; meelis; kirik; urmas; viilm; erakond; riik; süld; homoseksuaalne; heteroseksuaalne; probleem
6,7,3,8,4,5,5,6,7,12,poliitika; meelis; kirik; urmas; viilm; erakond; riik; süld; homoseksuaalne; heteroseksuaalne; probleem
6,7,3,8,4,5,5,6,7,12,poliitika; meelis; kirik; urmas; viilm; erakond; riik; süld; homoseksuaalne; heteroseksuaalne; probleem
6,7,3,8,3,6,6,7,7,12,poliitika; meelis; kirik; urmas; viilm; erakond; riik; süld; homoseksuaalne; heteroseksuaalne; probleem
7,7,4,8,3,6,5,7,7,12,poliitika; meelis; kirik; urmas; viilm; erakond; riik; süld; homoseksuaalne; heteroseksuaalne; probleem
10,7,5,8,3,6,6,8,7,12,urmas; viilm; heteroseksuaalne; poliitika; meelis; kirik; erakond; süld; riik; homoseksuaalne; probleem
8,7,6,7,3,6,9,10,7,12,urmas; viilm; heteroseksuaalne; poliitika; meelis; kirik; riik; erakond; süld; homoseksuaalne; probleem
8,9,8,8,4,10,6,9,7,12,urmas; viilm; heteroseksuaalne; poliitika; meelis; kirik; erakond; riik; süld; homoseksuaalne; probleem
9,10,8,9,5,6,6,10,8,12,urmas; viilm; heteroseksuaalne; poliitika; meelis; kirik; erakond; riik; süld; homoseksuaalne; probleem
9,10,10,7,6,6,9,10,6,12,urmas; viilm; heteroseksuaalne; poliitika; meelis; kirik; erakond; riik; süld; homoseksuaalne; probleem
7,10,10,8,6,7,8,7,5,12,urmas; viilm; heteroseksuaalne; meelis; poliitika; kirik; erakond; riik; süld; homoseksuaalne; probleem
