EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,11,8,7,9,9,10,10,9,13,lõpp; sajand; töö; arstiteadus; isolatsioon; meditsiin; nakkus; pidalitõbi; peeter; hellat; vitamiin
10,11,9,7,9,9,10,10,9,13,lõpp; sajand; töö; arstiteadus; isolatsioon; meditsiin; nakkus; pidalitõbi; peeter; hellat; vitamiin
11,11,10,7,9,9,10,9,9,13,lõpp; sajand; töö; arstiteadus; isolatsioon; meditsiin; nakkus; pidalitõbi; peeter; hellat; vitamiin
11,11,10,7,9,10,10,10,9,13,lõpp; sajand; töö; arstiteadus; isolatsioon; meditsiin; nakkus; pidalitõbi; peeter; hellat; vitamiin
10,11,10,7,9,11,10,10,9,13,lõpp; sajand; arstiteadus; töö; isolatsioon; vitamiin; nakkus; pidalitõbi; peeter; hellat; meditsiin
11,11,11,7,9,11,10,11,9,13,lõpp; sajand; arstiteadus; töö; isolatsioon; vitamiin; nakkus; pidalitõbi; peeter; hellat; meditsiin
11,11,11,9,11,11,11,11,9,13,lõpp; sajand; arstiteadus; töö; isolatsioon; meditsiin; nakkus; pidalitõbi; peeter; hellat; vitamiin
11,11,11,10,11,11,11,11,10,13,lõpp; sajand; arstiteadus; töö; isolatsioon; meditsiin; nakkus; pidalitõbi; peeter; hellat; vitamiin
10,11,11,11,11,11,11,11,10,13,lõpp; sajand; arstiteadus; töö; isolatsioon; meditsiin; nakkus; pidalitõbi; peeter; hellat; vitamiin
11,11,11,11,11,11,11,11,10,13,lõpp; sajand; arstiteadus; töö; isolatsioon; meditsiin; nakkus; pidalitõbi; peeter; hellat; vitamiin
11,11,11,11,11,11,11,11,10,13,lõpp; sajand; arstiteadus; töö; isolatsioon; vitamiin; nakkus; pidalitõbi; peeter; hellat; meditsiin
