EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
11,8,7,10,8,7,7,8,10,11,nukuteater; jaapan; hääl; muuseum; buratino; tolstoi; suusk; ferdinand; kuuldemäng; aleksei; artikulatsioon
11,9,7,10,10,9,7,8,10,11,nukuteater; jaapan; hääl; muuseum; buratino; tolstoi; suusk; ferdinand; kuuldemäng; aleksei; artikulatsioon
11,9,8,10,10,9,8,8,10,11,nukuteater; jaapan; hääl; muuseum; buratino; tolstoi; suusk; ferdinand; kuuldemäng; aleksei; artikulatsioon
11,9,9,10,10,10,8,8,10,11,nukuteater; jaapan; hääl; muuseum; buratino; tolstoi; suusk; ferdinand; kuuldemäng; aleksei; artikulatsioon
11,9,11,10,8,10,9,10,10,11,nukuteater; jaapan; hääl; muuseum; buratino; tolstoi; suusk; ferdinand; kuuldemäng; aleksei; artikulatsioon
10,9,11,10,8,11,10,10,10,11,nukuteater; jaapan; hääl; muuseum; buratino; tolstoi; suusk; ferdinand; kuuldemäng; aleksei; artikulatsioon
10,10,11,10,10,11,10,11,10,11,nukuteater; jaapan; hääl; muuseum; buratino; tolstoi; suusk; ferdinand; kuuldemäng; aleksei; artikulatsioon
11,11,11,11,10,10,9,10,10,11,nukuteater; jaapan; hääl; muuseum; buratino; tolstoi; suusk; ferdinand; kuuldemäng; aleksei; artikulatsioon
8,11,11,11,11,10,10,11,11,11,nukuteater; jaapan; hääl; muuseum; buratino; tolstoi; suusk; ferdinand; kuuldemäng; aleksei; artikulatsioon
8,11,11,11,11,11,9,11,11,11,nukuteater; jaapan; hääl; muuseum; buratino; tolstoi; suusk; ferdinand; kuuldemäng; aleksei; artikulatsioon
8,11,11,11,11,11,9,10,11,11,nukuteater; jaapan; hääl; muuseum; buratino; tolstoi; suusk; ferdinand; kuuldemäng; aleksei; artikulatsioon
