EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,11,8,10,6,8,9,9,8,11,loeng; kultuurisektor; rahvatantsupidu; sport; kihnu; kultuuriseminar; dünaamiline; esivanem; keeleteadlane; väliseestlane; saar
10,11,9,10,6,8,9,9,8,11,loeng; kultuurisektor; rahvatantsupidu; sport; kihnu; kultuuriseminar; dünaamiline; esivanem; keeleteadlane; väliseestlane; saar
10,11,10,10,7,8,9,10,8,11,loeng; kultuurisektor; rahvatantsupidu; sport; kihnu; kultuuriseminar; dünaamiline; esivanem; keeleteadlane; väliseestlane; saar
10,11,11,10,7,8,9,10,8,11,loeng; kultuurisektor; rahvatantsupidu; sport; kihnu; kultuuriseminar; dünaamiline; esivanem; keeleteadlane; väliseestlane; saar
11,11,11,11,7,9,10,11,8,11,loeng; kultuurisektor; rahvatantsupidu; sport; kihnu; kultuuriseminar; dünaamiline; esivanem; keeleteadlane; väliseestlane; saar
11,11,11,11,8,9,11,11,8,11,loeng; kultuurisektor; rahvatantsupidu; sport; kihnu; kultuuriseminar; dünaamiline; esivanem; keeleteadlane; väliseestlane; saar
11,11,11,11,8,11,11,11,8,11,loeng; kultuurisektor; rahvatantsupidu; sport; kihnu; kultuuriseminar; dünaamiline; esivanem; keeleteadlane; väliseestlane; saar
10,11,11,11,8,11,11,11,8,11,loeng; kultuurisektor; rahvatantsupidu; sport; kultuuriseminar; kihnu; dünaamiline; keeleteadlane; esivanem; väliseestlane; saar
10,11,11,10,8,11,11,10,9,11,loeng; kultuurisektor; rahvatantsupidu; sport; kultuuriseminar; kihnu; dünaamiline; keeleteadlane; esivanem; väliseestlane; saar
10,11,11,11,9,9,11,10,9,11,loeng; kultuurisektor; rahvatantsupidu; sport; kultuuriseminar; kihnu; dünaamiline; keeleteadlane; esivanem; väliseestlane; saar
9,11,11,10,11,11,11,11,11,11,loeng; kultuurisektor; rahvatantsupidu; sport; kultuuriseminar; kihnu; dünaamiline; esivanem; keeleteadlane; väliseestlane; saar
