EstBERT;est-roberta;LaBSE;bertMulti;distilbertMulti;MiniLM-L12_multi;multi_e5;xml_roberta
;vanaisa;muusikakooli;tähendab;;laulavad;Ooperilauljad;Lääne-Euroopas
õpetamine;kammerkooris;metallkonstruktsioon;võistlusi;nooremate;lastemuusikakoolis;Mari-Liisi;vana-aasta
piimakombinaat;Räägime;1890;pressitud;andsin;mäletate;Näitleja;ühendanud
üleliiduline;tippkokkade;eellugu;Pianistid;range;kuuldemängudes;Eurovisiooni;võib-olla
pöörduvad;Minule;ettevalmistamisprotsess;laulame;noorem;bussis;intervjuusid;kujutanud
Vigalaste;rokklaulja;2004;arstiteaduskonnas;mana;muusikatoimetajad;Maailmakuulsate;2003
õppima;seljas;Ida-Euroopas;kaks;valida;vabandasin;Volksooperisolist;eesti
puhtpraktilistel;režissööre;ooperifilme;kultuurile;head;maitse;kaheksakümneaastane;mõtlesin
täheldasin;Edurdobane;verehaigustega;Ühendriikide;powerit;tütar;telesaates;võtan
energiad;rosmonton;piimakombinaat;korda;hull;kiiremaid;omamoodi;käigus
nii-öelda;;Matverega;kontrolltööd;seed;valisime;mängisin;puudutada
Külmetushaigus;Oleks;sündinud;Lõpuks;sans;ootasin;Tsitaat;töötama
läheduses;julgeolekumeetmed;organisatsioonides;Washingtoni;sumin;Marianne;Olümpiavõitja;toiduks
kokakursustel;tume;vanematele;hoolitseb;mall;luuletused;Kesk-Rootsis;meedia
lõpetasin;Mis;lauldes;lubada;tookord;Me;Täna;jätkuks
näitlejaks;huvitav;Peterburis;surve;saadame;klaverit;Inimesed;vanemad
näitavadki;närvilises;keskteed;aastast;doi;tõlkepraktika;Saksamaal;töötab
mõjuda;rutiin;powerit;lükata;voor;Legendaarne;Peeter;ongi
uudiste;vaatab;Metsiku;proovisid;vale;proovinud;repertuaari;pealegi
