EstBERT;est-roberta;LaBSE;bertMulti;distilbertMulti;MiniLM-L12_multi;multi_e5;xml_roberta
;dikteeribki;kultuuriväärtust;tähendab;;eestimaal;mõisast;võib-olla
Ruth-Kaja;Räägime;kuulavad;sõitsime;action;loengutsükkel;mõisaomanikega;õigusteaduskonna
AFP-d;Ülikool;oluline;eraisikule;head;Helsingi;Meie;kooliharidust
kõrgharidused;Kui;kunsti;meeldis;ideaal;eile;Nüüd;võta
tööstusettevõtete;direktor;Café;aktsiaseltsi;stress;Norrasse;Mõisa;kolmekäigulised
programeeni;eesmärkide;kanalisse;statsionaarselt;roll;hommepäev;Eelkõige;eesti
nädalalõpu;kooliharidust;omanik;järglaste;tellet;tänapäeva;Eestimaa;lihtsalt
maakoolihariduspõhi;inimene;köök;miljonit;Noorem;Café;minutit;kolme
persooniintervjuud;säilitamine;uksed;viie-kuue;laste;külas;Millised;70
põhimõtteliselt;Concordia;raamatukogust;öeldakse;taskus;õhtul;Siis;27
vigioon;piisavalt;eetiline;telliskividega;kodu;külalise;mikspärast;Nende
mõisostid;enamuses;restaureeritud;esialgne;programmid;inimestega;Järvamaaga;kohalike
kultuuriväärtust;sisekujunduses;hinnake;otseses;ring;majapidajanna;persooniintervjuud;töötab
tervisesaavutamine;atraktiivne;korruseline;rusuhunnikuks;arvasin;kodus;kohalike;ümbrusest
küsimus;liikumist;sisekujunduses;raeKoeru;tellist;otsustasite;tahaksin;kujutasite
kopsutubak;Minu;atraktiivne;konkreetselt;uss;linnastest;Viimsisse;ongi
Baltikumi;hea;külas;kuidasmoodi;saabub;kohtuda;müüa;lõpetasin
lõunad;aednik;niitvälja;närviline;fakt;nädalas;Mida;vaadata
Ruhnus;Ruth-Kaja;ostmise;kahekümnekesi;probleem;hommikul;õigemini;suhteliselt
ütleksin;persooniintervjuud;Pekk;Viimsisse;tähendab;istunud;Räägime;võimalik
kaemus;kasutusse;ajaloolist;tõesti-tõesti;idee;mõisahoonest;müüri;varem
ülemöödunud;Oma;;täitsa;kodus;päevad;Tallinnast;uuesti
arengukeskus;punkti;hooned;neiul;andunult;omandasime;külast;pidevalt
mõtetel;liigub;raadiokuulajale;tervitada;homme;ootan;Tänan;12
öeldakse;Alati;töötavat;esiteks;saavutada;võõrastega;Ruth-Kaja;See
suurusjärgus;Kommunistlikusse;okei;rektoritoolil;reaalne;kaua;rikkamaks;aja
tõesti-tõesti;Ühel;intervjuust;kvalifikatsiooni;tore;Euroopas;uus;leida
bankettide;puhtaks;sauna;põhiliselt;tekitada;hiljem;maakoolist;tegelikult
ausammas;riikides;üürimisel;kõrgtippkõrgkooli;võimalik;tahaksin;inimestest;kohtuda
kõrgtippkõrgkooli;vajalikud;kursusi;erakätesse;detaile;nädalalõpu;jätkub;meetrit
võimalusi;piisav;süsteem;mõistatada;toolil;ostsid;hommikuti;vanemad
lammutati;inimese;õppejõuna;õigemini;näiteks;kuulate;Laidi;teada
Võib-olla;sise;parkija;organiseerinud;koduse;omanik;Euroopas;olukorras
kursustada;2000;küsimustega;veedate;asi;norra;ehitab;põhjus
lõiguke;koidab;külalise;nädalas;olemise;eelkõnelejale;mees;tahaks
iseärasus;sugulaste;bankettide;Emotsionaalselt;kindel;vabariigis;mõeldes;aitab
laupäeva;Laidi;teadmine;ametid;segatud;ajajaotamise;kultuuriväärtust;inimeste
Concordia;Mida;kaheksa;perekondliku;sorry;nostalgiaks;Väga;hästi
küsisin;ratsabaasist;eesti;rahvusraamatukogus;printsiip;tahtmised;Inimesed;On
Tähendab;sedasi;Euroopas;pannkoogilõhn;Need;elukogemus;rahvusraamatukogus;head
maakoolimaa;vormis;täna;toetavalt;detailselt;minutit;Karusoo;juhtuks
dikteeribki;Milleks;elukohaga;arstiharidusega;klient;ajaloolist;ratsabaasist;2000
sisekujunduses;tellet;sulatatud;leidis;pargist;ootamatut;kukkumistest;möödunud
tõmblemine;;oodata;vabariigis;autode;üürimisel;Eeva;kasvatasin
toidunõusid;diplomi;alusel;diplomiga;kontrolli;organiseerinud;vabariigis;Ülikool
kõrgemad;eri;Linn;intervjuust;istun;tänulik;tutvume;lapsedki
tõenäoliselt;kasvatamist;Küte;mängida;võimaldab;PA;abikaasaga;kõrgharidus
kalkulatsioone;70;lesknaine;diplomit;otsustasime;üldse;nädalalõpu;kasutada
nädalal;kord;silla;tänapäeva;punkti;lõunad;mehepoegadega;mõtlen
vastuvõttude;Emotsionaalselt;viimasel;ümbrusest;inimene;Kalev;restaureeritud;kurjus
Öelgem;tõesti-tõesti;Austraaliast;ehitusdirektor;uksed;ärimaailmas;lõpetasin;külast
mänginud;Kohila;telefonikõne;algklasside;annab;tippjuhtkonnaga;võita;majanduslik
pilt;sorry;müüri;Ruth-Kaja;usute;meetrit;tasuta;10
õpetajad;Becki;istuge;õed-vennad;tohib;silla;Ruhnus;parkija
Ülikooli;silmapill;masinatega;lähemalt;jurist;kava;Rapla;soovitan
võimaluse;areng;viie-kuue;kadedust;seadmine;jaanuar;Ühendriikides;millegipärast
Linn;Nojah;elutee;Tiivne;koju;juunil;näitus;inimestega
üritusi;Ma;õigusteaduskonna;inimvaenulik;saamine;rusuhunnikuks;lugu;võtame
raeKoeru;tütremehega;puurima;tütre;vanem;minagi;Võib-olla;kulumaid
Tartus;akadeemilised;tea;tihemini;kolme;Arvan;sõitsime;Mind
niitväljal;Raha;liige;positiivse;vastavat;viie-kuue;Kalev;näiteks
töölt;natuke;tõesti-tõesti;stuudios;meel;sõpru-tuttavaid;Tiivne;20
kukkumistest;õelus;minutit;Eelkõige;eile;üksildasena;kasutada;nii-öelda
nii-öelda;vanadus;vastuvõttude;loengutsükkel;parem;täis;instituudis;kahe
püüate;mõis;Ahaa;krooni;kurb;raeKoeru;vaiksemaks;võtma
katastroofiline;elukäsitluse;arvan;absoluutses;vend;sõitma;Ahaa;allumine
külarahvas;tööle;loengutsükkel;Ameerika;korda;parkija;neljandas;võimalust
õed-vennad;jala;mikspärast;võrdselt;adub;võita;üürimisel;jaanuar
probleem;täna;pannkoogilõhn;väga-väga;aluseks;Ühendriikides;suuremaid;kuulub
Järvamaaga;ostab;võimeid;kanalite;taust;tohib;eksisteerida;sõidame
vormi;müüri;jama;hoiaks;kooslus;juhtub;dikteeribki;öelda
majandusjuhtide;tavaliselt;tahaksin;Päriselt;kindlasti;kõrget;teemad;Mida
korruseline;suutnud;Ühel;lammutati;Mind;improviseeritud;rektoritooli;tagama
psühholoog;ehitab;südant;Sest;aus;kilomeetrit;Igalühel;näol
juured;punase;punase;eras;asuv;paned;hüljatud;muutuvad
kurjus;tahtmine;efektoloogina;vargsi;seob;Eeva;Üla;luba
asjaolud;mõtteline;mugavus;lesknaine;kahte;lõpetasin;rusuhunnikuks;Ameerikas
problemaatilised;soe;saadet;uuesti;toetavalt;tulevikku;Balti;istute
ametinimetus;Ülikoolipsühholoogina;keskosas;suurem;suhteliselt;paistab;päranduse;Ruhnus
juhtimine;kandis;lõikan;sünnipäevi;selge;sünnipäevi;raadiokuulajale;pööris
klassikomplektiga;ümbrusest;jääks;professionaalses;Et;Me;Margit;homme
Igalühel;arva;neiul;arenduskeskus;heal;atraktiivne;Kilumets;Olen
loengutsükkel;teemegi;ausammas;Eestimaal;lapsed;abikaasaga;Kommunistlikusse;ajal
ratsabaasist;Kilumets;eriinternaatkoolis;saavutada;uus;küsimustega;Äkki;arvama
täiuslikku;oht;loos;ametikohta;rentsildendan;algusaastatel;ajast;elasime
voodeid;kolu;toitlustamine;südant;ütlen;välistada;arengukeskus;92
Räägime;kurjus;Kalev;seob;sobiv;punastest;Neste;25
korras;ööbimiste;ideed;ratsutamise;See;meelerahu;Lähen;aeg
jätkub;kasu;professioon;detailselt;omanik;Belarus;hoiaks;mees
inimvaenulik;professionaalses;arengukeskus;Baltikumi;vennad;tihemini;raeKoeru;küsisin
raamatukogu;restaureeritud;tulevikunägemus;Igalühel;retke;avatud;esiteks;Või
asjad;raadiokuulajale;kalkulatsioone;mänginud;kaks;reklaamita;Pekk;püüdnud
improviseeritud;elama;Helsingi;eesmärk;isiklikult;erakätesse;keskpaigas;pannkoogilõhn
paistab;optimistlikult;protsenti;kristlikus;elasin;mikspärast;spioonid;tuntuks
professioon;kulgenud;kaela;vastuvõttude;hind;raadiokuulajale;kolhoosis;tasemel
sidejaoskond;Ilmutuse;kaart;paljus;PA;miljonit;Pirgust;tüüpi
action;aasta;Norra;mõisahoonest;vormis;ehitada;Riho;paar
suhted;arhitektuurilist;Ruhnus;Tallinnasse;noor;unistused;õed-vennad;vallavalitsus
okei;klassikomplektiga;naljatades;hästi;asjad;10-ks;sisekujunduses;natukene
pärandus;suures;sõpru-tuttavaid;otsida;eri;Noorem;Austraaliast;ülemöödunud
varem;rentsildendan;proovida;ilusasti;tea;Kilumets;Emotsionaalselt;raha
Ülikoolipsühholoogina;Bella;Karusoo;teistpidi;bankettide;nimeks;majandusjuhtide;leiab
nimelt;Helme;Inimesed;kursus;meetrit;avastati;Noorem;üldse
harjutusmasinatega;huvitav;nädalavahetuse;külalise;soe;muutma;paistma;mängida
algusaastatel;üksildasena;tõstma;Ülikooli;kaart;mängida;Martud;Arvan
tervenenud;veeta;kevade;peakokk;oht;kahekümnekesi;meeldivus;Tänan
pühendanud;langenud;Ruth-Kaja;imidži;praegult;Inimesed;kõht;väärtust
Tallinnasse;töötavad;kommenteerida;rektorid;toreda;lesknaine;visioon;tunda
hinnake;Merle;otsis;telekontrolli;satuvad;tasuta;Kes;linna
veedate;kasutada;tööstusettevõtete;külast;annaks;optimismi;soovituse;vabariigis
armas;konkreetselt;Kes;vastasin;viie;enamuses;pannkoogilõhn;inimesel
kujutasite;rõõmu;ehitusdirektor;Eeva;vilju;kultuuriväärtust;printsiip;Raha
tervist;advokaadi;eelkõnelejale;Ühendriikides;juured;südant;telliskividega;Tartus
mõistatada;hetk;algklasside;isiklikud;no;esimeses;ostsite;Tallinnasse
elukogemus;bankettide;Eeva;instituudis;aednik;Rutkaja;harjutusmasinatega;omanik
tõsiseid;riides;Emotsionaalselt;sidejaoskond;niigi;tunne;leiaks;Ameerika
stress;külalise;uuendamegi;ilusti;aeg;värskete;Advokaadina;sõidate
juunil;Söön;hektarit;võib-olla;vaja;kaldun;jäädagi;punkti
puurima;gripis;õnnelik;lõunad;talve;kirjutada;punkti;täis
kõlab;teemad;liikumist;mõisasse;süsteem;kasvanud;Selle;silmapill
eraisikule;eetiline;rektorid;parteisse;võib-olla;rahvusraamatukogus;klassikomplektiga;töös
muutuda;kolhoosis;taust;Järvamaaga;unetuid;tellist;Öelgem;jäänud
sisulises;inimesena;Räägime;ametinimetus;arengut;päästetakse;aktsiaseltsi;katastroofiline
sõpru-tuttavaid;kaasomand;telliskividega;kindlasti;üürimisel;vähe;kolme;maakond
