EstBERT;est-roberta;LaBSE;bertMulti;distilbertMulti;MiniLM-L12_multi;multi_e5;xml_roberta
;lumeraasukest;tänavatel;veeresid;;Kogelesin;rääkima;See
mõtete;;maanteele;meeldib;torm;jonnakalt;lugeda;mõtlesin
sületäie;Kas;kõndisin;leegitsevas;meest;Kummardusin;räägigi;ongi
pöördus;aastate;räägin;Ümberringi;sadade;kiilasjääs;reisijutud;esimest
suutäie;Kummardusin;pikkade;üldse;koormal;võpatas;Viimasel;lahkusin
Tasakummardus;Sa;sageli;käsivarre;koju;kuuseokstega;Kõige;leheküljelt
mõtted;Õueväravas;leheküljelt;kümnekordselt;korda;tükkideks;Jäime;hästi
tõrrelesin;toimingud;toimingud;sületäie;seisma;löönud;Uukkivi;aitab
Kon-Tiki;maa;metsas;rahulikult;ukse;tõrrelesin;Nüüd;ütles
hüppas;löönud;paljude;ütlemata;avatud;ärevalt;ütlesin;Läksime
Õueväravas;Oli;keerulisel;kuuseokstega;tunde;torelesin;Õueväravas;jutustas
järelastasime;tabas;tugevasti;komistades;elu;leegitsevas;Pärast;räägigi
reisijutud;lõpetada;suutäie;räägi;See;heitnud;Läksime;üldse
Küsisin;Aga;ukse;teagi;vastasema;Leheküljelt;õue;Johan
külmad;hoidnud;ütlemata;paljude;kaks;jäi;Tõin;aastate
hingamistagasi;pudrupada;vaikselt;läikiv;ongi;Katkendlikku;lahkusin;meiegi
üldse;Lumi;sõnad;nägin;kordade;lumeraasukest;Nagu;võtmata
käsivarre;Kõige;lumeraasukest;lävele;tea;laususin;Tuisku;ajal
Ümberringi;puude;lugeda;meeldisid;võttis;õue;Kuid;linna
tagatoa;isa;komistades;selga;toast;tõmbas;õega;räägin
läbipaistvale;suutäie;raamatut;pikkade;meeldib;hingamistagasi;hommikul;vaadata
kordasemale;209;;Katkendlikku;kuri;pikkade;näinud;kaenla
täismehega;Mis;aastate;rääkida;rei;Ümberringi;pikemaks;lugeda
Lõuna;-lt;hoog;minulgi;kümnekordselt;igatsesid;häälega;Kuid
tänavatel;Tema;hüppas;järelastasime;isa;suutäie;kordasemale;räägid
pööratud;ütlesema;puude;ütlesin;jäi;püüdis;sõnad;pihku
ütlesema;kord;kordade;väsitada;rajal;kohmetult;otse;paljude
kõnniksin;Tõin;Tema;pojapoega;toad;tulija;elu;hoog
kõndisin;täna;ahjus;suutäie;kuum;ütlesid;ütlematult;puu
rabanduse;Ära;jäigana;raamatu;heitnud;jõudnud;jutustas;Kon-Tiki
metsas;majja;Emaga;vingelt;koer;igapäevast;päeva;Või
räägid;mõtlesin;reisijutud;vaadata;laususin;rajal;Või;inimeste
mõtlesin;tõi;ajal;lumeraasukest;paljude;kinni;jällegi;noa
tasakuidas;loo;209;teadnudki;rebis;täna;Tundus;selga
koormal;nina;häälega;viinaklaasi;harva;Õueväravas;puhusin;Ümberringi
Ähmaselt;lebas;tuult;langesid;laual;ütlesema;kinni;paar
Leheküljelt;ema;Tuisku;kuum;paar;rippuma;raamatut;
ütlemata;ennemgi;esimest;süüdlast;lõi;linna;Lõuna;Ütlesin
Akna;pikemaks;põlvili;rabanduse;toimingud;surusin;kõndisin;õega
vastasema;suutnud;inimeste;keerulisel;nutsin;puid;lüüa;Õde
sirgusid;hoog;elu;ütelda;keerulisel;püüdsin;Seegi;tõi
sosinal;nägu;seisma;silmist;otse;ärrita;löönud;rahulikult
läikiv;õhku;jällegi;Kummardusin;isal;kõndisin;meeldib;Ema
sihil;pojapoega;vingelt;surusin;ütlesin;rabanduse;Istusin;Pisarad
tuba;linna;meiegi;ärevalt;sageli;pojapoega;esimest;kaks
käed;Kon-Tiki;Uukkivi;hommikul;ootas;tugevasti;järelastasime;Tere
linna;loen;koer;Leheküljelt;ütlematult;kaenla;Kummardusin;jällegi
räägigi;korraga;ütles;laskus;sihil;näkku;kümnekordselt;ema
aitab;kergemaks;Kuid;toimingud;kitsas;kõhnaks;täismehega;100
hüüdsin;hiiglasuur;külmad;tasakuidas;Ei;üldse;ahju;Ja
lävele;häälega;üldse;ekspeditsioon;aitab;kõnniksin;lumeraasukest;koju
Siin;Ma;Ivo;kergemaks;libe;Tasakummardus;tõrrelesin;Oli
ütlematult;külmad;õue;õhetama;kirjevatel;pöörlasin;teadnudki;hüüdsin
paiskas;jaga;kergemaks;laususin;ütelda;võtmata;tõmbas;tahtis
lambi;Siin;ekspeditsioon;lautsilt;hilja;nägin;Siin;ütlesid
jõudnud;Kellest;torm;tükkideks;ütles;Läksime;kuum;lakkuda
Tundus;toad;Rääkis;helistati;ennemgi;paistis;igapäevast;näo
soojemaks;kuuseokstega;läikiv;igatsesid;hoog;järelastasime;võtsin;Rääkis
Jätkasime;koju;hingamistagasi;kirjevatel;jäin;pisarad;minulgi;püüdsin
hiiglasuur;avatud;kümnekordselt;kohmetult;vaprat;raamatu;kiiresti;Varsti
koer;hommikul;maa;lahkusin;saagi;maa;igatsesid;pealinnas
püüdsin;lakkuda;Ähmaselt;hetkekski;õde;Oleksin;püüdsin;ütlemata
saare;metsas;veeresid;põlvili;emal;nina;võtmata;ekspeditsioon
kergemaks;Kusagil;mõtlesin;nutsin;karda;hüüdsin;kiilasjääs;Kõige
räägin;näkku;avatud;käele;väsitada;Uukkivi;ukse;ütlesin
pudrupada;Ütlesin;ennemgi;hilja;hästi;pööratud;saare;elu
Kõige;koer;ainustki;pööratud;suutnud;peatuma;hetkekski;igapäevast
Rääkis;raamatute;lakkuda;rippuma;käsi;otse;mõtted;meest
raamatute;lõi;tükkideks;endamisi;lootusetult;leheküljelt;kuuseokstega;kord
sõnad;käsivarre;kirjevatel;lõpetada;metsas;Pisarad;maa;tänavatel
Ta;kurjaks;jonnakalt;lugeda;paiskas;Kordasin;inimeste;Tema
raamatu;surus;külje;hingamistagasi;koormalt;võtsin;kaks;jäänud
toimingud;kinni;igapäevast;kiiresti;kuus;kurjaks;Võtsin;näinud
igapäevast;õde;näo;Jätkasime;surus;jäid;avatud;viinaklaasi
kõhnaks;surusin;teagi;jõudnud;ajal;õega;pojapoega;torm
räägi;See;ärevalt;külje;langesid;hetkekski;juhtunud;puhusin
Katkendlikku;Torm;otse;ütlesid;pojapoega;metsas;pöörlasin;surus
rääkima;maanteele;Kõige;reisijutud;tean;mõtlesin;jonnakalt;poeg
hoidis;juhtunud;väsitada;Viimasel;reisijutud;lõi;tänavatel;leegitsevas
inimeste;inimeste;kaks;Õueväravas;klaase;meeldisid;vastasema;kõndisin
kiilasjääs;väsitada;pealinnas;Ähmaselt;hoidsin;keerulisel;jäin;korraga
täna;kiilasjääs;lootusetult;võtmata;asetas;täismehega;tugevasti;lautsilt
Lumi;õega;kuuseokstega;lebas;näinud;rinnale;laususin;Emaga
puhusin;poeg;-lt;täismehega;raamatu;kiiresti;peatuma;Uukkivi
Läksime;saare;laual;kinni;paistis;korraga;paljude;nägu
näinud;Varsti;kõnniksin;torelesin;tänavatel;hoog;tuisk;Nagu
vaikselt;torelesin;tuisk;kõnniksin;nina;koju;lõpetada;lõpetada
puu;kõvasti;majja;Kon-Tiki;ema;ütlematult;Küsis;kõvasti
veeresid;otse;ärrita;Istusin;rinnale;külmad;Õde;Pärast
Oli;seisma;luubiga;löönud;kinni;Küsisin;soojemaks;pikemaks
ütlesid;saagi;käsivarre;maanteele;mõtete;Siin;Tere;püüdis
Tema;ootas;saare;pealinnas;suutäie;rei;leegitsevas;tuisk
häälega;Tere;kuus;igapäevast;külmad;ekspeditsioon;lahtist;Viimasel
toast;tahab;harva;Ära;selga;Torm;süüdlast;metsas
toad;Nagu;hobune;õde;luges;pikemaks;kurjaks;täna
See;pööratud;Jätkasime;ütlematult;külje;minulgi;käed;seisma
pojapoega;näo;hiiglasuur;tugevasti;süüdlast;kordasemale;Ähmaselt;minulgi
luubiga;rahulikult;pisarad;seisma;laskus;puhusin;veeresid;tean
Uukkivi;kümnekordselt;joodik;isale;esimest;ootas;õhtut;raamatut
Torm;raamatu;juhtunud;kordade;tuult;elu;hiiglasuur;Lumi
puid;hüppas;pudrupada;vastasema;veeresid;maanteele;lootusetult;karjuda
100;Ivo;tunde;Tõin;teadnud;õhku;vaikselt;joodik
Nüüd;jõudnud;pöörlasin;hobune;läbipaistvale;Lõuna;poeg;nägin
ekspeditsioon;sõnad;pihku;puhusin;torelesin;isa;Tasakummardus;kuus
kees;rääkida;Siin;tuisk;lahtist;juhtunud;Emaga;võpatas
Istusin;tõmbas;leegitsevas;otse;kaetud;teadnud;pealinnas;süüdlast
rahulikult;raamatut;koormal;lükkas;rabanduse;karda;Leheküljelt;Torm
koormalt;ongi;õde;kaetud;ainustki;Kõige;Katkendlikku;karda
libe;kuus;kiilasjääs;jutustas;sõnad;torm;aastate;luubiga
Kogelesin;puid;kuri;ainustki;võtmata;Ema;rippuma;rebis
lükkas;peatuma;Johan;kees;loen;pudrupada;lautsilt;komistades
majja;rajal;karjuda;jäigana;jäid;sõnad;näkku;Jätkasime
ennemgi;hoidis;kaetud;hoidnud;sirgel;Istusin;Rääkis;tugevasti
Teda;lugeda;nina;ennemgi;komistades;inimeste;metsas;kees
Komistasime;ütlematult;Lumi;hüüdsin;silmist;esimest;rabanduse;raamatu
jonnakalt;Või;sosinal;lahtist;maa;kees;tulija;harva
lahti;käele;tasakuidas;Jäime;joodik;väsitada;tunde;reisijutud
õhetama;tean;emal;kord;korraga;rääkida;põlvili;Kellest
Ma;ahjus;tuba;kurjaks;rippuma;vaadata;pööratud;õde
rajal;kaks;meeldisid;lüüa;kord;lahkusin;puu;rääkida
Nagu;leegitsevas;vastasema;ukse;saare;laual;läbipaistvale;häälega
hommikul;teagi;võpatas;jonnakalt;tuisk;ennemgi;ekspeditsioon;pisarad
sirgel;tõrrelesin;aitab;näinud;ärevalt;helistati;Ema;käsi
nina;sosinal;Akna;Nagu;lambi;süüdlast;endamisi;sirgel
tahtis;Istusin;Ma;hoidsin;Nüüd;rahulikult;Ivo;tuult
pealinnas;viinaklaasi;rabanduse;Rääkis;Läksime;kuri;tükkideks;sageli
jäänud;ärrita;karda;Komistasime;jäigana;lõpetada;Varsti;puid
paljude;selga;toad;tõi;vingelt;Ivo;näo;Mis
rääkida;reisijutud;loen;hoidis;dalamas;meest;kuus;ahjus
lumeraasukest;hoidsin;luges;hästi;tasakuidas;tänavatel;nutsin;raamatute
igatsesid;pöördus;dalamas;emal;leegitsevas;harva;Ei;veeresid
hilja;ukse;nutsin;kitsas;kõnniksin;noa;hingamistagasi;kurjaks
kitsas;võpatas;helistati;Oleksin;209;ainustki;kergemaks;hoidnud
joodik;pikkade;Õde;Võtsin;ööd;Kuid;toimingud;otse
sageli;kohmetult;toast;aitab;nägu;Viimasel;Kusagil;pöörlasin
maa;esimest;ootas;sirgusid;sosinal;paljude;nina;hilinenud
elu;harva;Nagu;Teda;poeg;Johan;Ma;paiskas
pöörlasin;Pisarad;vaprat;sadade;Aga;mõtted;Pisarad;koer
Kummardusin;igapäevast;Või;näo;-lt;lootusetult;isale;lüüa
Mis;vaprat;Küsis;dalamas;Ära;lahtist;lambi;Ütles
viinaklaasi;joodik;Kon-Tiki;emale;ahju;koormalt;Johan;tasakuidas
süüdlast;rebis;Istusin;Uukkivi;lautsilt;ahju;viinaklaasi;kaetud
keerulisel;ütlemata;näha;joodik;kergemaks;joodik;tasakuidas;ööd
lahtist;helistati;tean;kõvasti;tahtis;langesid;ütelda;meeldisid
seisma;minulgi;Õueväravas;rinnale;kurjaks;majja;Torm;hoidis
kordasema;Õde;tõi;puu;õhku;ajal;karjuda;lahtist
Tere;dalamas;Ära;jäid;hobune;aastate;kord;avatud
ajal;räägin;selga;koormalt;hingamistagasi;ukse;hilja;kordasema
kuuseokstega;ainustki;tabas;esimest;100;nägu;koju;Küsis
lautsilt;käed;Teda;püüdis;kees;Kon-Tiki;kaenla;kuum
laususin;Ümberringi;rinnale;ärrita;hüppas;kuum;Teda;jõudnud
