sent id;word id;word;lemma;upos;deprel;head;head upos;head id;ner tag
1;1;Ahoi;ahoma;VERB;root;root;;0;O
1;2;kõigile;kõik;PRON;obl;Ahoi;VERB;1;O
1;3;,;,;PUNCT;punct;tuksub;VERB;7;O
1;4;kellel;kes;PRON;obl;tuksub;VERB;7;O
1;5;süda;süda;NOUN;nsubj;tuksub;VERB;7;O
1;6;merele;meri;NOUN;obl;tuksub;VERB;7;O
1;7;tuksub;tuksuma;VERB;acl:relcl;kõigile;PRON;2;O
1;8;tänane;tänane;ADJ;nsubj;pääse;VERB;12;O
1;9;suurele;suur;ADJ;amod;merele;NOUN;10;O
1;10;merele;meri;NOUN;obl;pääse;VERB;12;O
1;11;ei;ei;AUX;aux;pääse;VERB;12;O
1;12;pääse;pääsema;VERB;acl:relcl;kõigile;PRON;2;O
1;13;.;.;PUNCT;punct;Ahoi;VERB;1;O
2;1;Küll;küll;ADV;advmod;läheme;VERB;3;O
2;2;aga;aga;ADV;advmod;läheme;VERB;3;O
2;3;läheme;minema;VERB;root;root;;0;O
2;4;paika;paik;NOUN;obl;läheme;VERB;3;O
2;5;,;,;PUNCT;punct;sõidavad;VERB;10;O
2;6;kust;kust;ADV;mark;sõidavad;VERB;10;O
2;7;laevad;laev;NOUN;nsubj;sõidavad;VERB;10;O
2;8;suurele;suur;ADJ;amod;merele;NOUN;9;O
2;9;merele;meri;NOUN;obl;sõidavad;VERB;10;O
2;10;sõidavad;sõitma;VERB;advcl;läheme;VERB;3;O
2;11;.;.;PUNCT;punct;läheme;VERB;3;O
3;1;Endiseid;endine;ADJ;amod;kinnised;ADJ;2;O
3;2;kinnised;kinnine;ADJ;root;root;;0;O
3;3;.;.;PUNCT;punct;kinnised;ADJ;2;O
4;1;Sädemed;säde;NOUN;nsubj:cop;vabad;ADJ;8;O
4;2;Tallinna;Tallinn;PROPN;nmod;lahe;NOUN;3;O
4;3;lahe;laht;NOUN;nmod;Sädemed;NOUN;1;O
4;4;ümber;ümber;ADP;case;lahe;NOUN;3;O
4;5;on;olema;AUX;cop;vabad;ADJ;8;O
4;6;nüüd;nüüd;ADV;advmod;vabad;ADJ;8;O
4;7;püssimeestest;püssimees;NOUN;obl;vabad;ADJ;8;O
4;8;vabad;vaba;ADJ;root;root;;0;O
4;9;ja;ja;CCONJ;cc;saanud;VERB;15;O
4;10;jälle;jälle;ADV;advmod;saanud;VERB;15;O
4;11;oma;oma;PRON;nmod;nimed;NOUN;13;O
4;12;endised;endine;ADJ;amod;nimed;NOUN;13;O
4;13;nimed;nimi;NOUN;obj;saanud;VERB;15;O
4;14;tagasi;tagasi;ADV;compound:prt;saanud;VERB;15;O
4;15;saanud;saama;VERB;conj;vabad;ADJ;8;O
4;16;.;.;PUNCT;punct;vabad;ADJ;8;O
5;1;Veeteede;veetee;NOUN;nmod;ameti;NOUN;2;O
5;2;ameti;amet;NOUN;nmod;rannavalveteenistuse;NOUN;3;O
5;3;rannavalveteenistuse;rannavalveteenistus;NOUN;nmod;kaatrid;NOUN;4;O
5;4;kaatrid;kaater;NOUN;nsubj;on;VERB;5;O
5;5;on;olema;VERB;root;root;;0;O
5;6;ühes;üks;DET;det;paigas;NOUN;9;O
5;7;niisuguses;niisugune;DET;det;paigas;NOUN;9;O
5;8;turvalises;turvaline;ADJ;amod;paigas;NOUN;9;O
5;9;paigas;paik;NOUN;obl;on;VERB;5;O
5;10;kai;kai;NOUN;obl;on;VERB;5;O
5;11;ääres;ääres;ADP;case;kai;NOUN;10;O
5;12;merele;meri;NOUN;obl;ootamas;VERB;14;O
5;13;kutset;kutse;NOUN;obj;ootamas;VERB;14;O
5;14;ootamas;ootama;VERB;xcomp;on;VERB;5;O
5;15;.;.;PUNCT;punct;on;VERB;5;O
6;1;Meresaare;Meresaar;NOUN;nmod;ahoi;NOUN;2;O
6;2;ahoi;ahoi;NOUN;nsubj;läheb;VERB;3;O
6;3;läheb;minema;VERB;root;root;;0;O
6;4;Eesti;Eesti;PROPN;nmod;veeteede;NOUN;5;O
6;5;veeteede;veetee;NOUN;nmod;ameti;NOUN;6;O
6;6;ameti;amet;NOUN;nmod;eestkostel;NOUN;10;O
6;7;ja;ja;CCONJ;cc;merelaevanduse;NOUN;9;O
6;8;Eesti;Eesti;PROPN;nmod;merelaevanduse;NOUN;9;O
