sent id;word id;word;lemma;upos;deprel;head;head upos;head id;ner tag
1;1;Tänane;tänane;ADJ;amod;piibujutt;NOUN;2;O
1;2;piibujutt;piibujutt;NOUN;root;root;;0;O
1;3;,;,;PUNCT;punct;mittesuitsetajad;NOUN;5;O
1;4;põhimõtteliselt;põhimõtteliselt;ADV;advmod;mittesuitsetajad;NOUN;5;O
1;5;mittesuitsetajad;mittesuitsetaja;NOUN;conj;piibujutt;NOUN;2;O
1;6;ja;ja;CCONJ;cc;Ottoliikmelt;PROPN;12;O
1;7;pool;pool;NUM;nummod;sajandit;NOUN;8;O
1;8;sajandit;sajand;NOUN;obl;pidanud;ADJ;11;O
1;9;autojuhi;autojuht;NOUN;nmod;ametit;NOUN;10;O
1;10;ametit;amet;NOUN;obj;pidanud;ADJ;11;O
1;11;pidanud;pidanud;ADJ;acl;Ottoliikmelt;PROPN;12;O
1;12;Ottoliikmelt;Ottoliikmelt;PROPN;nmod;piibujutt;NOUN;2;O
1;13;.;.;PUNCT;punct;piibujutt;NOUN;2;O
2;1;Niisiis;niisiis;ADV;advmod;auto;NOUN;2;O
2;2;auto;auto;NOUN;root;root;;0;O
2;3;pool;pool;NUM;nummod;sajandit;NOUN;4;O
2;4;sajandit;sajand;NOUN;nmod;auto;NOUN;2;O
2;5;tagasi;tagasi;ADP;case;sajandit;NOUN;4;O
2;6;.;.;PUNCT;punct;auto;NOUN;2;O
3;1;Siis;siis;ADV;advmod;tehtud;VERB;7;O
3;2;autojuht;autojuht;NOUN;obj;tehtud;VERB;7;O
3;3;oli;olema;AUX;aux;tehtud;VERB;7;O
3;4;ikka;ikka;ADV;advmod;tehtud;VERB;7;O
3;5;kohe;kohe;ADV;advmod;tehtud;VERB;7;O
3;6;päris;päris;ADV;advmod;tehtud;VERB;7;O
3;7;tehtud;tegema;VERB;root;root;;0;O
3;8;,;,;PUNCT;punct;tähendab;VERB;11;O
3;9;mees;mees;NOUN;vocative;tehtud;VERB;7;O
3;10;,;,;PUNCT;punct;tähendab;VERB;11;O
3;11;tähendab;tähendama;VERB;conj;tehtud;VERB;7;O
3;12;,;,;PUNCT;punct;läksin;VERB;13;O
3;13;läksin;minema;VERB;conj;tehtud;VERB;7;O
3;14;20.-le;20.;ADJ;amod;aastal;NOUN;15;O
3;15;aastal;aasta;NOUN;obl;läksin;VERB;13;O
3;16;palki;palk;NOUN;obj;vedama;VERB;17;O
3;17;vedama;vedama;VERB;xcomp;läksin;VERB;13;O
3;18;.;.;PUNCT;punct;tehtud;VERB;7;O
4;1;Aegviidu;Aegvii;PROPN;nsubj;teadsin;VERB;4;O
4;2;ja;ja;CCONJ;cc;teadsin;VERB;4;O
4;3;ma;mina;PRON;nsubj;teadsin;VERB;4;O
4;4;teadsin;teadma;VERB;root;root;;0;O
4;5;metsast;mets;NOUN;obl;tuli;VERB;6;O
4;6;tuli;tulema;VERB;conj;teadsin;VERB;4;O
4;7;vahest;vahest;ADV;advmod;tuli;VERB;10;O
4;8;mõni;mõni;DET;det;inimene;NOUN;9;O
4;9;inimene;inimene;NOUN;nsubj;tuli;VERB;10;O
4;10;tuli;tulema;VERB;conj;teadsin;VERB;4;O
4;11;ja;ja;CCONJ;cc;palus;VERB;12;O
4;12;palus;paluma;VERB;conj;tuli;VERB;6;O
4;13;,;,;PUNCT;punct;võta;VERB;15;O
4;14;et;et;SCONJ;mark;võta;VERB;15;O
4;15;võta;võtma;VERB;ccomp;palus;VERB;12;O
4;16;teda;tema;PRON;obj;võta;VERB;15;O
4;17;peale;peale;ADV;compound:prt;võta;VERB;15;O
4;18;,;,;PUNCT;punct;sõita;VERB;25;O
4;19;et;et;SCONJ;mark;sõita;VERB;25;O
4;20;saaks;saama;AUX;aux;sõita;VERB;25;O
4;21;elus;elu;NOUN;obl;sõita;VERB;25;O
4;22;enne;enne;ADP;case;surma;NOUN;23;O
4;23;surma;surm;NOUN;obl;sõita;VERB;25;O
4;24;autoga;auto;NOUN;obl;sõita;VERB;25;O
4;25;sõita;sõitma;VERB;advcl;võta;VERB;15;O
4;26;,;,;PUNCT;punct;veoauto;NOUN;27;O
4;27;veoauto;veoauto;NOUN;conj;sõita;VERB;25;O
4;28;muidugi;muidugi;ADV;advmod;veoauto;NOUN;27;O
4;29;,;,;PUNCT;punct;kaotanud;VERB;34;O
4;30;aga;aga;CCONJ;cc;kaotanud;VERB;34;O
4;31;pea;pea;ADV;advmod;see;PRON;32;O
4;32;see;see;PRON;nsubj;kaotanud;VERB;34;O
4;33;oli;olema;AUX;aux;kaotanud;VERB;34;O
4;34;kaotanud;kaotama;VERB;conj;sõita;VERB;25;O
4;35;.;.;PUNCT;punct;teadsin;VERB;4;O
5;1;Ja;ja;CCONJ;cc;arvustatud;VERB;8;O
5;2;siis;siis;ADV;advmod;arvustatud;VERB;8;O
5;3;oli;olema;AUX;aux;arvustatud;VERB;8;O
5;4;muidugi;muidugi;ADV;advmod;arvustatud;VERB;8;O
5;5;autosid;auto;NOUN;obj;arvustatud;VERB;8;O
5;6;ju;ju;ADV;advmod;arvustatud;VERB;8;O
5;7;vähe;vähe;ADV;advmod;arvustatud;VERB;8;O
5;8;arvustatud;arvustama;VERB;root;root;;0;O
5;9;ja;ja;CCONJ;cc;kanged;ADJ;11;O
5;10;eriti;eriti;ADV;advmod;kanged;ADJ;11;O
