sent id;word id;word;lemma;upos;deprel;head;head upos;head id;ner tag
1;1;Kutsume;kutsuma;VERB;root;root;;0;O
1;2;teid;sina;PRON;obj;kuulama;VERB;3;O
1;3;kuulama;kuulama;VERB;xcomp;valitud;ADJ;4;O
1;4;valitud;valitud;ADJ;acl;palu;NOUN;5;O
1;5;palu;palu;NOUN;obj;Kutsume;VERB;1;O
1;6;2008.;2008.;ADJ;amod;aasta;NOUN;7;O
1;7;aasta;aasta;NOUN;nmod;persoone;NOUN;8;O
1;8;persoone;persoon;NOUN;obj;Kutsume;VERB;1;O
1;9;saadetest;saade;NOUN;nmod;persoone;NOUN;8;O
1;10;.;.;PUNCT;punct;Kutsume;VERB;1;O
2;1;Saatejuht;saatejuht;NOUN;root;root;;0;O
2;2;on;olema;AUX;cop;Saatejuht;NOUN;1;O
2;3;Marie;Marie;PROPN;nsubj:cop;Saatejuht;NOUN;1;O
2;4;Lenk;Lenk;PROPN;flat;Marie;PROPN;3;O
2;5;.;.;PUNCT;punct;Saatejuht;NOUN;1;O
3;1;Liini;liin;NOUN;nmod;Volksooperisolist;PROPN;2;O
3;2;Volksooperisolist;Volksooperisoline;PROPN;obl;meeldis;VERB;14;O
3;3;Annely;Annely;PROPN;nsubj;meeldis;VERB;14;O
3;4;Peebo;Peebo;PROPN;flat;Annely;PROPN;3;O
3;5;,;,;PUNCT;punct;olite;VERB;10;O
3;6;kui;kui;SCONJ;mark;olite;VERB;10;O
3;7;te;sina;PRON;nsubj;olite;VERB;10;O
3;8;väike;väike;ADJ;amod;tüdruk;NOUN;9;O
3;9;tüdruk;tüdruk;NOUN;nsubj;olite;VERB;10;O
3;10;olite;olema;VERB;advcl;meeldis;VERB;14;O
3;11;,;,;PUNCT;punct;olite;VERB;10;O
3;12;siis;siis;ADV;advmod;meeldis;VERB;14;O
3;13;teile;sina;PRON;obl;meeldis;VERB;14;O
3;14;meeldis;meeldima;VERB;root;root;;0;O
3;15;igal;iga;DET;det;pool;ADV;16;O
