EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,5,5,3,5,5,4,3,4,12,ehmatamine; uskumus; sümptom; reet; meditsiin; häire
4,5,5,3,5,6,4,3,4,12,ehmatamine; uskumus; sümptom; reet; meditsiin; häire
4,5,5,3,5,5,4,3,4,12,ehmatamine; uskumus; sümptom; reet; meditsiin; häire
4,5,5,3,5,5,4,3,4,12,ehmatamine; uskumus; sümptom; reet; meditsiin; häire
4,5,5,3,5,6,4,3,4,12,ehmatamine; uskumus; sümptom; reet; meditsiin; häire
4,5,5,2,5,6,4,4,4,12,ehmatamine; uskumus; sümptom; reet; meditsiin; häire
4,5,5,2,4,6,4,4,4,12,ehmatamine; uskumus; sümptom; reet; meditsiin; häire
4,5,5,3,5,4,3,3,4,12,ehmatamine; uskumus; sümptom; reet; meditsiin; häire
4,6,5,4,5,4,4,4,4,12,ehmatamine; uskumus; sümptom; reet; meditsiin; häire
4,5,4,5,4,4,3,4,4,12,ehmatamine; uskumus; sümptom; reet; meditsiin; häire
4,4,4,5,4,5,4,4,4,12,ehmatamine; uskumus; sümptom; reet; meditsiin; häire
