EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,10,11,9,9,6,8,7,7,12,andmed; isikuandmed; port; euroopa; regulatsioon; personaalne; liit; portaal; töökoormus; seadus; kristjan
10,11,10,9,8,6,8,7,7,12,andmed; isikuandmed; port; euroopa; regulatsioon; personaalne; liit; portaal; töökoormus; seadus; kristjan
10,11,10,9,8,6,8,7,7,12,andmed; isikuandmed; port; euroopa; regulatsioon; personaalne; liit; portaal; töökoormus; seadus; kristjan
10,11,10,9,8,5,7,7,6,12,andmed; isikuandmed; port; euroopa; regulatsioon; personaalne; liit; portaal; töökoormus; seadus; kristjan
10,10,7,10,8,8,8,8,6,12,andmed; isikuandmed; port; euroopa; regulatsioon; personaalne; liit; portaal; töökoormus; seadus; kristjan
10,9,6,10,8,9,7,8,6,12,andmed; isikuandmed; port; euroopa; regulatsioon; personaalne; liit; portaal; töökoormus; seadus; kristjan
10,8,5,10,9,10,10,9,6,12,andmed; isikuandmed; port; euroopa; regulatsioon; personaalne; liit; portaal; töökoormus; seadus; kristjan
10,8,4,9,9,10,10,10,7,12,andmed; isikuandmed; port; euroopa; regulatsioon; personaalne; liit; portaal; töökoormus; seadus; kristjan
9,8,4,10,9,10,9,9,8,12,andmed; isikuandmed; port; euroopa; regulatsioon; personaalne; liit; portaal; töökoormus; seadus; kristjan
9,9,4,10,9,10,10,10,8,12,andmed; isikuandmed; port; euroopa; regulatsioon; personaalne; liit; portaal; töökoormus; seadus; kristjan
9,9,7,10,10,10,10,9,8,12,andmed; isikuandmed; port; euroopa; regulatsioon; personaalne; liit; portaal; töökoormus; seadus; kristjan
