EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,5,4,7,1,6,5,7,5,11,raudtee; talent; näitleja; jaan; kruusvall; lühijutt; provintsiteater; tädi; lahkumisavaldus; unimüts
6,5,4,7,1,6,5,7,5,11,raudtee; talent; näitleja; jaan; kruusvall; lühijutt; provintsiteater; tädi; lahkumisavaldus; unimüts
6,5,4,7,1,6,5,7,5,11,raudtee; talent; näitleja; jaan; kruusvall; lühijutt; provintsiteater; tädi; lahkumisavaldus; unimüts
6,5,4,7,1,6,5,7,5,11,raudtee; talent; näitleja; jaan; kruusvall; lühijutt; provintsiteater; tädi; lahkumisavaldus; unimüts
6,5,4,7,1,6,5,7,5,11,raudtee; talent; näitleja; jaan; kruusvall; lühijutt; provintsiteater; tädi; lahkumisavaldus; unimüts
6,5,4,7,1,6,5,7,5,11,raudtee; talent; näitleja; jaan; kruusvall; lühijutt; provintsiteater; tädi; lahkumisavaldus; unimüts
6,5,4,7,1,6,5,7,5,11,raudtee; talent; näitleja; jaan; kruusvall; lühijutt; provintsiteater; tädi; lahkumisavaldus; unimüts
6,5,4,7,1,6,5,7,5,11,raudtee; talent; näitleja; jaan; kruusvall; lühijutt; provintsiteater; tädi; lahkumisavaldus; unimüts
6,5,4,7,1,6,5,7,5,11,raudtee; talent; näitleja; jaan; kruusvall; lühijutt; provintsiteater; tädi; lahkumisavaldus; unimüts
6,5,4,7,1,6,5,7,5,11,raudtee; talent; näitleja; jaan; kruusvall; lühijutt; provintsiteater; tädi; lahkumisavaldus; unimüts
6,5,4,7,1,6,5,7,5,11,raudtee; talent; näitleja; jaan; kruusvall; lühijutt; provintsiteater; tädi; lahkumisavaldus; unimüts
