EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,7,4,4,2,3,4,5,4,13,aivar; muusika; elektrooniline; alternatiiv; klubikultuur; tõnson; sotsioloog; reiv
5,7,5,4,2,3,4,5,4,13,aivar; muusika; elektrooniline; alternatiiv; klubikultuur; tõnson; sotsioloog; reiv
5,7,5,4,2,3,4,5,4,13,aivar; muusika; elektrooniline; alternatiiv; klubikultuur; tõnson; sotsioloog; reiv
5,7,5,5,2,3,4,6,4,13,aivar; muusika; elektrooniline; alternatiiv; klubikultuur; tõnson; sotsioloog; reiv
5,5,5,6,2,4,5,6,4,13,aivar; muusika; alternatiiv; elektrooniline; klubikultuur; tõnson; sotsioloog; reiv
7,6,6,5,3,5,5,6,4,13,aivar; muusika; elektrooniline; alternatiiv; klubikultuur; tõnson; sotsioloog; reiv
4,4,6,5,5,4,4,6,4,13,aivar; muusika; alternatiiv; elektrooniline; klubikultuur; tõnson; sotsioloog; reiv
2,6,4,5,7,7,6,6,5,13,aivar; muusika; elektrooniline; alternatiiv; klubikultuur; tõnson; sotsioloog; reiv
2,5,6,4,7,6,4,4,5,13,aivar; muusika; elektrooniline; alternatiiv; klubikultuur; tõnson; sotsioloog; reiv
2,3,6,5,6,7,6,4,5,13,aivar; muusika; elektrooniline; alternatiiv; klubikultuur; tõnson; sotsioloog; reiv
1,3,5,5,6,7,3,4,5,13,aivar; muusika; elektrooniline; alternatiiv; klubikultuur; tõnson; sotsioloog; reiv
