EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,5,2,3,5,5,4,4,1,13,poliitika; suhtlusplatvorm; mõjutamine; relv; kasum; mass; internet; regulatsioon; idealism; reguleerimata; inforuum; tehnoloogiaettevõte; maksimeerimine
7,5,2,3,5,5,4,4,1,13,poliitika; suhtlusplatvorm; mõjutamine; relv; kasum; mass; internet; regulatsioon; idealism; reguleerimata; inforuum; tehnoloogiaettevõte; maksimeerimine
7,5,2,3,5,5,4,4,1,13,poliitika; suhtlusplatvorm; mõjutamine; relv; kasum; mass; internet; regulatsioon; idealism; reguleerimata; inforuum; tehnoloogiaettevõte; maksimeerimine
7,5,2,3,5,5,4,4,1,13,poliitika; suhtlusplatvorm; mõjutamine; relv; kasum; mass; internet; regulatsioon; idealism; reguleerimata; inforuum; tehnoloogiaettevõte; maksimeerimine
7,5,2,3,5,5,4,4,1,13,poliitika; suhtlusplatvorm; mõjutamine; relv; kasum; mass; internet; regulatsioon; idealism; reguleerimata; inforuum; tehnoloogiaettevõte; maksimeerimine
7,5,2,3,5,5,4,4,1,13,poliitika; suhtlusplatvorm; mõjutamine; relv; kasum; mass; internet; regulatsioon; idealism; reguleerimata; inforuum; tehnoloogiaettevõte; maksimeerimine
7,5,2,3,5,5,4,4,1,13,poliitika; suhtlusplatvorm; mõjutamine; relv; kasum; mass; internet; regulatsioon; idealism; reguleerimata; inforuum; tehnoloogiaettevõte; maksimeerimine
7,5,0,4,5,5,4,4,1,13,poliitika; suhtlusplatvorm; mõjutamine; relv; kasum; mass; internet; regulatsioon; idealism; reguleerimata; inforuum; tehnoloogiaettevõte; maksimeerimine
7,5,0,1,5,4,4,4,1,13,poliitika; suhtlusplatvorm; mõjutamine; relv; kasum; mass; internet; regulatsioon; idealism; reguleerimata; inforuum; tehnoloogiaettevõte; maksimeerimine
6,5,0,2,5,4,4,4,1,13,poliitika; suhtlusplatvorm; mõjutamine; relv; kasum; mass; internet; regulatsioon; idealism; reguleerimata; inforuum; tehnoloogiaettevõte; maksimeerimine
5,5,0,2,5,4,4,4,1,13,poliitika; maksimeerimine; mõjutamine; relv; suhtlusplatvorm; kasum; mass; internet; regulatsioon; reguleerimata; inforuum; tehnoloogiaettevõte; idealism
