EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,5,9,7,3,10,10,8,3,16,kriska; tööriist; keraamika; savinõu; muistis; kaevamine; arheoloogiline; kiviaeg; kultuur; materjal; aivar; orgaaniline; riigiküla; päästekaevamine
9,5,9,7,3,10,10,8,3,16,kriska; tööriist; keraamika; savinõu; muistis; kaevamine; arheoloogiline; kiviaeg; kultuur; materjal; aivar; orgaaniline; riigiküla; päästekaevamine
9,5,9,7,3,10,10,8,3,16,kriska; tööriist; keraamika; savinõu; muistis; kaevamine; arheoloogiline; kiviaeg; kultuur; materjal; aivar; orgaaniline; riigiküla; päästekaevamine
9,5,9,7,3,10,10,8,3,16,kriska; tööriist; keraamika; savinõu; muistis; kaevamine; arheoloogiline; kiviaeg; kultuur; materjal; aivar; orgaaniline; riigiküla; päästekaevamine
9,5,9,7,3,10,10,8,3,16,kriska; tööriist; keraamika; savinõu; muistis; kaevamine; arheoloogiline; kiviaeg; kultuur; materjal; aivar; orgaaniline; riigiküla; päästekaevamine
9,5,9,7,3,10,10,8,3,16,kriska; tööriist; keraamika; savinõu; muistis; kaevamine; arheoloogiline; kiviaeg; kultuur; materjal; aivar; orgaaniline; riigiküla; päästekaevamine
9,5,9,7,3,10,10,8,3,16,kriska; tööriist; keraamika; savinõu; muistis; kaevamine; arheoloogiline; kiviaeg; kultuur; materjal; aivar; orgaaniline; riigiküla; päästekaevamine
9,5,9,7,3,10,10,8,3,16,kriska; tööriist; keraamika; savinõu; muistis; kaevamine; arheoloogiline; kiviaeg; kultuur; materjal; aivar; orgaaniline; riigiküla; päästekaevamine
9,5,9,7,3,10,10,8,3,16,kriska; tööriist; keraamika; savinõu; muistis; kaevamine; arheoloogiline; kiviaeg; kultuur; materjal; aivar; orgaaniline; riigiküla; päästekaevamine
9,5,9,7,3,10,10,8,3,16,kriska; tööriist; keraamika; savinõu; muistis; kaevamine; arheoloogiline; kiviaeg; kultuur; materjal; aivar; orgaaniline; riigiküla; päästekaevamine
9,5,9,7,3,10,10,8,3,16,kriska; tööriist; keraamika; savinõu; muistis; kaevamine; arheoloogiline; kiviaeg; kultuur; materjal; aivar; orgaaniline; riigiküla; päästekaevamine
