EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,6,3,5,3,4,3,5,5,12,tervisehäda; uskumus; kaitsemaagia; reet; häire; sümptom; üleloomulik; ehmatamine; meditsiin
8,6,3,5,3,4,3,5,5,12,tervisehäda; uskumus; kaitsemaagia; reet; häire; sümptom; üleloomulik; ehmatamine; meditsiin
8,6,3,5,3,4,3,5,5,12,tervisehäda; uskumus; kaitsemaagia; reet; häire; sümptom; üleloomulik; ehmatamine; meditsiin
8,6,3,5,3,4,3,5,5,12,tervisehäda; uskumus; kaitsemaagia; reet; häire; sümptom; üleloomulik; ehmatamine; meditsiin
8,6,3,5,3,4,3,5,5,12,tervisehäda; uskumus; kaitsemaagia; reet; häire; sümptom; üleloomulik; ehmatamine; meditsiin
8,6,3,5,3,4,3,6,5,12,tervisehäda; uskumus; kaitsemaagia; reet; häire; sümptom; üleloomulik; ehmatamine; meditsiin
6,6,3,5,3,4,3,6,5,12,tervisehäda; uskumus; kaitsemaagia; reet; häire; sümptom; üleloomulik; ehmatamine; meditsiin
7,5,3,5,1,4,6,6,5,12,tervisehäda; uskumus; kaitsemaagia; reet; häire; sümptom; üleloomulik; ehmatamine; meditsiin
8,5,4,5,2,4,6,5,5,12,tervisehäda; uskumus; kaitsemaagia; reet; häire; sümptom; üleloomulik; ehmatamine; meditsiin
8,5,4,6,2,4,7,8,5,12,tervisehäda; uskumus; kaitsemaagia; reet; häire; sümptom; üleloomulik; ehmatamine; meditsiin
7,6,5,4,3,6,6,7,6,12,tervisehäda; uskumus; kaitsemaagia; reet; häire; sümptom; üleloomulik; ehmatamine; meditsiin
