EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,8,3,3,5,6,6,6,5,13,lõpp; peeter; hellat; sajand; arstiteadus; meditsiin; isolatsioon; töö; pidalitõbi; nakkus; vitamiin
3,8,3,3,5,6,6,6,5,13,lõpp; peeter; hellat; sajand; arstiteadus; meditsiin; isolatsioon; töö; pidalitõbi; nakkus; vitamiin
3,8,3,3,5,6,6,6,5,13,lõpp; peeter; hellat; sajand; arstiteadus; meditsiin; isolatsioon; töö; pidalitõbi; nakkus; vitamiin
3,8,3,3,5,6,6,6,5,13,lõpp; peeter; hellat; sajand; arstiteadus; meditsiin; isolatsioon; töö; pidalitõbi; nakkus; vitamiin
3,8,2,3,5,6,6,6,5,13,lõpp; peeter; hellat; sajand; arstiteadus; meditsiin; isolatsioon; töö; pidalitõbi; nakkus; vitamiin
3,7,3,3,5,7,6,6,5,13,lõpp; peeter; hellat; sajand; arstiteadus; meditsiin; isolatsioon; töö; pidalitõbi; nakkus; vitamiin
2,8,3,3,5,7,6,7,5,13,lõpp; peeter; hellat; sajand; arstiteadus; meditsiin; isolatsioon; töö; pidalitõbi; nakkus; vitamiin
4,7,3,4,5,6,7,7,6,13,lõpp; peeter; hellat; sajand; arstiteadus; meditsiin; isolatsioon; vitamiin; töö; nakkus; pidalitõbi
6,7,3,6,5,6,7,8,6,13,lõpp; sajand; arstiteadus; töö; isolatsioon; meditsiin; nakkus; pidalitõbi; peeter; hellat; vitamiin
8,7,4,4,6,6,7,8,6,13,lõpp; sajand; arstiteadus; töö; isolatsioon; meditsiin; nakkus; pidalitõbi; peeter; hellat; vitamiin
9,6,5,4,5,6,7,8,5,13,lõpp; sajand; arstiteadus; töö; isolatsioon; vitamiin; nakkus; pidalitõbi; peeter; hellat; meditsiin
