EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,4,6,5,5,4,5,4,6,13,peeter; hellat; arstiteadus; töö; isolatsioon; sajandi; pidalitõbi
4,4,6,5,5,4,4,4,6,13,peeter; hellat; arstiteadus; töö; isolatsioon; sajandi; pidalitõbi
4,4,5,5,5,4,4,5,6,13,peeter; hellat; arstiteadus; töö; isolatsioon; sajandi; pidalitõbi
4,3,5,5,5,3,4,5,6,13,peeter; hellat; töö; arstiteadus; isolatsioon; sajandi; pidalitõbi
4,3,5,5,5,4,5,4,6,13,peeter; hellat; töö; arstiteadus; isolatsioon; sajandi; pidalitõbi
4,3,5,4,4,2,4,4,6,13,peeter; hellat; töö; arstiteadus; isolatsioon; sajandi; pidalitõbi
4,2,4,2,4,3,3,3,6,13,peeter; hellat; töö; arstiteadus; isolatsioon; sajandi; pidalitõbi
5,4,3,3,5,2,3,3,5,13,peeter; hellat; arstiteadus; töö; isolatsioon; sajandi; pidalitõbi
5,3,4,3,2,3,3,3,6,13,peeter; hellat; töö; arstiteadus; isolatsioon; sajandi; pidalitõbi
5,2,3,4,3,4,3,4,3,13,peeter; hellat; arstiteadus; töö; isolatsioon; sajandi; pidalitõbi
5,2,3,4,4,4,2,4,5,13,peeter; hellat; arstiteadus; töö; isolatsioon; sajandi; pidalitõbi
