EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,2,2,1,3,1,2,3,2,10,leningrad; lend; mälestus; volga; sõda
3,1,2,1,3,1,3,3,2,10,leningrad; lend; mälestus; volga; sõda
3,0,2,1,3,1,3,3,2,10,leningrad; lend; mälestus; volga; sõda
3,1,3,1,3,1,2,3,2,10,leningrad; mälestus; lend; volga; sõda
3,1,3,2,1,1,3,2,2,10,leningrad; mälestus; lend; volga; sõda
5,2,2,3,2,2,2,3,2,10,leningrad; lend; mälestus; volga; sõda
4,2,3,4,3,2,4,4,3,10,lend; mälestus; leningrad; sõda; volga
1,3,2,3,3,2,4,2,3,10,mälestus; lend; leningrad; sõda; volga
1,3,1,1,4,3,4,3,3,10,mälestus; leningrad; lend; sõda; volga
1,2,2,2,4,3,4,2,3,10,lend; mälestus; leningrad; sõda; volga
0,3,2,2,4,3,4,2,3,10,lend; mälestus; leningrad; sõda; volga
