EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,6,6,5,5,5,5,6,6,13,laimre; eesti; tsensuur; elken; kunstiakadeemia; marco; näitus; jaan; kunst; formaat
7,6,6,5,6,5,5,6,6,13,laimre; eesti; tsensuur; elken; kunstiakadeemia; marco; näitus; jaan; kunst; formaat
8,6,6,5,6,4,5,7,6,13,laimre; eesti; tsensuur; elken; kunstiakadeemia; näitus; marco; jaan; kunst; formaat
8,6,6,5,6,5,5,7,6,13,laimre; eesti; tsensuur; elken; kunstiakadeemia; näitus; marco; jaan; kunst; formaat
9,4,4,5,6,6,6,7,6,13,laimre; eesti; tsensuur; elken; kunstiakadeemia; näitus; marco; jaan; kunst; formaat
7,3,6,5,7,6,6,7,6,13,laimre; eesti; tsensuur; kunstiakadeemia; elken; marco; formaat; jaan; kunst; näitus
4,3,6,7,7,7,2,6,7,13,laimre; eesti; marco; kunstiakadeemia; tsensuur; näitus; elken; jaan; kunst; formaat
4,4,7,7,7,9,3,7,8,13,laimre; eesti; marco; kunstiakadeemia; elken; tsensuur; näitus; jaan; kunst; formaat
4,3,4,7,7,8,2,6,9,13,laimre; tsensuur; elken; kunst; näitus; formaat; eesti; marco; kunstiakadeemia; jaan
4,3,8,7,6,4,2,7,8,13,laimre; eesti; marco; kunstiakadeemia; elken; tsensuur; näitus; jaan; kunst; formaat
4,3,7,7,6,6,3,7,8,13,laimre; eesti; tsensuur; kunstiakadeemia; marco; näitus; elken; jaan; kunst; formaat
