EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
12,11,12,12,12,12,12,12,11,20,konstantinoopoli; neitsi; johannes; basiilika; sostumus; efesose; gregorius; patriarh; kristuse; kolmas; jumala; peetruse
12,11,12,12,12,12,12,12,11,20,konstantinoopoli; neitsi; johannes; basiilika; sostumus; efesose; gregorius; patriarh; kristuse; kolmas; jumala; peetruse
12,11,12,12,12,12,12,12,11,20,konstantinoopoli; neitsi; johannes; basiilika; sostumus; efesose; gregorius; patriarh; kristuse; kolmas; jumala; peetruse
12,11,12,12,12,12,12,12,11,20,konstantinoopoli; neitsi; johannes; basiilika; sostumus; efesose; gregorius; patriarh; kristuse; kolmas; jumala; peetruse
12,11,12,12,12,12,12,12,11,20,konstantinoopoli; neitsi; johannes; basiilika; sostumus; efesose; gregorius; patriarh; kristuse; kolmas; jumala; peetruse
12,12,12,12,12,12,12,12,11,20,konstantinoopoli; neitsi; johannes; basiilika; sostumus; efesose; gregorius; patriarh; kristuse; kolmas; jumala; peetruse
12,12,12,12,12,12,11,12,11,20,konstantinoopoli; neitsi; johannes; basiilika; sostumus; efesose; gregorius; patriarh; kristuse; kolmas; jumala; peetruse
12,12,12,12,12,12,12,12,12,20,konstantinoopoli; neitsi; johannes; basiilika; sostumus; efesose; gregorius; patriarh; kristuse; kolmas; jumala; peetruse
12,12,12,12,12,12,11,12,12,20,konstantinoopoli; neitsi; johannes; basiilika; sostumus; efesose; gregorius; patriarh; kristuse; kolmas; jumala; peetruse
12,12,12,12,12,12,12,12,12,20,konstantinoopoli; neitsi; johannes; basiilika; sostumus; efesose; gregorius; patriarh; kristuse; kolmas; jumala; peetruse
12,12,12,12,12,12,12,12,12,20,konstantinoopoli; neitsi; johannes; basiilika; sostumus; efesose; gregorius; patriarh; kristuse; kolmas; jumala; peetruse
