EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,8,8,10,8,8,8,8,8,13,lõpp; sajand; töö; arstiteadus; isolatsioon; vitamiin; nakkus; pidalitõbi; peeter; hellat; meditsiin
8,8,8,10,8,8,8,9,8,13,lõpp; sajand; töö; arstiteadus; isolatsioon; vitamiin; nakkus; pidalitõbi; peeter; hellat; meditsiin
8,8,8,10,7,8,10,9,9,13,lõpp; sajand; töö; arstiteadus; isolatsioon; vitamiin; nakkus; pidalitõbi; peeter; hellat; meditsiin
9,9,8,10,8,8,10,9,9,13,lõpp; sajand; töö; arstiteadus; isolatsioon; vitamiin; nakkus; pidalitõbi; peeter; hellat; meditsiin
10,8,11,10,8,9,10,10,9,13,lõpp; sajand; töö; arstiteadus; isolatsioon; vitamiin; nakkus; pidalitõbi; peeter; hellat; meditsiin
10,8,10,10,7,11,11,10,9,13,lõpp; sajand; töö; arstiteadus; isolatsioon; vitamiin; nakkus; pidalitõbi; peeter; hellat; meditsiin
10,9,11,9,9,10,11,10,9,13,lõpp; sajand; arstiteadus; töö; isolatsioon; meditsiin; nakkus; pidalitõbi; peeter; hellat; vitamiin
10,7,10,10,11,11,11,10,9,13,lõpp; sajand; töö; arstiteadus; isolatsioon; meditsiin; nakkus; pidalitõbi; peeter; hellat; vitamiin
11,8,10,10,10,11,10,11,9,13,lõpp; sajand; töö; arstiteadus; isolatsioon; vitamiin; nakkus; pidalitõbi; peeter; hellat; meditsiin
11,9,11,11,11,11,10,11,9,13,lõpp; sajand; arstiteadus; töö; isolatsioon; meditsiin; nakkus; pidalitõbi; peeter; hellat; vitamiin
11,9,10,11,11,10,10,11,9,13,lõpp; sajand; arstiteadus; töö; isolatsioon; vitamiin; nakkus; pidalitõbi; peeter; hellat; meditsiin
