EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
12,12,12,12,12,12,12,12,12,12,kriska; kivi; tööriist; keraamika; savinõu; kaevamine; arheoloogiline; kiviaeg; kultuur; narva; aivar; päästekaevamine
12,12,12,12,12,12,12,12,12,12,kriska; kivi; tööriist; keraamika; savinõu; kaevamine; arheoloogiline; kiviaeg; kultuur; narva; aivar; päästekaevamine
12,12,12,12,12,12,12,12,12,12,kriska; kivi; tööriist; keraamika; savinõu; kaevamine; arheoloogiline; kiviaeg; kultuur; narva; aivar; päästekaevamine
12,12,12,12,12,12,12,12,12,12,kriska; kivi; tööriist; keraamika; savinõu; kaevamine; arheoloogiline; kiviaeg; kultuur; narva; aivar; päästekaevamine
12,12,12,12,12,12,12,12,12,12,kriska; kivi; tööriist; keraamika; savinõu; kaevamine; arheoloogiline; kiviaeg; kultuur; narva; aivar; päästekaevamine
12,12,12,12,12,12,12,12,12,12,kriska; kivi; tööriist; keraamika; savinõu; kaevamine; arheoloogiline; kiviaeg; kultuur; narva; aivar; päästekaevamine
12,12,12,12,12,12,12,12,12,12,kriska; kivi; tööriist; keraamika; savinõu; kaevamine; arheoloogiline; kiviaeg; kultuur; narva; aivar; päästekaevamine
12,12,12,12,12,12,12,12,12,12,kriska; kivi; tööriist; keraamika; savinõu; kaevamine; arheoloogiline; kiviaeg; kultuur; narva; aivar; päästekaevamine
12,12,12,12,12,12,12,12,12,12,kriska; kivi; tööriist; keraamika; savinõu; kaevamine; arheoloogiline; kiviaeg; kultuur; narva; aivar; päästekaevamine
12,12,12,12,12,12,12,12,12,12,kriska; kivi; tööriist; keraamika; savinõu; kaevamine; arheoloogiline; kiviaeg; kultuur; narva; aivar; päästekaevamine
12,12,12,12,12,12,12,12,12,12,kriska; kivi; tööriist; keraamika; savinõu; kaevamine; arheoloogiline; kiviaeg; kultuur; narva; aivar; päästekaevamine
