EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,10,9,7,7,7,8,8,9,12,võistlus; birgit; ulrich; uusorg; takistus; margo; eesti; soome; vesi; kaal
9,10,9,7,8,8,9,9,9,12,võistlus; birgit; ulrich; uusorg; takistus; margo; eesti; soome; vesi; kaal
9,10,9,7,8,8,9,8,9,12,võistlus; birgit; ulrich; uusorg; takistus; margo; eesti; soome; vesi; kaal
9,10,9,7,8,8,9,8,9,12,võistlus; birgit; ulrich; uusorg; takistus; margo; eesti; soome; vesi; kaal
9,10,10,9,8,8,9,8,9,12,võistlus; birgit; ulrich; uusorg; takistus; margo; eesti; soome; vesi; kaal
9,10,10,9,8,9,9,9,9,12,võistlus; birgit; ulrich; uusorg; takistus; margo; eesti; soome; vesi; kaal
10,10,10,9,9,9,10,9,9,12,võistlus; birgit; ulrich; uusorg; takistus; margo; eesti; soome; vesi; kaal
10,10,10,10,8,9,10,9,9,12,võistlus; birgit; ulrich; uusorg; takistus; margo; eesti; soome; vesi; kaal
8,9,10,10,9,10,10,10,9,12,võistlus; birgit; ulrich; uusorg; takistus; margo; eesti; soome; vesi; kaal
7,9,8,9,10,10,10,9,9,12,võistlus; birgit; ulrich; uusorg; takistus; margo; eesti; soome; vesi; kaal
9,9,8,10,10,10,10,9,9,12,võistlus; birgit; ulrich; uusorg; takistus; margo; eesti; soome; vesi; kaal
