EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
11,7,6,11,2,5,7,6,6,13,kommertsialiseerumine; alternatiiv; klubikultuur; reiv; aivar; narkootikum; sotsioloog; muusika; popkultuur; tõnson; elektrooniline
11,8,6,11,3,5,7,6,6,13,kommertsialiseerumine; alternatiiv; klubikultuur; reiv; aivar; narkootikum; sotsioloog; muusika; popkultuur; tõnson; elektrooniline
10,6,6,11,3,6,8,9,5,13,kommertsialiseerumine; alternatiiv; klubikultuur; reiv; aivar; narkootikum; sotsioloog; muusika; popkultuur; tõnson; elektrooniline
10,7,7,11,3,7,7,8,5,13,kommertsialiseerumine; alternatiiv; klubikultuur; reiv; aivar; narkootikum; sotsioloog; muusika; popkultuur; tõnson; elektrooniline
10,7,7,11,3,9,9,9,5,13,kommertsialiseerumine; alternatiiv; klubikultuur; reiv; aivar; narkootikum; sotsioloog; muusika; popkultuur; tõnson; elektrooniline
10,6,9,10,3,11,8,9,5,13,alternatiiv; kommertsialiseerumine; klubikultuur; reiv; aivar; narkootikum; sotsioloog; muusika; popkultuur; tõnson; elektrooniline
9,6,10,9,7,10,8,10,5,13,alternatiiv; kommertsialiseerumine; klubikultuur; reiv; aivar; narkootikum; sotsioloog; muusika; popkultuur; tõnson; elektrooniline
7,10,9,10,9,10,9,10,5,13,alternatiiv; kommertsialiseerumine; klubikultuur; reiv; aivar; sotsioloog; narkootikum; muusika; popkultuur; tõnson; elektrooniline
7,10,9,11,9,9,8,8,6,13,alternatiiv; kommertsialiseerumine; klubikultuur; reiv; aivar; sotsioloog; narkootikum; muusika; popkultuur; tõnson; elektrooniline
7,10,9,11,10,9,8,9,6,13,alternatiiv; kommertsialiseerumine; klubikultuur; reiv; aivar; sotsioloog; narkootikum; muusika; popkultuur; tõnson; elektrooniline
6,9,8,11,11,9,8,9,7,13,alternatiiv; kommertsialiseerumine; klubikultuur; reiv; aivar; sotsioloog; narkootikum; muusika; popkultuur; tõnson; elektrooniline
