EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,2,2,2,0,2,2,2,2,10,vanaisa; hämarik; valgusandja; koit; faehlmann
1,2,2,2,0,2,2,2,2,10,vanaisa; hämarik; valgusandja; koit; faehlmann
1,2,2,2,0,2,2,2,2,10,vanaisa; hämarik; valgusandja; koit; faehlmann
1,2,2,2,0,2,2,2,2,10,vanaisa; hämarik; valgusandja; koit; faehlmann
1,2,2,2,0,2,2,2,2,10,vanaisa; hämarik; valgusandja; koit; faehlmann
1,2,1,2,0,2,2,2,2,10,vanaisa; hämarik; valgusandja; koit; faehlmann
1,2,1,2,0,2,2,2,2,10,vanaisa; hämarik; valgusandja; koit; faehlmann
1,2,1,2,0,2,2,2,2,10,vanaisa; hämarik; valgusandja; koit; faehlmann
1,2,1,2,0,2,2,2,2,10,vanaisa; hämarik; valgusandja; koit; faehlmann
1,2,1,2,0,2,2,2,2,10,vanaisa; hämarik; valgusandja; koit; faehlmann
1,2,1,2,0,2,2,2,2,10,vanaisa; hämarik; valgusandja; koit; faehlmann
